bot\bot,Yunara,Ezreal,Corki,Ashe,Varus,Sivir,Jhin,Caitlyn,Lucian,Kai'Sa,Aphelios,Miss Fortune,Xayah,Jinx,Kalista,Zeri,Smolder,Tristana,Ziggs,Mel,Senna,Draven,Kog'Maw,Vayne,Seraphine,Yasuo,Twitch,Hwei,Nilah
Yunara,+0.0000,-0.4903,-0.9105,-0.4458,-0.4991,-0.1712,-0.3915,-0.4359,-0.3072,-0.8600,-0.9635,-0.5541,-0.4765,-0.4843,-0.2471,-0.3694,-0.4234,-0.6609,+0.0872,+0.1992,-0.0475,+0.0484,+0.1843,+0.3699,+0.2440,+0.5079,+0.5394,+0.2530,+0.6375
Ezreal,+0.4903,+0.0000,+0.4809,+0.6462,+1.1831,-0.9292,-0.4677,+0.3108,+0.1104,-1.4710,+0.1999,-0.0804,+0.2798,-0.0317,+0.1726,-0.4122,+0.0100,-0.0585,+0.4389,+0.2883,+0.1510,+0.3048,+0.3317,+0.4358,+0.5108,+0.5110,+0.7134,+0.6246,+0.7512
Corki,+0.9105,-0.4809,+0.0000,-0.0707,+0.2610,-0.5277,-0.5367,-0.2910,-0.0399,-0.3741,+0.1087,-0.2056,-0.3292,-0.3318,+0.2686,-0.1457,-0.0008,+0.1795,+0.2858,+0.3545,+0.2757,+0.1131,+0.2083,+0.5706,+0.3434,+0.7383,+0.8217,+0.4459,+0.8662
Ashe,+0.4458,-0.6462,+0.0707,+0.0000,+0.2672,-0.1785,-1.2158,+0.0632,+0.1121,-0.0289,+0.1395,-0.2603,+0.1337,-0.4397,+0.6441,-0.0585,+0.2155,+0.0384,-0.3529,-0.2428,-0.0254,+0.3102,+0.4702,+0.7447,+0.3532,+0.4777,+0.6652,+0.2701,+0.8325
Varus,+0.4991,-1.1831,-0.2610,-0.2672,+0.0000,-2.2703,-2.3581,+0.3106,-0.2013,-0.6015,+0.3061,-1.1586,-0.1184,-0.0970,+0.0862,-0.2937,+0.2777,-0.1245,-0.4149,-0.0515,+0.3852,+0.2854,+0.7650,+1.0375,+0.6858,+0.7195,+0.9791,+0.3267,+1.0019
Sivir,+0.1712,+0.9292,+0.5277,+0.1785,+2.2703,+0.0000,+0.3530,+0.2898,+0.0824,-0.1217,-0.4232,+0.3088,+0.3451,-0.2528,-0.1770,-0.4547,-0.0116,+0.2216,+0.7638,+0.6556,+0.2288,+0.2987,+0.0132,-0.0634,+0.1675,+0.4604,+0.1821,+0.2510,+0.4166
Jhin,+0.3915,+0.4677,+0.5367,+1.2158,+2.3581,-0.3530,+0.0000,+1.3558,+0.2877,-0.5577,+0.1799,+0.3809,+0.0725,+0.0839,+0.1327,-0.4209,+0.2721,-0.1733,+0.6495,+0.1746,+0.2611,+0.1640,+0.2062,+0.2988,+0.4795,+0.3244,+0.5836,+0.4245,+0.5975
Caitlyn,+0.4359,-0.3108,+0.2910,-0.0632,-0.3106,-0.2898,-1.3558,+0.0000,+0.2155,+0.0508,+0.0927,-0.5338,+0.1024,-0.3083,+0.3818,+0.1499,+0.1985,-0.0636,-0.3659,-0.0857,+0.0996,+0.3113,+0.4079,+0.4474,+0.0426,+0.1671,+0.3840,+0.0809,+0.4921
Lucian,+0.3072,-0.1104,+0.0399,-0.1121,+0.2013,-0.0824,-0.2877,-0.2155,+0.0000,-0.1083,-0.3811,-0.0734,-0.2440,+0.0960,-0.0967,-0.5803,+0.1039,+0.0128,+0.1541,+0.1752,-0.2203,-0.0420,+0.1844,+0.4041,+0.2690,+0.3955,+0.6127,+0.2728,+0.4495
Kai'Sa,+0.8600,+1.4710,+0.3741,+0.0289,+0.6015,+0.1217,+0.5577,-0.0508,+0.1083,+0.0000,-0.0106,+0.1132,-1.1942,+0.0330,+0.0394,-0.0003,+0.1841,-0.5671,+0.7302,+0.4249,+0.2514,+0.0033,+0.2698,+0.0791,+0.3543,+0.4600,+0.4828,+0.3171,+0.2088
Aphelios,+0.9635,-0.1999,-0.1087,-0.1395,-0.3061,+0.4232,-0.1799,-0.0927,+0.3811,+0.0106,+0.0000,-0.5734,+0.2292,-0.0296,+0.2871,+0.1357,+0.0944,-0.0559,-0.3428,-0.0837,+0.2786,+0.1178,+0.1607,+0.3391,+0.0280,+0.2211,+0.2170,+0.0096,+0.2400
Miss Fortune,+0.5541,+0.0804,+0.2056,+0.2603,+1.1586,-0.3088,-0.3809,+0.5338,+0.0734,-0.1132,+0.5734,+0.0000,-0.1310,-0.0645,+0.0777,-0.2577,+0.0730,-0.2250,+0.2957,+0.3379,+0.1701,+0.2433,+0.3486,+0.4868,+0.5006,+0.4693,+0.6541,+0.4345,+0.4810
Xayah,+0.4765,-0.2798,+0.3292,-0.1337,+0.1184,-0.3451,-0.0725,-0.1024,+0.2440,+1.1942,-0.2292,+0.1310,+0.0000,-0.5620,+0.3629,-0.3641,-0.0594,+0.3754,-0.2102,+0.1401,-0.0110,+0.1209,+0.1413,+0.2740,+0.0679,+0.2788,+0.1601,-0.0067,+0.3864
Jinx,+0.4843,+0.0317,+0.3318,+0.4397,+0.0970,+0.2528,-0.0839,+0.3083,-0.0960,-0.0330,+0.0296,+0.0645,+0.5620,+0.0000,+0.0350,-0.1520,+0.0931,-0.2408,-0.2340,+0.0485,+0.2747,+0.1172,+0.0081,+0.3344,+0.0200,+0.1629,-0.2082,+0.1432,+0.2124
Kalista,+0.2471,-0.1726,-0.2686,-0.6441,-0.0862,+0.1770,-0.1327,-0.3818,+0.0967,-0.0394,-0.2871,-0.0777,-0.3629,-0.0350,+0.0000,+0.0376,+0.1039,-0.0091,-0.1727,+0.1722,+0.1389,-0.7260,+0.0627,+0.2621,-0.0388,+0.2547,+0.3312,+0.0800,+0.1130
