bot\mid,Ryze,Ahri,Aurora,Azir,Orianna,Viktor,Taliyah,Akali,Annie,Syndra,Galio,Anivia,Cassiopeia,Yone,LeBlanc,Mel,Sylas,Hwei,Twisted Fate,Zoe,Lissandra,Aurelion Sol,Jayce,Ziggs,Yasuo,Swain,Sion
Yunara,+0.2319,-0.1176,+0.3651,+0.3699,+0.4337,-0.2279,+0.4319,+0.2369,+0.1759,+0.0343,-0.0902,+0.4250,-0.1054,+0.2782,+0.1274,+0.7423,+0.5634,+0.2148,+0.1525,+0.2816,+0.2947,+0.7564,+0.5972,+1.0066,+0.9211,+0.9990,+0.3205
Ezreal,+0.0852,-0.1336,-0.2065,+0.1729,+0.2929,+0.0821,+0.1203,+0.0033,-0.5657,+0.0802,+0.1931,+0.6131,+0.0879,+0.4132,-0.0245,+0.0875,-0.0806,+0.4000,+0.4295,+0.4504,+0.2802,+0.9087,+0.4479,+0.8041,+0.6209,+0.7658,+0.3212
Corki,+0.2008,-0.0396,+0.0771,+0.0625,+0.6688,-0.3017,+0.1845,+0.0531,+0.0056,-0.2240,+0.0106,+0.0373,+0.0487,-0.1138,-0.3779,+0.2856,+0.2309,+0.5315,+0.1548,+0.1574,+0.5620,+0.7187,+0.5653,+0.6748,+0.7568,+0.5821,+0.3710
Ashe,-0.0683,-0.2689,-0.3304,+0.3223,-0.1731,-0.1996,+0.0071,-0.1974,+0.0286,+0.0795,-0.0847,+0.6935,+0.4378,+0.1299,-0.0241,-1.2647,-0.2888,+0.1442,-0.0133,+0.5884,+0.7008,+0.6332,+0.1647,+0.0148,+0.3295,+0.5232,+0.2740
Varus,-0.1406,-0.3883,-0.0998,-0.3290,-0.2665,+0.0231,+0.0957,-0.1768,-0.2897,-0.3596,-0.1895,+0.8331,+0.6188,-0.1751,-0.1961,-0.4104,-0.5071,-0.4089,+0.1039,+0.1093,+0.7118,+0.7206,-0.1631,+0.3783,+0.7018,+0.5451,+0.3095
Sivir,+0.1272,-0.2000,+0.2645,+0.2336,+0.4060,-0.3487,+0.2975,+0.2746,+0.4909,+0.2290,+0.6096,-0.6054,+0.0359,-0.0386,+0.3345,+0.8866,-0.0768,-0.2964,+0.4270,+0.4131,+0.1282,+0.4258,+0.4052,+1.0018,+0.7442,+0.7529,+0.5280
Jhin,+0.0642,-0.0011,+0.0711,+0.2746,+0.3973,+0.3395,+0.0108,+0.3022,+0.1293,+0.1785,-0.0377,+0.1168,-0.0773,+0.2505,-0.0263,-0.0159,+0.0113,-0.1054,+0.1178,+0.4172,+0.1739,+0.6348,+0.4617,+0.2334,+0.0768,+0.7030,+0.1775
Caitlyn,+0.1541,-0.3693,+0.0987,+0.4252,+0.4045,+0.2932,+0.1581,+0.1067,-0.1470,-0.0027,+0.8881,+0.2715,+0.5558,+0.2666,-0.3928,-0.1044,+0.1301,-0.1257,-0.3512,+0.0971,+0.9211,+0.5322,+0.2237,+0.1236,+0.3808,+0.7413,+0.4522
Lucian,-0.1605,-0.1108,-0.1920,-0.0951,+0.6082,-0.4140,+0.0065,-0.4416,-0.2512,+0.0262,-0.0742,+0.2124,-0.2458,+0.1859,-0.2233,+0.2129,-0.0456,+0.2892,+0.2869,+0.1568,+0.0859,+0.9012,+0.4019,+1.2229,+0.7359,+0.5825,+0.3477
Kai'Sa,+0.0538,+0.4384,-0.2517,+0.5236,-0.1513,+0.0379,+0.3617,+0.4656,-0.3077,+0.5322,-0.3499,+0.0291,-0.1239,+0.1131,+0.4613,+0.2295,+0.1171,+0.1185,+0.3863,+0.2534,-0.1552,+0.2272,+0.4064,+1.0831,+0.2383,+0.4303,+0.3002
Aphelios,+0.3019,+0.1617,-0.0182,-0.5556,+0.2471,-0.0893,+0.0790,-0.2719,-0.1392,-0.2070,+0.2496,-0.1861,+0.1352,+0.2762,+0.2407,+0.0644,+0.0952,-0.0323,+0.0824,+0.1413,+0.2104,+0.3401,+0.0530,+0.1140,+0.4575,+0.3266,+0.2619
Miss Fortune,+0.2698,-0.2647,-0.4706,-0.0104,+0.5974,-0.0996,-0.5354,-0.5093,+0.7280,+0.0030,+0.0539,+0.4013,+0.1230,+0.4368,-0.2932,+0.1992,-0.0943,-0.3273,+0.1617,+0.6007,+0.1935,+0.7211,+0.3260,+0.6125,+0.2761,+0.4600,+0.5546
Xayah,-0.0459,+0.2304,+0.1831,-0.3950,+0.4167,-0.2812,+0.5985,+0.2300,+0.0443,-0.2648,+0.0249,-0.0899,-0.0980,+0.2173,+0.5247,-0.2008,-0.3120,+0.0106,+0.1732,-0.1978,-0.4785,+0.0807,-0.0066,+0.3519,+0.3963,-0.0884,-0.0661
Jinx,+0.4854,-0.0760,-0.1678,-0.0984,+0.1335,+0.2606,+0.3729,-0.3225,+0.0761,-0.2098,+0.2185,+0.0168,+0.3749,-0.0587,-0.2424,-0.3287,-0.3649,-0.0997,+0.2147,+0.2726,+0.3942,+0.5259,+0.2005,+0.1396,+0.6642,+0.5636,+0.5122
Kalista,-0.3950,+0.1952,+0.1061,-0.5921,-0.0097,-0.1892,+0.0888,+0.2023,+0.0187,-0.3495,-0.2294,-0.1215,-0.6279,+0.0967,-0.0239,+0.6602,+0.5269,-0.3088,+0.1959,+0.3840,+0.2282,+0.0697,+0.4695,+0.5015,+0.2888,+0.2303,-0.0145
Zeri,+0.2317,-0.0532,+0.3400,-0.3377,+0.8672,+0.1026,-0.3078,-0.0297,+0.0612,-0.0782,+0.2208,-0.4829,-0.2440,-0.1396,+0.0552,+0.2252,+0.4443,+0.1672,-0.4690,+0.3748,+0.5009,+0.1994,+0.3234,+0.5317,+0.4858,+0.2788,+0.1140
Smolder,-0.6989,-0.3907,-0.1451,+0.3911,-0.2629,+0.0547,-0.0557,-0.5102,-0.6327,+0.0905,+0.3170,+0.3723,-0.1832,+0.1968,+0.1178,-0.3251,-0.1450,+0.2382,-0.3107,-0.3902,+0.2192,+0.2122,+0.2464,-0.1001,-0.0758,-0.1485,+0.1280
