bot\sup,Nautilus,Lulu,Bard,Nami,Neeko,Karma,Seraphine,Rakan,Alistar,Rell,Leona,Milio,Braum,Thresh,Renata Glasc,Pyke,Poppy,Anivia,Yuumi,Blitzcrank,Elise,Lux,Shen,Soraka,Camille,Sona,Senna,Amumu,Tahm Kench,Taric,Maokai,Galio,Pantheon,Janna,Zilean,Fiddlesticks,Gragas
Yunara,-0.6303,-0.4019,-0.1221,-0.2327,-0.2798,-0.0788,-0.0082,-0.4191,-0.1626,-0.5467,-0.4495,+0.0498,+0.0093,-0.2353,+0.1772,+0.1249,+0.0526,+0.5160,+0.3006,+0.2041,+0.2622,+0.5592,+0.4557,+0.6354,+0.3989,+0.5810,+0.2461,+0.6156,+0.6001,+0.5417,+0.0049,+0.1849,+0.1348,+0.6038,+0.7232,+0.7625,+0.4549
Ezreal,-0.6763,+0.0201,+0.1233,+0.0616,+0.3793,+0.1813,+0.2813,-0.4977,-0.2620,-0.5216,-0.4236,+0.1987,-0.1122,+0.2135,+0.3503,+0.0999,+0.2790,+0.8973,+0.3758,+0.5547,+0.3523,+0.8231,+0.4818,+0.6517,+0.4066,+0.8100,+0.3537,+0.5804,+0.4995,+0.4659,+0.4608,+0.5833,+0.6486,+0.6953,+0.8396,+0.7668,+0.5455
Corki,-0.7258,-0.1441,+0.1682,+0.1576,+0.2651,+0.2805,+0.0858,-0.3495,-0.3618,-0.3722,-0.3347,+0.1168,-0.3403,+0.1742,+0.0437,+0.1064,-0.0936,+0.8935,+0.5821,+0.2248,+0.2487,+0.8486,+0.5713,+0.8123,+0.5990,+0.8903,+0.5275,+0.7102,+0.5710,+0.5930,+0.3304,+0.6001,+0.6877,+0.8459,+0.9234,+0.8807,+0.5770
Ashe,-0.5619,+0.0391,-0.3207,+0.0771,+0.0091,-0.2094,+0.0649,-0.3106,+0.0310,-0.4837,-0.1733,-0.1439,-0.1421,+0.3166,+0.3021,-0.2076,+0.5258,+0.6711,+0.1180,-0.2842,+0.2291,+0.6571,+0.5085,+0.4550,+0.3581,+0.8073,+0.2110,+0.6584,+0.5055,+0.5235,+0.5656,+0.3798,+0.5663,+0.6825,+0.6955,+0.6780,+0.4230
Varus,-0.8624,+0.1614,-0.5147,+0.2405,-0.1226,-0.0503,+0.4572,-0.6425,-0.7889,-0.9795,-0.9861,+0.2935,-0.4367,+0.3222,+0.0902,-0.0567,+0.3110,+1.3464,+0.6136,+0.2740,+0.5639,+1.1029,+0.7590,+1.0299,+0.7241,+1.1830,+0.6961,+1.1022,+0.9154,+0.8056,+0.4989,+0.4455,+0.5607,+1.1801,+1.0428,+1.1300,+0.5915
Sivir,+0.3402,-0.1331,+0.1642,+0.1441,+0.4182,+0.1663,+0.0520,+0.1058,-0.9293,+0.0305,+0.1670,+0.2101,-0.1004,+0.2526,-0.2568,+0.1866,+0.3261,+0.3677,+0.3221,+0.3614,+0.3378,+0.5947,+0.3686,+0.1719,+0.4259,+0.4236,+0.3183,+0.3524,+0.2844,+0.1022,+0.7083,+0.4686,+0.5850,+0.3736,+0.4632,+0.4560,+0.2745
Jhin,-0.5398,+0.1958,-0.0622,+0.3652,+0.6760,+0.4850,+0.4544,-0.3530,-0.3498,-0.2656,-0.3855,+0.4348,-0.1562,+0.1117,+0.0570,+0.0921,+0.0358,+0.7054,+0.3755,+0.2736,+0.5113,+0.6060,+0.2552,+0.5557,+0.5509,+0.6730,+0.4349,+0.4576,+0.2303,+0.4035,+0.4837,+0.3792,+0.5413,+0.6318,+0.6581,+0.6163,+0.3758
Caitlyn,-0.4765,+0.4212,-0.4552,+0.0190,+0.0992,-0.5289,-0.1524,+0.1554,+0.1473,-0.4083,-0.1666,+0.0379,+0.2494,-0.1223,+0.4133,-0.3491,+0.5648,+0.2994,+0.1156,-0.4408,-0.0003,+0.3430,+0.1371,+0.3146,+0.2653,+0.4011,+0.2023,+0.3772,+0.3138,+0.2703,+0.3388,+0.4998,+0.2605,+0.4412,+0.4221,+0.4163,+0.3645
Lucian,-0.5207,-0.3863,+0.1098,-0.0524,+0.0709,-0.3641,-0.0062,-0.3466,-0.1311,-0.2893,-0.0685,+0.0701,-0.1065,+0.2206,-0.2135,+0.0732,+0.2953,+0.5554,+0.0238,-0.0691,+0.2361,+0.3794,+0.2971,+0.3485,+0.2387,+0.5259,+0.0972,+0.4480,+0.3622,+0.4636,+0.3481,+0.3679,+0.4416,+0.5305,+0.5358,+0.4175,+0.3919
Kai'Sa,-0.2556,+0.3284,+0.2894,+0.4372,+0.3281,+0.3854,+0.3162,-0.2389,-0.6155,-0.3261,-0.2896,+0.3090,-0.8155,+0.1715,-0.3435,+0.4076,-0.1329,+0.5940,+0.6217,+0.3179,+0.2361,+0.6626,+0.1813,+0.4623,+0.4833,+0.5719,+0.2605,+0.3519,+0.1265,+0.2315,+0.2830,+0.1867,+0.4763,+0.4986,+0.4718,+0.4611,+0.2150
