bot\top,Sion,K'Sante,Gnar,Rumble,Renekton,Ambessa,Jayce,Gwen,Ornn,Zaahen,Yorick,Jax,Aatrox,Vayne,Aurora,Kennen,Rek'Sai,Gragas,Varus,Anivia,Olaf,Malphite,Shen,Camille,Galio,Fiora,Irelia,Poppy,Volibear,Dr. Mundo,Cho'Gath,Mordekaiser,Sylas,Akali,Yasuo,Darius,Kled,Gangplank,Yone,Ryze,Garen,Sett,Urgot,Udyr,Vladimir,Maokai,Nidalee,Pantheon,Sejuani,Wukong
Yunara,-0.3293,-0.4665,-0.2248,-0.1861,-0.3481,-0.3080,-0.2264,-0.2681,-0.1418,+0.2749,-0.0684,-0.2227,-0.1070,+0.3801,-0.1559,+0.2374,+0.2627,+0.2173,-0.0855,+0.6146,+0.3006,+0.5853,+0.3569,+0.1664,-0.1276,+0.1657,+0.3251,+0.1638,+0.2661,+0.2357,+0.1563,+0.1870,+0.2677,+0.1660,+0.5073,+0.5110,+0.3465,+0.5223,+0.0317,+0.1781,+0.6392,+0.5453,+0.6656,+0.4512,+0.4046,+0.0140,+0.3188,+0.1551,+0.1059,+0.0070
Ezreal,-0.1737,-0.0506,-0.0216,+0.6182,-0.1287,+0.1593,+0.4242,+0.4844,+0.0872,+0.7523,+0.3429,+0.1847,+0.1433,+0.4795,+0.4403,+0.2797,+0.8508,+0.2708,+1.1588,+0.8877,+0.4472,+0.5799,+0.3808,+0.0374,+0.6227,+0.4774,+0.4077,+0.4353,+0.4291,+0.2521,+0.4367,+0.4892,+0.5431,+0.4947,+0.5464,+0.6675,+0.7197,+0.5998,+0.5848,+0.7087,+0.6105,+0.5706,+0.6477,+0.7336,+0.6963,+0.5680,+0.6284,+0.7159,+0.5340,+0.6735
Corki,+0.0077,-0.1257,-0.2639,+0.7339,-0.1767,+0.2453,+0.3744,+0.3134,+0.0413,+0.8951,+0.4797,+0.0054,+0.0177,+0.5335,+0.4963,+0.2797,+0.6123,+0.2516,+0.6074,+0.9385,+0.3555,+0.5526,+0.4340,+0.2451,+0.5573,+0.3124,+0.5733,+0.1780,+0.3367,+0.3002,+0.3082,+0.5499,+0.6884,+0.6089,+0.7176,+0.6486,+0.7199,+0.6121,+0.5593,+0.6785,+0.6429,+0.5482,+0.8489,+0.6868,+0.6480,+0.4798,+0.5787,+0.7296,+0.3167,+0.6362
Ashe,-0.1849,+0.0005,-0.0705,+0.2520,-0.1810,-0.2846,+0.2967,+0.2169,-0.0968,+0.6837,+0.3836,-0.2701,-0.0565,+0.6886,+0.3088,+0.2811,+0.6268,+0.1134,+0.5711,+0.7563,+0.0230,+0.2658,+0.4687,+0.0217,+0.2561,+0.4225,+0.4898,+0.5721,+0.4303,+0.4997,+0.3962,+0.5656,+0.0649,+0.4108,+0.5251,+0.7193,+0.7235,+0.4373,+0.4369,+0.4828,+0.6171,+0.5120,+0.7553,+0.5632,+0.5612,+0.6083,+0.5728,+0.6621,+0.4970,+0.3764
Varus,-0.3511,-0.1318,-0.4415,+0.3123,-0.2803,-0.3941,+0.1276,+0.2219,-0.4447,+1.0239,+0.1437,-0.2701,-0.0959,+1.0572,+0.3252,+0.4002,+1.0863,+0.1964,+0.5067,+1.2844,+0.2188,+0.6139,+0.4908,+0.2248,+0.2313,+0.7667,+0.6537,+0.5559,+0.5367,+0.6111,+0.5694,+0.7499,+0.2964,+0.3966,+0.7527,+0.8785,+0.8643,+0.6943,+0.5226,+0.6181,+0.8077,+0.7941,+0.9404,+0.7802,+0.8436,+0.6085,+0.5942,+0.6586,+0.4775,+0.4954
Sivir,+0.2991,+0.1797,-0.0469,+0.4544,+0.1229,+0.2685,+0.2032,+0.2000,+0.2460,+0.4530,+0.0730,-0.0331,+0.1967,+0.0578,+0.5496,+0.1871,+0.3360,+0.1544,+1.6136,+0.3759,+0.2812,+0.1589,+0.3103,+0.1989,+0.6109,+0.1065,+0.3003,+0.4802,+0.1643,+0.3216,+0.4593,+0.4583,+0.2936,+0.3135,+0.4298,+0.3158,+0.4313,+0.4208,+0.4124,+0.4021,+0.3736,+0.4703,+0.5083,+0.4337,+0.4475,+0.7243,+0.6522,+0.6040,+0.4249,+0.4481
Jhin,-0.3099,-0.1318,-0.1529,+0.6221,+0.0627,+0.1844,+0.5506,+0.4367,-0.3115,+0.6930,+0.3205,+0.0821,+0.1008,+0.3540,+0.4377,+0.1962,+0.5356,+0.2418,+1.8170,+0.7291,+0.3529,+0.3501,+0.1212,+0.3392,+0.3435,+0.1483,+0.3769,+0.3179,+0.2542,+0.0481,+0.4360,+0.5219,+0.4163,+0.3241,+0.3039,+0.5256,+0.5717,+0.4345,+0.3963,+0.6501,+0.5465,+0.5926,+0.5887,+0.3975,+0.4244,+0.5526,+0.5777,+0.6027,+0.2156,+0.5572
Caitlyn,-0.0797,+0.0560,-0.2111,+0.2803,-0.0018,-0.0697,+0.1451,+0.1109,-0.1425,+0.2777,+0.0520,-0.3773,+0.0123,+0.4363,+0.0659,+0.2014,+0.1937,+0.1979,-0.0067,+0.3528,+0.1166,-0.0887,+0.0850,+0.1708,+0.4879,+0.2820,+0.3292,+0.5482,+0.1929,+0.2343,+0.1938,+0.2500,+0.1560,+0.1465,+0.1985,+0.5209,+0.3216,+0.3370,+0.0995,+0.4129,+0.4676,+0.2206,+0.3911,+0.4119,+0.3478,+0.3676,+0.3393,+0.2754,+0.2409,+0.2660
Lucian,+0.0426,-0.1691,-0.1314,+0.4070,-0.0541,+0.0672,+0.1262,+0.3694,+0.2095,+0.4782,-0.2266,+0.0635,+0.1486,+0.3775,+0.2172,+0.1513,+0.4220,+0.2701,+0.3701,+0.5881,+0.2762,+0.4565,+0.1997,+0.0026,+0.3870,+0.2119,+0.3643,+0.3473,+0.2518,+0.1621,+0.2911,+0.3443,+0.3655,+0.3022,+0.4504,+0.4143,+0.4003,+0.4410,+0.4054,+0.4115,+0.3872,+0.2144,+0.6435,+0.5651,+0.3257,+0.4062,+0.6413,+0.4763,+0.2905,+0.3381
Kai'Sa,+0.2340,+0.1106,+0.1262,+0.5329,-0.0390,+0.3310,+0.4077,+0.3075,+0.0309,+0.4677,+0.2351,+0.1123,+0.1069,+0.1409,+0.4619,+0.2830,+0.3829,-0.0292,+0.5809,+0.5698,+0.2122,+0.4154,+0.0460,+0.3252,+0.2422,+0.1409,+0.3357,+0.0505,+0.2052,+0.3924,+0.2929,+0.3971,+0.3231,+0.5596,+0.4589,+0.2253,+0.3845,+0.3336,+0.4069,+0.2935,+0.3211,+0.3222,+0.5024,+0.5693,+0.2664,+0.3316,+0.5266,+0.4814,+0.4171,+0.4533
