jng\jng,Xin Zhao,Jarvan IV,Vi,Wukong,Pantheon,Nocturne,Dr. Mundo,Lee Sin,Naafiri,Aatrox,Skarner,Trundle,Ambessa,Zaahen,Qiyana,Jayce,Sejuani,Malphite,Viego,Maokai,Poppy,Kha'Zix,Jax,Nidalee,Olaf,Rek'Sai,Sylas,Volibear,Zyra,Shen,Kindred,Taliyah,Diana,Gwen,Lillia,Graves,Hecarim,Ivern,Nunu & Willump,Shyvana,Zac,Darius,Brand,Karthus,Morgana,Zed,Amumu,Bel'Veth
Xin Zhao,+0.0000,+0.0889,+0.7828,-0.3107,+0.3471,+0.0617,+0.2167,-0.3640,+0.3956,+0.2923,-0.1780,-0.6100,+0.5510,+0.9983,+0.5727,+0.4426,+0.0247,+0.6469,-0.1508,+0.3514,+0.0737,+0.2503,-0.8152,+0.4182,+0.4251,+0.7439,+0.3749,-0.0750,+0.5727,+0.5823,+0.4541,+0.5928,+0.7788,+0.5248,+0.3385,+0.7234,+0.8290,+0.5363,+0.9137,+0.8090,+0.6848,+0.9557,+0.7320,+0.8972,+1.0306,+0.6614,+0.9554,+0.8477
Jarvan IV,-0.0889,+0.0000,-0.1232,-0.2984,+0.3619,+0.1171,+0.2779,-0.4819,-0.2415,+0.1964,-0.0259,+0.4690,+0.2470,+0.5647,+0.0899,+0.6236,+0.0868,+0.4630,-0.0535,+0.5218,-0.4727,+0.4285,+0.1215,+0.1660,+0.5487,+0.3644,+0.0941,+0.2021,+0.8139,+0.4525,+0.0168,+0.7230,+0.6260,+0.5198,+0.6318,+0.5258,+0.6373,+0.6868,+0.7867,+0.7384,+0.6005,+0.7426,+0.6517,+0.8154,+0.8628,+0.4119,+0.7214,+0.6460
Vi,-0.7828,+0.1232,+0.0000,-0.7240,+0.0994,-0.3016,+0.2481,-0.1700,-0.4112,+0.3695,-0.2191,+0.0674,+0.4630,+0.9537,+0.7634,+0.7855,-0.2896,+0.5958,-0.5821,-0.1155,-0.8139,+0.6507,+0.1609,+0.6239,+0.4762,+0.7730,+0.2137,+0.0287,+0.3397,+0.6723,-0.0905,+0.4936,+0.8716,+0.5408,+0.5676,+0.9378,+0.9347,+0.6498,+1.0422,+0.9114,+0.8408,+1.0203,+0.8334,+0.9934,+0.7078,+0.7415,+1.0840,+1.0145
Wukong,+0.3107,+0.2984,+0.7240,+0.0000,+0.7221,+0.2479,-0.0594,-0.2097,+0.4108,+0.3014,-0.0042,-0.0949,+0.5279,+0.6988,+0.5179,+0.6139,-0.0034,+0.4624,+0.0849,-0.1580,-0.3815,+0.3930,+0.0137,+0.3433,+0.3148,+0.7518,+0.3876,+0.0989,+0.0558,+0.5761,+0.3233,+0.3069,+0.4774,+0.4715,-0.1287,+0.7060,+0.6855,+0.3752,+0.6786,+0.5775,+0.5100,+0.7090,+0.3864,+0.6219,+0.6557,+0.5201,+0.5080,+0.6728
Pantheon,-0.3471,-0.3619,-0.0994,-0.7221,+0.0000,-0.4894,-0.0435,-0.2407,-0.0948,-0.0716,-0.7539,-0.4662,+0.3569,+0.8521,+0.6059,+0.6039,-0.5667,+0.4154,-0.0776,-0.0167,-0.4577,+0.6695,+0.1284,+0.5029,+0.3519,+0.6544,+0.4819,+0.1811,+0.3976,+0.4555,+0.3814,+0.4064,+0.7841,+0.6432,+0.4024,+0.7088,+0.8505,+0.4567,+0.7739,+0.9059,+0.7392,+0.8814,+0.5540,+0.8864,+0.9208,+0.6172,+0.9156,+0.9255
Nocturne,-0.0617,-0.1171,+0.3016,-0.2479,+0.4894,+0.0000,-0.2078,+0.1973,+0.3533,-0.0298,-0.1588,+0.0683,+0.3472,+0.6533,+0.4631,+0.7269,-0.2376,+0.4493,-0.2471,-0.0005,+0.4716,+0.3400,-0.0023,+0.3884,+0.3776,+0.4615,+0.1427,+0.2106,+0.6424,+0.5297,-0.1176,+0.6507,+0.5782,+0.4849,+0.2664,+0.6086,+0.6081,+0.3722,+0.7011,+0.5597,+0.5810,+0.6892,+0.5755,+0.6399,+0.7910,+0.5121,+0.7058,+0.6494
Dr. Mundo,-0.2167,-0.2779,-0.2481,+0.0594,+0.0435,+0.2078,+0.0000,-0.0330,-0.0205,-0.4591,-0.0428,-0.3871,-0.0710,+0.0002,+0.1243,+0.1625,+0.2289,+0.4240,-0.2548,+0.2709,+0.2366,+0.1436,+0.0965,-0.0845,+0.0886,+0.1985,-0.0329,+0.0601,+0.3200,+0.2281,-0.0093,+0.0933,+0.1125,-0.0403,-0.3149,+0.2588,+0.1868,+0.0722,+0.2811,+0.1868,+0.1780,+0.0634,+0.1818,+0.1512,+0.2461,+0.2365,+0.1689,+0.1877
Lee Sin,+0.3640,+0.4819,+0.1700,+0.2097,+0.2407,-0.1973,+0.0330,+0.0000,+0.0288,+0.0706,-0.1665,+0.4478,+0.3387,+0.3195,+0.4922,+0.3743,-0.2557,+0.2658,+0.2457,+0.0816,-0.3055,+0.2864,+0.1538,+0.6554,+0.2809,+0.1913,+0.3206,+0.1573,+0.2280,+0.2678,+0.2559,+0.2386,+0.2984,+0.4352,+0.3804,+0.3220,+0.3783,+0.3509,+0.3660,+0.3335,+0.2274,+0.4224,+0.2625,+0.4310,+0.5352,+0.3302,+0.3357,+0.3755
Naafiri,-0.3956,+0.2415,+0.4112,-0.4108,+0.0948,-0.3533,+0.0205,-0.0288,+0.0000,+0.1826,-0.2784,+0.2802,+0.1794,+0.4852,+0.2672,+0.2306,-0.2647,+0.2546,-0.2086,-0.0519,-0.7024,+0.2957,+0.1526,+0.1377,+0.2736,+0.4784,+0.2688,+0.1156,+0.0917,+0.3120,+0.0438,+0.0281,+0.2471,+0.2583,-0.1619,+0.4348,+0.3734,+0.2512,+0.4001,+0.3113,+0.3843,+0.3557,+0.2892,+0.4260,+0.4498,+0.2441,+0.3495,+0.3277
Aatrox,-0.2923,-0.1964,-0.3695,-0.3014,+0.0716,+0.0298,+0.4591,-0.0706,-0.1826,+0.0000,-0.0491,+0.0229,+0.2325,+0.0605,+0.0860,-0.0463,-0.2435,+0.2371,-0.0706,-0.1118,+0.0482,+0.0267,-0.0247,-0.0045,+0.1260,+0.1194,+0.1117,+0.1351,-0.0064,+0.2360,+0.0348,-0.0864,+0.1387,-0.0379,-0.0626,+0.2160,+0.1759,+0.0378,+0.2272,+0.2059,+0.1494,+0.1512,+0.2014,+0.2106,+0.2339,+0.1750,+0.3568,+0.2820
