jng\mid,Ryze,Ahri,Aurora,Azir,Orianna,Viktor,Taliyah,Akali,Annie,Syndra,Galio,Anivia,Cassiopeia,Yone,LeBlanc,Mel,Sylas,Hwei,Twisted Fate,Zoe,Lissandra,Aurelion Sol,Jayce,Ziggs,Yasuo,Swain,Sion
Xin Zhao,+0.4457,+0.1956,+0.1382,-0.0356,+0.6379,-0.1598,+0.1315,+0.0787,+0.0078,+0.0339,+0.2622,+0.5193,+0.0357,+0.2583,-0.1446,+0.0556,+0.1069,+0.0694,+0.2427,+0.5073,+0.6507,+0.8272,+0.1386,+0.3745,+0.7417,+1.0693,+0.5574
Jarvan IV,+0.6394,-0.4029,-0.5890,+0.0999,+1.7735,+0.2060,+0.5076,+0.0608,+0.4631,+0.4380,+0.2739,+0.3084,+0.4276,-0.2117,-0.2839,+0.8620,+0.4086,+0.1541,-0.0780,+0.5930,+0.5106,+1.0224,+0.6474,+0.8911,+0.9566,+1.0781,+0.5204
Vi,+0.5185,-0.6016,-0.6648,+0.4015,+0.9374,+0.0366,-0.0008,-0.0094,+0.0240,+0.5890,-0.3642,+0.1489,-0.0835,+0.0372,-0.0658,+0.2705,+0.2167,+0.5639,+0.3391,+0.2026,+0.1123,+1.2864,+0.3273,+1.0487,+0.7751,+0.9212,+0.4237
Wukong,+0.4540,+0.2187,+0.0804,+0.0656,+0.9375,-0.1967,+0.0289,-0.0961,+0.0245,-0.1104,+0.1751,+0.4140,+0.2908,-0.0881,+0.1843,+0.1602,+0.5185,+0.2280,-0.3089,+0.0757,+0.3243,+0.7784,+0.4725,+0.3408,+0.5701,+0.4579,+0.2230
Pantheon,-0.1352,-0.4124,-0.4148,+0.0668,+0.1749,-0.6149,-0.1892,+0.1051,-0.1063,+0.1349,+0.0567,-0.0138,-0.0822,+0.2228,-0.2964,+0.0656,+0.9322,-0.2243,+0.1245,+0.5500,+0.8131,+1.1343,+0.5181,+0.7200,+1.1394,+1.0965,+0.2338
Nocturne,-0.1560,+0.3832,-0.4921,-0.3872,+0.7864,-0.4083,+0.0410,-0.7999,+0.0257,+0.2786,-0.5463,+0.3600,+0.0313,-0.1464,-0.0100,+0.3835,-0.1072,+0.1230,+0.7535,+0.2513,+0.3047,+0.5862,+0.5054,+0.4843,+0.7665,+0.4450,+0.2821
Dr. Mundo,+0.0271,-0.0356,+0.0749,-0.5854,-0.2640,-0.1657,+0.3900,-0.5641,-0.0385,-0.5772,+0.2687,+0.3467,+0.2093,-0.2529,+0.5215,+0.0761,-0.3627,+0.1874,+0.6222,+0.0189,+0.3198,-0.0360,+0.2396,+0.5861,+0.5583,+0.1691,+0.3635
Lee Sin,-0.0629,+0.2204,+0.0696,+0.4113,+0.5466,-0.0931,-0.0286,+0.1559,-0.3377,-0.0257,-0.1131,+0.3627,+0.0219,+0.5347,-0.0767,-0.1091,+0.4379,+0.1567,+0.3496,+0.2773,+0.0426,+0.9765,+0.5920,+1.1084,+0.7011,+0.6844,+0.2319
Naafiri,+0.2065,+0.2248,-0.3485,+0.7393,+0.6725,+0.4442,-0.3847,+0.5476,-0.1644,+0.4354,+0.3165,+0.3617,-0.0562,+0.1624,+0.6419,+0.3523,+0.3205,-0.1920,-0.1062,+0.3699,+0.2637,+0.6142,+0.1392,-0.1973,+0.1930,+0.0230,+0.1598
Aatrox,+0.0143,-0.1047,-0.2005,-0.3854,+0.1284,+0.0961,-0.0688,-0.2020,-0.1698,-0.1924,+0.2685,+0.0714,+0.0614,-0.0084,+0.6061,-0.1689,+0.0159,-0.0480,+0.1992,+0.0982,+0.3383,+0.6659,+0.0428,+0.6889,+0.7206,+0.5699,+0.8201
Skarner,+0.2710,+0.0151,+0.2359,-0.1475,+0.4365,+0.2351,+0.0425,+0.1346,+0.2510,-0.6810,+0.3620,+0.0066,-0.2294,+0.0531,+0.1463,+0.3258,+0.4484,-0.0895,+0.0222,+0.2756,+0.3848,+0.0198,+0.1437,+0.2547,+0.6567,+0.3192,+0.1066
Trundle,+0.2457,+0.0803,+0.0948,-0.3386,+0.1175,-0.0772,+0.5934,-0.4639,-0.2757,+0.3684,+0.2885,-0.1812,+0.7513,+0.2315,+0.0895,-0.0330,-0.5196,-0.1202,+0.1762,-0.4181,+0.4771,+0.1420,+0.0038,-0.1604,+0.2513,+0.3369,+0.6739
Ambessa,-0.0455,-0.5157,-0.0946,-0.0107,+0.6365,-0.1828,-0.5647,-0.5610,+0.1237,-0.1969,-0.2526,+0.1239,-0.3848,-0.2513,-0.5125,+0.0937,+0.2762,-0.0990,+0.0148,+0.3884,+0.1952,+0.3595,+0.2193,+0.2194,+0.4012,+0.2499,+0.2623
