jng\top,Sion,K'Sante,Gnar,Rumble,Renekton,Ambessa,Jayce,Gwen,Ornn,Zaahen,Yorick,Jax,Aatrox,Vayne,Aurora,Kennen,Rek'Sai,Gragas,Varus,Anivia,Olaf,Malphite,Shen,Camille,Galio,Fiora,Irelia,Poppy,Volibear,Dr. Mundo,Cho'Gath,Mordekaiser
Xin Zhao,+0.1520,-0.1968,-0.5384,+0.7503,-0.1975,+0.0981,-0.2734,+0.0816,-0.1202,+0.1054,+0.1246,-0.4915,+0.0272,+0.2187,+0.5075,+0.7259,+0.4797,+0.5376,+0.9936,+0.6913,+0.2929,+0.7692,+0.6320,+0.5455,+0.6632,+0.5283,+0.7973,+0.7812,+0.6525,+0.4790,+0.7990,+0.6866
Jarvan IV,-0.0741,-0.0942,-0.5136,+0.8087,-0.1524,-0.1238,+0.1071,+0.1493,-0.0469,+0.3339,+0.0075,+0.4184,-0.0530,+0.2595,+0.1453,+0.5148,+0.4761,+0.2448,+0.9831,+0.7052,+0.8467,+0.3734,+0.6977,+1.0299,+0.5788,+0.8474,+0.5912,+0.4610,+0.9634,+0.7910,+0.5481,+0.8692
Vi,-0.1110,-0.5854,-0.3745,+0.9233,+0.0726,-0.0314,+0.0445,+0.0696,+0.2751,-0.4306,-0.2948,+0.3325,+0.9579,+1.1716,+0.1623,-0.0426,+0.4092,+0.1556,+0.5501,+0.6440,+0.7727,+0.7743,+0.5811,+0.9741,+0.1842,+1.2318,+0.9766,+0.1728,+0.7331,+0.8245,+1.1809,+1.0652
Wukong,-0.1467,-0.0148,-0.1225,+0.5299,+0.3314,+0.4479,+0.1550,+0.4230,+0.1638,-0.0869,-0.3189,+0.0248,+0.2451,-0.1588,+0.4431,+0.3815,+0.4973,+0.2618,+0.8186,+0.6669,+0.6056,+0.3347,+0.5914,+1.2942,+0.4366,+0.3187,+0.3698,+0.2133,+0.5673,+0.0313,+0.6526,+0.3896
Pantheon,-0.4690,-0.4186,-0.7717,+0.5832,+0.1913,+0.2032,+0.2076,+0.4268,-0.2055,+0.0296,+0.1548,+0.2421,+0.0874,+0.1509,+0.1421,-0.0225,+0.7937,+0.2456,+0.3069,+0.4413,+0.3713,+0.2010,+0.4076,+0.6690,+0.4905,+0.6290,+0.8932,+1.1684,+1.1637,+0.3480,+0.6251,+0.9312
Nocturne,-0.3063,-0.0203,-0.1103,+0.6097,-0.3841,-0.1817,+0.4418,-0.2161,+0.0830,+0.0867,-0.1053,-0.3024,+0.2622,+0.1637,+0.2180,+0.4593,-0.0532,+0.4830,+0.9390,+0.5326,+0.4061,+0.5476,+0.8823,+0.2760,+0.1148,+0.6006,+0.2062,+0.8267,+0.7391,+0.3388,+0.5481,+0.7739
Dr. Mundo,+0.1451,+0.3367,+0.0390,-0.1269,-0.3702,+0.0597,-0.1147,-0.3902,+0.1347,-0.3817,+0.6210,-0.0834,-0.6599,-0.1435,+0.1935,+0.6998,-0.0054,+0.2144,+0.0900,+0.3598,+0.0855,+0.8035,+0.4766,-0.1940,+0.4182,+0.1332,+0.3016,+0.3803,+0.1401,+0.0948,-0.3376,+0.1079
Lee Sin,-0.2092,+0.0178,-0.0579,+0.6661,-0.2581,+0.1860,+0.4176,-0.1676,+0.4469,-0.2078,-0.1308,+0.3413,+0.3645,+0.1492,+0.6635,+0.2555,-0.0426,+0.4280,+0.4887,+0.6176,+0.4003,+0.3609,+0.6434,+0.7950,+0.4325,+0.7189,+0.6048,+0.2715,+0.6558,+0.2518,+0.4220,+0.6815
Naafiri,-0.0543,+0.1346,-0.0359,+0.5415,-0.2314,+0.0897,+0.0086,-0.0757,+0.2087,+0.5842,-0.1230,+0.1415,+0.7113,+0.3153,+0.1770,+0.1937,+0.4348,+0.2375,+0.5641,+0.6149,+0.3079,-0.0343,+0.3614,+0.2908,+0.4455,+0.0641,+0.2826,+0.4249,+0.2321,+0.4970,+0.4195,+0.8103
Aatrox,+0.7091,+0.2467,-0.1398,+0.4791,-0.2710,+0.1458,-0.2558,-0.0034,+0.2083,+0.2388,+0.0920,+0.3733,+0.1931,+0.0304,+0.2677,+0.1154,+0.4616,+0.1507,+0.1492,+0.4994,+0.5392,+0.4873,+0.4195,-0.0026,+0.4501,+0.4388,+0.3917,+0.4082,+0.5959,+0.8681,+0.4723,+0.5660
Skarner,-0.1950,+0.1960,-0.2371,+0.0451,-0.2721,+0.0263,-0.0665,-0.3007,+0.1658,+0.0672,+0.4076,-0.0605,-0.2456,+0.7655,+0.2635,+0.4611,+0.1428,+0.0530,+0.4961,+0.3578,-0.3612,+0.4888,+0.2961,-0.0179,+0.5257,+0.0293,+0.2186,+0.2858,+0.2686,-0.1072,+0.4215,+0.6735
Trundle,+0.9727,+0.4602,+0.3273,-0.1174,+0.3019,+0.2875,+0.0027,-0.3533,+0.7730,+0.2643,-0.1622,-0.1416,+0.0768,-0.0776,+0.3086,-0.2176,+0.2259,+0.0029,+0.4832,-0.1700,+0.2317,+0.0099,-0.0544,+0.3176,+0.4249,+0.0881,-0.2357,+0.5255,+0.2016,+0.8047,+0.1887,+0.2458
Ambessa,-0.0634,+0.1363,+0.0010,+0.8877,-1.0311,-0.0199,-0.0172,-0.0420,+0.5120,-0.4083,+0.2161,-0.4444,-0.1271,+0.3889,+0.0667,+0.3885,-0.1822,+0.2877,+0.4341,+0.3259,+0.7654,+0.2179,+0.4722,-0.1770,+0.1932,+0.4252,-0.0073,-0.5743,-0.3508,+0.4205,+0.2314,+0.2159
Zaahen,+0.3803,-0.2765,-0.2584,+0.3778,+0.0742,+0.4556,-0.1290,+0.3984,+0.4208,+0.1207,-0.1997,-0.4701,+0.3057,-0.1309,-0.0744,-0.1968,+0.1833,+0.1885,+0.2013,+0.1000,+0.6119,-0.2710,-0.0335,+0.5480,+0.8452,+0.2979,+0.1377,+0.1955,+0.1805,+0.4934,+0.4334,+0.4034
Qiyana,-0.4002,-0.3132,-0.1107,-0.2310,-0.6464,-0.0968,+0.2650,-0.1333,+0.0968,+0.1617,-0.4803,-0.2827,-0.1346,+0.1890,+0.0888,+0.2672,-0.1378,+0.0722,+0.2691,+0.2970,+0.7274,+0.2985,+0.0731,+0.1854,+0.0029,+0.3787,+0.0655,-0.4212,+0.1887,-0.1635,+0.2462,+0.0946
Jayce,-0.6111,-0.3834,+0.0702,-0.1188,+0.3403,+0.1621,-0.0002,+0.2425,+0.3248,+0.1846,-1.4811,+0.3691,-0.0359,+0.4509,-0.2824,-0.1903,+0.3902,-0.3319,+0.0728,+0.0096,+0.5064,-0.6392,+0.1792,+0.2278,+0.1508,+0.3725,-0.6107,+0.2385,+0.3889,-0.0032,+0.2752,+0.4820
Sejuani,-0.4328,+0.1917,+0.1929,+0.5539,-0.1972,-0.0433,+0.3244,-0.3109,-0.1104,-0.1091,-0.2143,+0.4658,-0.1804,-0.2212,+0.3553,-0.1154,+0.1981,+0.0480,+0.2527,+0.3735,+0.2103,+0.2622,+0.2580,+0.3842,+0.1927,+0.4480,+0.5979,+0.1955,+0.5565,+0.0185,+0.2693,+0.4352
Malphite,-0.4829,-0.2432,+0.8515,-0.5115,+0.0206,+0.1585,+0.5278,-0.0379,+0.0235,+0.0598,-0.4276,-0.1867,-0.3828,-0.0529,-0.3612,+0.3540,+0.0357,-0.0804,+0.0520,-0.3127,+0.0320,-0.0433,+0.0465,-0.2519,-0.2775,+0.0305,-0.1724,+0.3580,-0.2175,-0.3939,+0.0904,-0.1277
Viego,+0.0176,+0.2806,-0.1364,-0.1177,+0.0673,+0.0515,-0.3082,+0.5676,-0.0787,-0.0234,-0.0268,-0.5462,-0.0272,-0.2677,-0.1328,+0.1049,+0.3275,-0.2452,+0.2166,-0.2427,+0.1872,-0.0153,-0.0031,+0.1364,+0.6122,+0.2315,-0.0300,+0.1500,-0.3615,+0.0362,+0.1094,+0.2131
Maokai,-0.2784,-0.4011,-0.7577,+0.0745,-0.5999,+0.2736,-0.2881,-0.2008,+0.1177,+0.2647,+0.8207,+0.1571,+0.0798,+0.2360,+0.5263,+0.7900,+0.4626,+0.0340,+0.1540,+0.0470,+0.1896,+0.3831,+0.0004,+0.7566,+0.4443,+0.5983,+0.5926,+0.5388,+0.3955,+0.1999,+0.3803,+0.6924
