mid\bot,Yunara,Ezreal,Corki,Ashe,Varus,Sivir,Jhin,Caitlyn,Lucian,Kai'Sa,Aphelios,Miss Fortune,Xayah,Jinx,Kalista,Zeri,Smolder,Tristana,Ziggs,Mel,Senna,Draven,Kog'Maw,Vayne,Seraphine,Yasuo,Twitch,Hwei,Nilah
Ryze,+0.2444,-0.3436,-0.2111,-0.0442,+0.1305,-0.1424,-0.3140,-0.1816,-0.1296,+0.0375,-0.0502,-0.2709,-0.0843,-0.3898,+0.2124,+0.1355,+0.3256,+0.0047,+0.2512,+0.4041,+0.2365,+0.2587,+0.5331,+0.7007,+0.4180,+0.5897,+0.8508,+0.1305,+0.7294
Ahri,+0.4621,+0.1128,+0.2155,+0.2775,+0.4905,+0.0288,+0.0729,+0.4386,+0.0708,-0.2881,+0.2085,+0.1641,-0.3946,+0.2017,-0.0040,+0.0909,+0.4252,-0.0680,+0.3405,-0.2427,+0.2564,+0.2926,+0.2681,+0.4828,+0.3947,+0.4561,+0.5400,+0.5652,+0.6004
Aurora,+0.3412,-0.1724,-0.1138,-0.0058,+0.2270,-0.3230,-0.2431,+0.1785,+0.1358,-0.3364,-0.0463,-0.0508,-0.1931,-0.0101,+0.0743,-0.2092,+0.2437,-0.0836,+0.2246,+0.1161,+0.1297,+0.2918,+0.3882,+0.5799,+0.3798,+0.4658,+0.6201,+0.3495,+0.7033
Azir,+0.2318,-0.4565,-0.2435,-0.2131,-0.1338,-0.3639,-0.4592,-0.1197,-0.3156,-0.4165,+0.0581,-0.3671,+0.0457,-0.2848,+0.0804,+0.0657,-0.0854,-0.3066,-0.5726,+0.3067,+0.1525,+0.2982,+0.4311,+0.6671,+0.3293,+0.6888,+0.6949,+0.0654,+0.6414
Orianna,+0.2757,-0.4025,-0.1685,+0.0575,+0.3715,-0.3398,-0.2514,-0.0974,-0.3448,-0.3029,+0.1233,-0.1385,-0.5239,-0.2094,+0.2771,-0.0866,+0.2679,-0.0246,+0.0891,+0.4343,+0.2630,+0.5245,+0.3881,+0.6013,+0.3937,+0.6657,+0.7836,+0.3692,+0.7968
Viktor,+0.4547,-0.0377,+0.1821,+0.1057,+0.1458,+0.0125,-0.2009,-0.1064,+0.2766,-0.1818,+0.1508,-0.2214,+0.1625,-0.0298,+0.3687,-0.0228,+0.0723,-0.0560,-0.0166,+0.3567,+0.1481,+0.3833,+0.3741,+0.5786,+0.2190,+0.3115,+0.3779,+0.0266,+0.4860
Taliyah,+0.3509,-0.6070,-0.0883,-0.1833,-0.0327,-0.3017,-0.3252,+0.0252,-0.0778,-0.2275,+0.1600,-0.1779,-0.1377,-0.1656,+0.4642,-0.0731,+0.2346,+0.0326,-0.0921,+0.2656,-0.0888,+0.3587,+0.4028,+0.6932,+0.2860,+0.6418,+0.4910,+0.1025,+0.5650
Akali,+0.3266,+0.0253,-0.0596,+0.0539,+0.3378,-0.0338,+0.1640,+0.1448,+0.0803,-0.3948,+0.2264,+0.4410,-0.5397,+0.1584,-0.0223,-0.0088,+0.1189,+0.0123,+0.2625,+0.4179,+0.3254,+0.1296,+0.1863,+0.3293,+0.3342,+0.4664,+0.3786,+0.4205,+0.3216
Annie,+0.1858,-0.4074,-0.2334,-0.1451,-0.1635,-0.2504,-0.4258,-0.0039,-0.0162,-0.1550,-0.0446,-0.2724,-0.2594,-0.1201,+0.0523,-0.0342,+0.1045,-0.1329,+0.1259,+0.1592,-0.0685,+0.1962,+0.4451,+0.3952,+0.2789,+0.3038,+0.4524,-0.0361,+0.3792
Syndra,+0.0733,-0.1781,+0.3226,-0.0829,+0.1435,-0.1056,-0.1150,+0.1151,+0.0009,-0.3417,+0.1146,-0.2928,+0.1782,-0.1884,+0.0237,-0.0260,-0.0023,+0.1741,-0.1508,+0.2410,+0.1287,+0.2425,+0.2250,+0.3842,+0.1753,+0.2732,+0.3725,+0.4780,+0.3933
Galio,+0.2737,-0.1459,-0.0787,+0.1323,+0.2058,-0.3159,-0.0450,-0.3587,+0.0626,+0.1808,+0.0245,+0.1281,-0.3836,-0.2301,+0.0430,+0.0375,-0.3744,-0.1424,+0.0664,+0.4200,+0.0325,+0.2407,+0.2232,+0.1180,+0.3357,+0.4271,+0.4362,+0.1368,+0.5399
Anivia,-0.3675,-0.7987,-0.7113,-0.6116,-1.1486,-0.1598,-0.5701,-0.2455,-0.4588,-0.4397,-0.0515,-0.7241,-0.1703,-0.1962,-0.2802,+0.0342,-0.1095,-0.3998,-0.4547,-0.1793,-0.1134,-0.0301,+0.0839,+0.1573,-0.0397,-0.0079,+0.1326,-0.2358,+0.1511
Cassiopeia,-0.0492,-0.4562,-0.0427,-0.4097,-0.4890,-0.2387,-0.3706,-0.3434,-0.0805,+0.0138,-0.2456,-0.3076,+0.0094,-0.2911,-0.0043,+0.0327,-0.0876,-0.0007,-0.0541,-0.0328,-0.1459,-0.0020,+0.0137,+0.0201,+0.0048,+0.1233,+0.1489,-0.1451,+0.1547
Yone,+0.3777,-0.2500,-0.1894,-0.0886,+0.0838,-0.2251,-0.0546,+0.1012,-0.2358,-0.2561,+0.2600,-0.1034,-0.3933,+0.0514,-0.1575,-0.1777,-0.0615,-0.0751,+0.1961,+0.0805,+0.0837,+0.2168,+0.3307,+0.5107,+0.3503,+0.4507,+0.4976,+0.3186,+0.5118
LeBlanc,+0.1584,-0.1495,-0.0042,-0.3094,+0.0967,-0.2000,-0.0325,+0.1178,+0.1177,-0.3495,-0.0696,-0.0144,-0.3340,-0.0577,+0.0417,-0.0956,+0.0568,-0.1038,+0.2414,+0.0336,-0.1434,+0.0755,+0.2300,+0.2500,+0.1792,+0.2047,+0.2990,+0.2200,+0.2005
Mel,-0.1061,-0.1601,-0.2413,+0.2370,+0.1794,-0.4982,-0.0322,+0.0179,-0.0804,-0.3230,+0.1545,-0.2408,-0.1192,+0.0403,-0.1035,-0.0018,+0.1459,-0.1835,+0.1234,+0.0106,+0.1116,-0.0476,+0.2246,+0.1353,+0.5176,+0.0944,+0.2607,+0.1745,+0.1743
