mid\sup,Nautilus,Lulu,Bard,Nami,Neeko,Karma,Seraphine,Rakan,Alistar,Rell,Leona,Milio,Braum,Thresh,Renata Glasc,Pyke,Poppy,Anivia,Yuumi,Blitzcrank,Elise,Lux,Shen
Ryze,-0.2471,-0.0067,-0.0015,-0.2040,+0.0433,-0.0566,+0.1399,-0.0137,-0.7510,-0.0850,+0.5439,-0.0336,+0.5023,+0.2589,+0.3350,+0.2431,+0.4296,-0.9380,+0.3236,+0.0142,+0.3838,+1.2866,+0.5665
Ahri,-0.1735,+0.0666,+0.3369,+0.1293,+0.0761,+0.2486,+0.0894,-0.1315,-0.7242,+0.4207,+0.3247,+0.1879,-0.1545,+0.5463,-0.1003,+0.3946,-0.5032,+0.6311,+0.0794,+0.4342,+0.3326,+0.4360,+0.4549
Aurora,-0.2115,+0.0180,+0.4185,+0.2171,+0.1132,+0.2009,+0.3844,-0.2799,-0.1507,-0.3504,-0.1729,+0.4959,+0.0213,+0.4734,+0.1716,+0.0155,+0.1629,+0.5669,+0.3047,+0.4031,+0.3000,+0.3106,+0.2833
Azir,+0.1867,-0.0035,-0.3574,-0.0102,-0.2931,-0.0412,+0.1432,+0.0663,-0.4750,-0.0187,+0.1432,-0.2320,+0.0283,+0.1612,+0.6162,-0.0506,+0.0472,+0.2184,+0.1776,+0.7067,-0.1991,+0.9148,+0.6036
Orianna,+0.1147,-0.3168,-0.3946,-0.4803,-0.3257,-0.1507,-0.1814,-0.5775,-0.6862,-0.0822,-0.4542,-0.4423,+0.1895,+0.5680,+0.3385,+0.2239,+0.6888,+0.3145,-0.0858,+0.3288,+0.8950,+0.6013,+0.5355
Viktor,-0.2330,-0.0261,-0.2311,-0.0042,+0.5111,+0.2686,-0.2630,+0.2411,+0.1649,+0.3661,+0.1153,-0.0405,+0.6075,+0.5569,+0.4844,+0.2542,+0.6255,+0.4214,+0.5022,+0.5530,+0.0867,+0.4640,+0.0950
Taliyah,-0.4165,-0.6145,-0.2557,-0.2698,-0.3325,-0.4106,+0.0015,-0.1048,-0.2359,+0.2570,-0.4783,+0.3467,+0.5033,-0.1503,-0.2025,+0.2737,+0.3837,+0.1384,+0.2524,+0.1985,+0.5585,+0.3972,+0.4771
Akali,-0.0231,-0.2704,+0.2875,-0.1082,+0.1136,+0.2955,+0.2080,-0.2443,-0.5242,+0.1410,+0.4315,+0.4672,+0.0739,+0.0606,-0.4335,-0.1437,-1.3151,+0.6672,+0.4361,+0.9010,+0.0348,+0.2535,+0.1576
Annie,-0.1535,+0.3441,+0.0821,+0.3487,+0.3627,+0.6339,-0.0977,-0.5187,-0.7676,-0.4245,-0.1182,-0.1274,+0.1564,+0.0162,-0.2285,-0.0224,+0.0337,+0.3094,+0.5532,+0.1976,+0.1284,+0.4534,+0.6347
Syndra,+0.0288,+0.0712,-0.5986,-0.1098,+0.4332,+0.1583,+0.0008,+0.2475,-0.5485,+0.4319,+0.1393,+0.0515,-0.3821,-0.2204,+0.4800,+0.3771,+0.4305,+0.0936,+0.1637,+0.8469,+0.6120,+0.5053,+0.2423
Galio,+0.4079,-0.4852,-0.0444,-0.3134,+0.2417,+0.0468,+0.5056,-0.6714,-0.6388,-0.0847,+0.5650,+0.1268,+0.5083,-0.1891,+0.1478,-0.4195,-0.3183,+0.4146,-0.1207,+0.5350,+0.4790,+0.6104,+0.6420
Anivia,-0.1258,-0.0955,-0.5388,-0.3062,+0.1682,+0.1827,-0.2296,+0.2043,-0.1519,-0.1715,-0.3509,-0.0378,+0.4368,-0.5585,+0.0391,-0.1689,+0.8396,+0.0295,+0.0721,-0.2128,+0.0747,+0.0589,+0.3731
Cassiopeia,+0.0816,-0.4108,-0.2790,+0.1710,-0.4418,-0.1865,-0.1896,+0.1016,+0.0847,-0.0121,-0.2808,+0.0987,+0.4751,+0.0489,-0.0340,-0.2918,+0.0161,-0.3414,+0.2151,-0.3506,+0.3300,+0.4319,+0.2108
Yone,+0.2641,-0.1117,-0.1680,-0.3280,-0.1476,+0.1844,-0.1032,-0.1706,-0.4015,+0.4423,+0.1603,-0.3306,+0.2749,+0.0184,-0.0402,-0.1263,-0.1375,+0.3613,-0.2220,+0.0987,-0.0159,+0.2952,+0.3494
LeBlanc,-0.3368,-0.3335,+0.1845,-0.4268,-0.0883,+0.1331,-0.2756,-0.5550,-0.5438,+0.5772,+0.2347,+0.3040,+0.1586,-0.0194,-0.0152,+0.0757,-0.3210,+0.3070,+0.0296,+0.2819,-0.0834,+0.0566,+0.2798
