mid\top,Sion,K'Sante,Gnar,Rumble,Renekton,Ambessa,Jayce,Gwen,Ornn,Zaahen,Yorick,Jax,Aatrox,Vayne,Aurora,Kennen,Rek'Sai,Gragas,Varus,Anivia,Olaf,Malphite,Shen,Camille,Galio,Fiora,Irelia,Poppy,Volibear,Dr. Mundo,Cho'Gath,Mordekaiser
Ryze,-0.5172,-0.4340,-0.3902,+0.5904,-0.4477,+0.1892,-0.3789,+0.0086,+0.5099,-0.0838,-0.1359,-0.3783,-0.0100,+0.3944,+0.2003,-0.0350,-0.0753,+0.4848,+0.3211,-1.0092,+0.3485,+0.2486,+0.4160,+0.4980,+0.2193,-0.0002,-0.1810,+0.5799,+0.4191,+0.1681,+0.2806,+0.5717
Ahri,-0.2586,-0.0529,-0.2450,+0.5868,-0.0805,+0.3482,+0.1290,+0.2213,+0.0919,+0.6848,+0.2334,+0.3439,+0.2907,+0.2748,+0.8184,+0.3514,-0.0959,+0.0633,+0.3274,+0.6064,+0.7121,+0.2986,+0.3268,+0.2571,-0.0902,+1.0423,+0.1553,-0.4068,+0.5689,+0.3728,+0.3616,+0.4307
Aurora,-0.0932,+0.1044,-0.0047,+0.8303,-0.1891,+0.3574,+0.3129,-0.1692,+0.2006,+0.2452,+0.0123,+0.1089,+0.2815,+0.2595,+0.2584,+0.3095,+0.2153,+0.4244,+0.3461,+0.7559,+0.6044,+0.6334,+0.3135,+0.4841,+0.3120,+0.4733,+0.3925,+0.4178,+0.3462,+0.2829,+0.5120,+0.6626
Azir,-0.1397,-0.1970,-0.0815,+0.1920,-0.4753,-0.0549,+0.0669,+0.1556,-0.2841,+0.3138,+0.2962,-0.3685,+0.1017,+0.7685,+0.0349,+0.0879,+0.2887,+0.3067,+0.5186,+0.2994,+0.8271,+0.3550,+0.6592,+0.8096,+0.2001,+0.5127,+0.1765,+0.1101,-0.0910,+0.5714,+0.4892,+0.4441
Orianna,-0.0099,-0.2067,-0.4758,+0.4386,-0.4830,-0.5549,-0.2008,-0.0406,+0.1946,+0.0444,-0.3130,-0.3913,-0.1601,-0.0417,+0.0692,+0.5086,+0.2111,+0.1506,+0.4309,+0.3348,+0.4232,+0.6896,+0.3939,+0.0410,-0.9168,+0.7050,+0.3789,+0.8070,+0.4349,+0.4060,+0.3492,+0.7521
Viktor,+0.0079,+0.1992,-0.2087,+0.2430,-0.2083,+0.1750,+0.1225,+0.2621,+0.3449,+0.8848,+0.4463,+0.5107,-0.2216,+0.6139,+0.6611,+0.6453,+0.3108,-0.1412,+0.1517,+0.6690,-0.0375,+0.2199,+0.0510,+0.2198,-0.0478,+0.2717,+0.2836,+0.5943,+0.2593,+0.3471,+0.2821,+0.5496
Taliyah,-0.2761,+0.2006,+0.0030,+0.0599,-0.6788,+0.5585,+0.6128,-0.3208,+0.3104,+0.4220,-0.1534,+0.6155,+0.1827,+0.2181,+0.2329,+0.3240,+0.1521,+0.2259,+0.2306,+0.2121,+0.6690,+0.6248,+0.5156,+0.5226,-0.0586,+0.3981,+0.4816,+0.5871,-0.1271,-0.0006,+0.0812,+0.1643
Akali,-0.2996,-0.3637,-0.3339,+0.7377,-0.6250,+0.1593,+0.1852,+0.1857,+0.0052,-0.1018,+0.4406,+0.0403,+0.3596,+0.1877,+0.3810,-0.0073,+0.0038,+0.3866,+0.3533,+0.6774,+0.9300,+0.2528,+0.3179,+0.2471,-0.0665,+0.6114,+0.3424,-1.0094,-0.1060,+0.6051,+0.5794,-0.3173
Annie,-0.3115,-0.1843,+0.0119,+0.1679,-0.3198,-0.1534,-0.0924,-0.1002,-0.1267,-0.2854,-0.6226,+0.2033,+0.1599,-0.0100,+0.2835,+0.2008,+0.4251,+0.1766,+0.2306,+0.0908,+0.4635,+0.1164,+0.5407,+0.1310,+0.0139,+0.4372,-0.0830,+0.1651,+0.1893,+0.2096,+0.5819,+0.3342
Syndra,+0.0497,-0.1760,-0.1320,+0.2763,-0.2480,-0.0487,-0.0133,-0.0437,-0.6428,+0.0603,+0.4336,+0.0694,+0.1629,+0.3023,+0.3325,+0.5705,+0.4267,+0.3103,+0.5079,+0.1759,+0.8222,+0.1724,+0.1652,+0.3037,+0.3482,+0.8454,+0.1830,+0.5010,+0.3785,+0.6854,+0.4482,+0.0378
