sup\bot,Yunara,Ezreal,Corki,Ashe,Varus,Sivir,Jhin,Caitlyn,Lucian,Kai'Sa,Aphelios,Miss Fortune,Xayah,Jinx,Kalista,Zeri,Smolder,Tristana,Ziggs,Mel,Senna,Draven,Kog'Maw,Vayne
Nautilus,-0.1126,+0.5584,+0.4324,+0.5897,+0.3821,-0.6047,+0.6285,+0.9182,+0.4185,+0.0325,+0.1923,+0.1453,-0.4688,+0.5558,+0.1090,+0.4762,+0.1151,-1.0106,+1.0980,+0.4201,+0.6643,+0.1860,+0.3649,+0.0789
Lulu,+0.6126,-0.1793,+0.0237,-0.0301,-0.1792,+0.3844,-0.4008,+0.0352,-0.1161,-0.2655,-0.4391,-0.1526,+0.7595,-0.3288,+0.1946,+0.2703,-0.2533,-0.2152,-0.5474,-0.0692,-0.2292,+0.3434,+0.3678,+0.6212
Bard,+0.1217,-0.0649,+0.0118,+0.2758,+0.5067,+0.0000,-0.2095,+0.5569,-0.1020,-0.4375,+0.4406,+0.1321,-0.1231,-0.0038,+0.0169,-0.0234,-0.0745,-0.1216,-0.0866,+0.0974,+0.3256,-0.0161,+0.5489,+0.2434
Nami,+0.2552,+0.1837,-0.0877,+0.4087,+0.0833,-0.0693,-0.8651,-0.2285,+0.3135,-0.1710,+0.3520,-1.0005,+0.2715,-0.2753,+0.3871,-0.0961,+0.1166,-0.2062,+0.1924,-0.1107,-0.0727,+0.1643,+0.1808,+0.3528
Neeko,+0.0040,+0.1057,+0.0512,-0.0235,+0.5220,-0.4546,-0.6961,+0.0996,+0.0120,-0.2100,+0.2049,-0.3143,-0.5759,-0.2198,+0.5214,-0.0722,+0.8650,+0.2069,+0.3317,-0.0658,+0.4508,+0.2030,+0.5310,+0.3560
Karma,-0.3472,-0.3336,-0.3918,+0.0355,-0.0236,-0.4856,-0.5223,+0.3809,+0.0091,-0.5483,+0.2055,-0.4283,+0.2980,+0.0224,-0.3992,-0.3579,+0.4989,+0.3693,-0.3272,-0.3918,-0.2022,-0.0793,+0.5061,+0.2997
Seraphine,+0.1048,-0.2012,-0.2352,+0.4904,-0.3085,-0.0997,-0.7460,-0.2500,+0.0918,+0.2330,+0.2272,-0.6419,+0.0330,-0.1887,-0.4365,-0.3118,+0.2765,-0.0397,-0.4453,-0.9216,-0.1509,+0.2995,+0.6229,+0.3014
Rakan,+0.2579,+0.7720,+0.3280,+0.5615,+0.5369,-0.1856,+0.5818,+0.4490,+0.2364,-0.2687,-0.0531,-0.0270,+0.1219,+0.1712,+0.2106,-0.4493,+0.6480,+0.1510,+0.5347,+0.1898,+0.3212,+0.4069,+0.0273,+0.0463
Alistar,-0.4919,+0.1244,+0.2329,-0.5787,+0.5914,+1.7774,+0.2384,-0.0580,+0.2946,+0.9632,-0.1335,+0.1509,+0.1435,-0.1324,+0.3473,+0.2365,+0.0773,+0.2878,+0.2628,+0.6669,-0.0816,+0.5904,+0.3487,+0.3329
Rell,+0.2376,+0.5958,+0.0024,+0.8965,+0.8759,-0.5098,-0.1218,+0.1260,-0.0373,+0.3912,+0.5535,+0.4265,-0.4696,+0.4969,+0.0912,-0.3172,-0.0146,-0.1639,+0.6914,+0.7325,+0.7150,-0.1212,-0.6235,+0.0365
Leona,+0.0065,+0.3885,-0.0104,+0.2876,+0.9572,-0.2416,+0.4803,+0.2964,-0.0368,-0.0639,-0.2186,+0.2888,-0.3967,+0.4252,+0.3463,-0.4853,+0.3774,-0.3960,+1.0890,+0.6098,+0.5981,+0.6901,+0.6130,+0.0514
Milio,-0.3066,+0.2024,-0.0973,+0.2476,-0.3459,-0.0487,-0.2665,-0.2396,-0.0404,-0.3392,+0.0566,-0.2451,-0.2381,+0.1948,-0.0511,+0.1350,+0.2315,+0.2343,+0.2571,+0.0774,+0.2253,+0.0827,+0.0084,+0.2318
Braum,-0.5102,-0.2617,-0.1471,-0.4228,+0.4605,+0.0682,-0.2866,-0.4771,-0.1881,+0.9245,-0.5827,+0.3357,-0.1537,+0.8169,-0.0244,-0.0309,-0.1497,+1.0664,-0.3100,+0.9862,+0.2066,+0.2987,-0.5045,-0.3162
Thresh,+0.1429,+0.2431,-0.2905,-0.5466,-0.1487,-0.3913,-0.2988,+0.0742,-0.3963,-0.3679,-0.0140,-0.7543,+0.4314,-0.2120,+0.2474,-0.1136,-0.0977,-0.0884,-0.0409,-0.4231,-0.3820,+0.0565,+0.1965,+0.0443
Renata Glasc,-0.4205,-0.3951,-0.4014,-0.3480,-0.7533,-0.0752,+0.2993,-0.6003,+0.1840,+0.6409,-0.2984,+0.2520,+0.2768,-0.7244,-0.1873,-0.0444,-0.2229,-0.0616,-0.1785,+0.2600,-0.3126,+0.0926,-0.3255,+0.0321
