sup\mid,Ryze,Ahri,Aurora,Azir,Orianna,Viktor,Taliyah,Akali,Annie,Syndra,Galio,Anivia,Cassiopeia,Yone,LeBlanc,Mel,Sylas,Hwei,Twisted Fate,Zoe,Lissandra,Aurelion Sol,Jayce,Ziggs,Yasuo,Swain,Sion,Vladimir,Malzahar,Tristana,Veigar,Xerath,Zed,Ekko,Irelia,Kassadin,Vex,Corki,Lux,Smolder,Morgana,Neeko,Renekton,Karma,Ambessa,Cho'Gath
Nautilus,+0.4271,+0.2916,+0.3000,+0.5724,+0.2482,+0.3264,+0.4623,+0.2677,+0.2771,+0.2522,-0.0338,+0.3754,+0.0679,+0.1802,+0.4255,+0.3224,-0.0290,+0.2488,+0.3532,+0.4973,+0.3543,+0.3033,+0.5970,+0.3729,+0.1230,+0.3895,+0.4620,+0.2864,+0.4875,+0.1835,+0.4475,+0.4890,+0.4878,+0.4554,+0.5479,+0.3955,+0.4808,+0.6375,+0.6438,+0.1995,+0.5072,+0.7960,+0.2996,+0.9534,+0.3954,+0.4811
Lulu,+0.1250,-0.1766,-0.0177,+0.0217,+0.1002,-0.2720,+0.2279,+0.0266,-0.0380,-0.3527,+0.1684,+0.0597,+0.2131,-0.1106,+0.0114,-0.0280,+0.1841,-0.0675,+0.0265,+0.1025,+0.0978,+0.0618,-0.0261,-0.0259,+0.1768,+0.2466,+0.1898,+0.2911,+0.2025,-0.0700,+0.3213,+0.0156,+0.1837,+0.2688,+0.2973,+0.1763,+0.3434,+0.2613,+0.2487,+0.1242,+0.4359,+0.3033,+0.1272,-0.0429,+0.0929,+0.3002
Bard,+0.0203,-0.1593,-0.2149,+0.1568,+0.3773,+0.2958,+0.3034,-0.2945,+0.1442,+0.3682,+0.0150,+0.1365,+0.2298,-0.0251,-0.1515,-0.0396,-0.0515,+0.0490,+0.1206,+0.1411,+0.1083,+0.2293,+0.3195,+0.2947,-0.0513,+0.0568,+0.0835,+0.2334,+0.2241,+0.1328,+0.3155,+0.2815,+0.0986,+0.1722,+0.1327,+0.2427,+0.1805,+0.0717,+0.2518,+0.1405,+0.3673,+0.4581,+0.1232,+0.1306,+0.0674,+0.3283
Nami,-0.2027,-0.0149,-0.2752,+0.1188,+0.0248,-0.0473,-0.0406,-0.1632,-0.2042,-0.0421,-0.1124,+0.2442,+0.1137,-0.0944,-0.0332,-0.1027,-0.0157,-0.0288,-0.0789,-0.0561,+0.1396,+0.0801,+0.0409,+0.1472,-0.0131,+0.1758,-0.0226,+0.2067,+0.2082,+0.0224,+0.2808,+0.2042,+0.0304,+0.1161,+0.0769,+0.1817,+0.1849,+0.0332,+0.0751,+0.2331,+0.3500,+0.3472,-0.1270,+0.2935,-0.0613,+0.2434
Neeko,-0.1911,-0.2111,-0.2024,+0.2503,+0.0154,-0.2163,+0.1439,-0.0533,-0.0218,+0.1615,-0.3391,+0.4161,+0.2851,-0.0079,-0.0672,+0.0587,-0.5499,+0.2094,-0.0073,+0.0282,+0.3420,+0.3205,+0.3688,+0.1603,+0.2975,+0.2745,+0.1380,+0.5370,+0.5664,+0.2542,+0.5784,+0.5470,+0.2950,+0.5998,+0.5376,+0.6144,+0.4966,+0.1280,+0.6386,+0.4393,+0.6310,+0.2988,+0.3163,-0.4325,+0.2775,+0.5209
Karma,+0.0218,-0.3244,-0.0474,+0.1301,+0.0194,+0.0212,+0.0647,-0.0514,-0.1012,-0.1817,-0.0210,+0.0605,+0.0974,-0.1692,+0.0519,-0.1807,-0.1059,+0.1074,+0.0303,+0.1307,+0.3310,+0.1549,+0.2948,+0.3901,+0.2268,+0.3393,+0.1040,+0.2895,+0.4509,+0.0297,+0.4539,+0.3630,+0.2955,+0.4124,+0.2425,+0.3648,+0.4947,+0.0239,+0.4278,+0.3766,+0.5886,+1.0452,+0.1947,+0.2085,+0.1693,+0.4187
Seraphine,-0.1933,-0.3163,-0.2854,-0.1784,-0.1546,-0.1333,-0.1108,-0.2582,-0.1474,-0.0573,-0.2451,+0.1128,+0.0955,-0.2120,-0.1085,-0.5612,-0.4066,-0.1300,-0.0445,-0.1195,+0.1310,+0.0559,+0.0001,-0.0353,-0.0789,+0.1628,+0.0122,+0.0892,+0.2171,-0.0996,+0.1994,+0.1791,+0.0875,+0.1515,+0.1613,+0.1215,+0.3130,+0.1131,+0.2064,+0.2277,+0.3328,+0.2380,-0.0089,+0.2310,-0.0975,+0.2000
Rakan,+0.1314,+0.0666,+0.3588,+0.4075,+0.4875,+0.1700,-0.0900,+0.3447,+0.4095,+0.0891,+0.1957,+0.2673,+0.1389,+0.3918,+0.3036,+0.2867,-0.1948,-0.0179,+0.1845,+0.1995,+0.2158,+0.2943,+0.2785,+0.4151,+0.2226,+0.1361,+0.2760,+0.2975,+0.3244,+0.3021,+0.1893,+0.3243,+0.3528,+0.3480,+0.3105,+0.3525,+0.1614,+0.4241,+0.4453,+0.1631,+0.2818,+0.4137,+0.0777,+0.3289,+0.3338,+0.3514
Alistar,+0.6585,+0.4232,+0.5231,+0.4942,+0.5435,+0.1608,+0.3674,+0.4249,+0.4239,-0.0194,+0.3172,+0.2498,+0.0697,+0.4577,+0.3449,+0.2734,-1.0766,+0.0059,+0.4103,+0.1992,+0.1211,+0.2298,+0.3846,+0.2091,+0.3222,+0.2049,+0.3310,+0.3197,+0.2698,+0.3668,+0.1200,+0.1233,+0.3093,+0.2434,+0.3377,+0.2081,+0.2009,+0.4658,+0.4161,+0.1046,+0.1564,+0.3437,+0.1679,+0.2252,+0.3363,+0.3057
Rell,+0.4125,+0.1570,+0.4841,+0.5114,+0.2593,+0.1596,+0.2721,+0.0649,+0.4919,+0.1414,+0.2172,+0.4303,+0.0515,+0.3274,+0.0904,+0.3087,+0.2997,+0.2513,+0.3451,+0.3999,+0.2436,+0.3470,+0.5338,+0.4485,+0.2475,+0.2688,+0.5200,+0.3173,+0.5007,+0.1533,+0.3591,+0.4097,+0.5433,+0.3515,+0.3505,+0.4425,+0.2756,+0.4686,+0.4797,+0.2411,+0.4066,+0.5027,+0.3182,+0.6655,+0.5480,+0.3675
