sup\sup,Nautilus,Lulu,Bard,Nami,Neeko,Karma,Seraphine,Rakan,Alistar,Rell,Leona,Milio,Braum,Thresh,Renata Glasc,Pyke,Poppy,Anivia,Yuumi,Blitzcrank,Elise,Lux,Shen
Nautilus,+0.0000,+1.1375,+0.8738,+1.0628,+0.6349,+1.4742,+1.1796,+0.0967,-0.5358,-1.6943,-0.8967,+0.6699,-2.8332,+0.2679,-0.2945,+0.8799,+0.0247,+0.1919,+0.4143,+0.2327,+0.0149,+0.7634,+0.2391
Lulu,-1.1375,+0.0000,-0.3588,-0.6812,-0.0180,+0.4317,+0.6791,-0.1709,+0.1554,-0.4472,-0.5907,-0.2276,+0.7018,-0.3196,+0.3793,-0.6281,+1.1667,-0.0920,+0.1079,-0.0354,+0.3996,+0.2048,+0.4679
Bard,-0.8738,+0.3588,+0.0000,-0.1444,+0.1239,+0.5530,+0.3972,-0.5798,-0.4625,-0.3476,-0.7164,+0.1574,+0.2098,-0.2406,-0.1544,-0.3057,+0.2907,+0.3789,-0.0678,+0.2313,-0.0702,+0.5238,+0.4262
Nami,-1.0628,+0.6812,+0.1444,+0.0000,+0.2817,+0.9000,+0.2412,-0.3261,-0.1474,-0.4671,-0.4970,-0.3733,+0.5347,+0.3543,+0.1295,-0.3448,+0.6050,+0.1975,-0.0135,+0.2367,+0.2387,+0.5073,+0.3137
Neeko,-0.6349,+0.0180,-0.1239,-0.2817,+0.0000,-0.5144,-0.3563,-0.9532,-0.8426,+0.1868,-0.1935,+0.1070,+0.5749,+0.3909,+0.0784,-0.2203,+0.4592,+0.0743,+0.0713,+0.1495,+0.0096,+0.5077,+0.3118
Karma,-1.4742,-0.4317,-0.5530,-0.9000,+0.5144,+0.0000,-0.5949,-0.7916,-0.5337,-0.5978,-0.9297,+0.1677,+0.7477,-0.0220,+0.2480,-0.8083,+0.5167,-0.3783,-0.4802,+0.2993,+0.2801,+0.1983,+0.1493
Seraphine,-1.1796,-0.6791,-0.3972,-0.2412,+0.3563,+0.5949,+0.0000,-0.3069,+0.1498,-0.7342,-0.3563,-0.1788,+0.3324,+0.3339,+0.0725,-0.7652,+0.5083,-0.0870,-0.7105,-0.3676,+0.2688,+0.1899,+0.2494
Rakan,-0.0967,+0.1709,+0.5798,+0.3261,+0.9532,+0.7916,+0.3069,+0.0000,-0.1430,-0.2127,+0.5713,+0.3115,+0.1362,-0.1123,-0.0585,-0.0038,-0.4578,+0.0647,+0.0033,+0.2922,+0.1835,+0.2886,+0.2354
Alistar,+0.5358,-0.1554,+0.4625,+0.1474,+0.8426,+0.5337,-0.1498,+0.1430,+0.0000,+0.9840,+0.6422,+0.0218,-0.5238,+0.0386,-0.1439,+0.3783,+0.1845,+0.5187,+0.5548,+0.6154,+0.2053,-0.0299,+0.4222
Rell,+1.6943,+0.4472,+0.3476,+0.4671,-0.1868,+0.5978,+0.7342,+0.2127,-0.9840,+0.0000,+0.2164,+0.3221,-1.2572,+0.6315,+0.2606,+0.1339,-0.9377,+0.2833,+0.2811,+0.6419,+0.0614,+0.6000,+0.0213
Leona,+0.8967,+0.5907,+0.7164,+0.4970,+0.1935,+0.9297,+0.3563,-0.5713,-0.6422,-0.2164,+0.0000,+0.0905,-2.0875,+0.7515,+0.2799,+0.7511,+0.0146,+0.3602,+0.4441,+0.6502,+0.4318,+0.4845,+0.2509
Milio,-0.6699,+0.2276,-0.1574,+0.3733,-0.1070,-0.1677,+0.1788,-0.3115,-0.0218,-0.3221,-0.0905,+0.0000,+0.3496,+0.1516,-0.0925,-0.1248,+0.3252,+0.0050,+0.0186,+0.2353,+0.3610,-0.3418,+0.2650
Braum,+2.8332,-0.7018,-0.2098,-0.5347,-0.5749,-0.7477,-0.3324,-0.1362,+0.5238,+1.2572,+2.0875,-0.3496,+0.0000,-0.3689,-0.2634,+0.2515,-0.3164,-0.0508,+0.0291,+0.6025,-0.3770,-0.4860,+0.2329
Thresh,-0.2679,+0.3196,+0.2406,-0.3543,-0.3909,+0.0220,-0.3339,+0.1123,-0.0386,-0.6315,-0.7515,-0.1516,+0.3689,+0.0000,+0.0769,+0.1464,+0.3439,+0.3215,-0.3055,-0.3909,+0.3956,+0.2262,-0.1652
Renata Glasc,+0.2945,-0.3793,+0.1544,-0.1295,-0.0784,-0.2480,-0.0725,+0.0585,+0.1439,-0.2606,-0.2799,+0.0925,+0.2634,-0.0769,+0.0000,-0.1247,+0.0199,-0.0484,+0.0380,-0.3678,-0.0013,-0.1976,-0.0211
Pyke,-0.8799,+0.6281,+0.3057,+0.3448,+0.2203,+0.8083,+0.7652,+0.0038,-0.3783,-0.1339,-0.7511,+0.1248,-0.2515,-0.1464,+0.1247,+0.0000,-0.0280,+0.0118,-0.3106,+0.0278,-0.1258,+0.5707,+0.0998
Poppy,-0.0247,-1.1667,-0.2907,-0.6050,-0.4592,-0.5167,-0.5083,+0.4578,-0.1845,+0.9377,-0.0146,-0.3252,+0.3164,-0.3439,-0.0199,+0.0280,+0.0000,-0.6242,+0.0629,-0.2393,-0.1347,-0.0005,+0.0085
