top\bot,Yunara,Ezreal,Corki,Ashe,Varus,Sivir,Jhin,Caitlyn,Lucian,Kai'Sa,Aphelios,Miss Fortune,Xayah,Jinx,Kalista,Zeri,Smolder,Tristana,Ziggs,Mel,Senna,Draven,Kog'Maw,Vayne
Sion,-0.0183,+0.2080,+0.1570,+0.0767,+0.2891,-0.4228,+0.1387,-0.1581,-0.0030,-0.2943,-0.1000,-0.2948,+0.2686,-0.1992,+0.3523,+0.1078,-0.2072,-0.0015,+0.6316,+0.6877,+0.6220,+0.9438,+0.3887,-0.2422
K'Sante,-0.2424,+0.0709,-0.2925,+0.0663,+0.2751,-0.3055,+0.1400,-0.1106,-0.0546,+0.0328,+0.0309,+0.0444,-0.2282,+0.3169,-0.0660,-0.1296,+0.0744,-0.3311,+0.3186,+0.5196,+0.3434,+1.0818,+0.4889,+0.0064
Gnar,+0.0416,+0.3503,+0.3646,+0.4626,+0.5477,-0.0070,+0.0223,+0.1638,-0.1666,-0.4437,+0.4966,+0.6634,+0.2910,+0.6568,+0.3360,+0.1934,+0.0878,+0.4178,+0.2419,+0.1927,-0.2445,+0.3786,+0.0123,-0.7926
Rumble,-0.4351,-0.3321,-0.7241,-0.2853,-0.0783,-0.4743,-0.6159,-0.3811,-0.5747,-0.2746,-0.1405,-0.2160,-0.1457,-0.3034,-0.2477,-0.7327,+0.5670,-0.1595,-0.0302,+0.1910,+0.6140,+0.3594,+0.7278,+0.5488
Renekton,+0.0951,+0.3793,+0.2997,+0.1801,-0.0251,-0.0315,-0.0943,+0.0149,+0.1405,+0.3450,+0.3267,+0.3444,+0.2782,+0.1372,+0.5344,+0.6052,+0.3941,+0.2875,+0.2717,+0.1542,+0.0186,+0.3145,-0.1884,-0.0068
Ambessa,-0.4340,-0.3444,-0.1494,+0.3102,+0.3361,-0.3133,-0.3609,+0.0479,-0.1494,-0.6049,+0.1556,-0.1925,-0.2350,-0.0487,-0.0986,-0.2685,+0.1701,+0.2531,+0.1344,+0.3010,+0.3930,+0.1984,+0.2712,+0.1475
Jayce,-0.0641,+0.0604,-0.3794,+0.4042,+0.6733,-0.2081,-0.3371,-0.0928,-0.1410,-0.2325,+0.0085,-0.1710,+0.0336,+0.0078,-0.4361,-0.3638,-0.0796,+0.2491,+0.5402,+0.1420,+0.4607,+0.1515,+0.3110,+0.4346
Gwen,-0.1274,-0.2545,-0.2648,+0.1834,+0.1232,-0.1549,-0.6265,-0.1441,-0.0760,-0.0503,+0.0164,-0.3402,+0.1137,+0.4790,+0.2058,+0.3714,+0.1710,+0.4555,-0.0582,+0.2035,-0.2376,+0.0885,-0.1795,-0.0554
Ornn,-0.1250,-0.0369,+0.0516,+0.1429,+0.0845,-0.5226,-0.1639,+0.1661,-0.3082,+0.0093,-0.0826,-0.3962,+0.3719,+0.3752,-0.7481,-0.5378,-0.4185,-0.3844,+0.0340,+0.0058,-0.4097,+0.7991,+0.8756,+0.1250
Zaahen,-0.0591,-0.0898,-0.1559,-0.1547,+0.2626,-0.2181,-0.2518,-0.4840,-0.4774,+0.3483,+0.1599,+0.1417,-0.2135,-0.2568,+0.1243,-0.1374,+0.0198,+0.3848,+0.1209,+0.5186,+0.0292,+0.0513,+0.1967,-0.1045
