top\top,Sion,K'Sante,Gnar,Rumble,Renekton,Ambessa,Jayce,Gwen,Ornn,Zaahen,Yorick,Jax,Aatrox,Vayne,Aurora,Kennen,Rek'Sai,Gragas,Varus,Anivia,Olaf,Malphite,Shen,Camille,Galio,Fiora,Irelia,Poppy,Volibear,Dr. Mundo,Cho'Gath,Mordekaiser,Sylas,Akali,Yasuo,Darius,Kled,Gangplank,Yone,Ryze,Garen,Sett,Urgot,Udyr,Vladimir,Maokai,Nidalee,Pantheon,Sejuani,Wukong
Sion,+0.0000,-0.4499,-0.4445,+1.2342,+0.3464,-0.4522,+1.2854,-0.8110,-0.0404,+0.2094,-0.1954,+0.2954,-1.2214,+0.0836,+0.4581,+0.5795,+0.0126,+0.5047,+0.5115,+0.6842,-0.1188,+0.5346,-0.0835,-0.3091,+0.3399,-0.1474,+0.4032,+0.2430,+0.2311,-0.2357,-1.0239,-0.2498,+0.5280,+0.4513,+0.5118,+0.1987,+0.1150,+0.3987,+0.2174,+0.4609,+0.3785,-0.0437,+0.5470,+0.2678,+0.2581,+0.5057,+0.4852,+0.7189,+0.3859,+0.5298
K'Sante,+0.4499,+0.0000,-1.5711,+1.8694,+0.7735,-0.0380,+0.7873,-0.3569,+0.1658,+0.4865,+0.0107,+0.1790,-0.4279,+0.1306,+0.4549,+0.3026,+0.3371,+0.4003,+0.3218,+0.6696,-0.1390,+0.3543,-0.0169,-0.3415,+0.6056,-0.1664,+0.5354,-0.3102,+0.3292,+0.1311,-0.1183,+0.1604,+0.5441,+0.5194,+0.5307,+0.3263,+0.3935,+0.3603,+0.2333,+0.4688,-0.0305,+0.1885,+0.5049,+0.2215,+0.3885,+0.3951,+0.4242,+0.6211,+0.4215,+0.4191
Gnar,+0.4445,+1.5711,+0.0000,+0.1612,+1.0372,-0.0666,-0.1467,+0.6902,+0.5182,+0.3332,-0.1427,-0.0968,+0.2040,-0.1191,+0.3444,-0.4180,+0.2051,+0.2443,+0.3848,+0.3717,+0.1062,-0.3580,+0.2574,-0.2778,+0.5073,+0.1033,-0.2445,+0.1143,+0.3191,+0.3937,+0.3625,+0.2596,-0.5727,-0.0139,-0.1851,+0.1661,+0.1376,-0.0456,+0.1927,+0.3909,+0.2253,+0.2558,+0.1137,+0.2536,+0.1481,+0.2755,+0.0960,+0.4196,+0.1828,+0.1747
Rumble,-1.2342,-1.8694,-0.1612,+0.0000,-0.1362,-1.1425,+0.0444,-0.1154,-2.8430,+0.7624,-0.2030,+0.1904,-0.7448,+0.8797,-1.0233,+0.4230,+0.7012,+0.1062,+0.1500,+0.5214,+0.2869,+0.6523,+0.5504,+0.0304,-2.8945,+0.7239,+0.3457,+0.3408,+0.2758,+0.3328,+0.4660,+0.4819,+0.2516,+0.1354,+0.8212,+0.6359,+0.6337,+0.6864,+0.1343,+0.0071,+0.7176,+0.6316,+0.8612,+0.4061,+0.6419,+0.3812,+0.3809,+0.3677,+0.1730,+0.2671
Renekton,-0.3464,-0.7735,-1.0372,+0.1362,+0.0000,+1.7493,-0.1815,+0.2195,-1.1194,+0.2075,+0.7356,-0.4639,-0.0963,+0.1829,+0.3433,-0.1430,+0.4046,-0.4984,+0.3794,+0.4649,-0.0798,+0.3442,+0.1108,+0.6719,+0.2541,+0.4533,+0.6248,+0.0892,+0.1381,+0.1226,+0.2820,+0.2788,+0.4830,+0.5319,+0.6535,+0.2231,+0.1945,+0.0571,+0.5647,+0.3647,+0.3117,+0.4480,+0.2402,+0.2840,+0.4791,+0.5336,+0.2397,+0.4755,+0.3518,+0.3697
Ambessa,+0.4522,+0.0380,+0.0666,+1.1425,-1.7493,+0.0000,+0.5121,+0.7243,+0.5005,+0.3648,-0.1647,-0.5416,-0.7752,+0.5578,+0.2236,+0.3152,+0.3710,+0.4461,+0.6209,+0.7824,+0.2337,+0.4551,+0.1495,-0.8369,+0.4996,+0.4733,+0.4845,-0.4428,-0.1487,+0.4883,+0.3720,+0.4559,+0.5316,+0.4636,+0.6690,+0.3355,+0.5898,+0.5780,+0.3887,+0.4982,+0.5942,+0.3202,+0.6888,+0.4506,+0.6432,+0.3407,+0.6007,+0.4637,+0.3014,+0.2804
Jayce,-1.2854,-0.7873,+0.1467,-0.0444,+0.1815,-0.5121,+0.0000,+0.8252,-0.8254,+0.6754,-0.8583,+0.0317,-0.0138,+0.4970,-0.0996,+0.2464,+0.5406,-0.4733,+0.1885,+0.5371,+0.4202,-0.1801,+0.5368,+0.1227,+0.0027,+0.5449,+0.0912,+0.2984,+0.2818,+0.1052,+0.2548,+0.5045,+0.2872,+0.0899,+0.4095,+0.5392,+0.4823,+0.3432,+0.1692,+0.2001,+0.4971,+0.4944,+0.5881,+0.3594,+0.4793,+0.1841,+0.1576,+0.1092,+0.1626,+0.0466
Gwen,+0.8110,+0.3569,-0.6902,+0.1154,-0.2195,-0.7243,-0.8252,+0.0000,+0.4771,+0.4607,+0.3286,-1.5139,+0.0842,+0.3470,-0.1273,-0.3383,+0.2364,-0.2386,+0.0428,+0.6656,+0.0095,+0.3378,+0.1951,+0.1203,-0.1294,-0.1958,+0.2164,+0.0909,+0.1574,+0.2597,+0.2310,+0.2968,+0.1416,-0.5157,+0.3545,+0.0098,+0.2410,+0.1912,+0.0345,-0.0356,+0.2055,+0.0994,+0.4056,+0.2384,-0.2962,+0.1220,-0.0041,-0.0541,-0.0715,+0.0742
Ornn,+0.0404,-0.1658,-0.5182,+2.8430,+1.1194,-0.5005,+0.8254,-0.4771,+0.0000,+0.1696,-0.1685,+0.0810,-0.4435,+0.0882,+0.2059,+0.2318,+0.2330,+0.3974,+0.4012,+0.5489,-0.2620,+0.3438,-0.2275,-0.4395,+0.2463,-0.0914,+0.3859,+0.0417,+0.1205,+0.0034,-0.1096,-0.0344,-0.0576,+0.2015,+0.1949,+0.1444,+0.2102,+0.1603,+0.1377,+0.3162,+0.2054,+0.0411,+0.3559,+0.2656,+0.1986,+0.2659,+0.3862,+0.5410,+0.2171,+0.2363
Zaahen,-0.2094,-0.4865,-0.3332,-0.7624,-0.2075,-0.3648,-0.6754,-0.4607,-0.1696,+0.0000,-0.1914,-0.6467,-0.1072,-0.0540,-0.6441,-0.0594,-0.0005,-0.0994,-0.6288,+0.0945,-0.0153,+0.0179,+0.0988,+0.0208,-0.3007,-0.0012,-0.1193,-0.0475,-0.0397,+0.0104,-0.0004,-0.0672,-0.0390,-0.2762,+0.0718,+0.0743,+0.0737,+0.0947,-0.3811,-0.3384,+0.1229,+0.1122,+0.0624,-0.0385,-0.0735,-0.4569,-0.1824,-0.5050,-0.4171,-0.4116
