bot\sup,Nautilus,Lulu,Bard,Nami,Neeko,Karma,Seraphine,Rakan,Alistar,Rell,Leona,Milio,Braum,Thresh,Renata Glasc,Pyke,Poppy,Anivia,Yuumi,Blitzcrank,Elise,Lux,Shen
Yunara,+0.0246,+3.2563,-0.1417,-0.1078,-0.0476,+0.0955,-0.4844,+0.3007,+0.1329,-0.1914,-0.2035,+0.3315,+0.4690,-0.0253,-0.4517,+0.0905,-0.5098,-0.1722,+0.5365,-0.3169,-0.7961,-0.5504,-0.1846
Ezreal,+0.0785,-1.3154,+1.3744,+0.5812,+1.1265,+2.3082,+0.2866,+0.0388,+0.2268,+0.0796,+0.7959,-1.0689,+0.1336,-0.7800,-0.8238,-0.3996,-0.1680,+0.4364,-0.6384,-0.0890,+0.5956,-0.0035,-0.2706
Corki,-0.3286,-1.4155,-0.0990,+3.4976,+0.4342,-0.4697,-0.7021,+0.6493,+0.2633,+0.5237,+0.4502,-0.1011,+0.0838,-1.4216,-0.8560,+0.0131,-0.2130,-0.1231,-0.5382,-0.1415,-0.0523,-0.2901,-0.4604
Ashe,-0.3750,+0.6795,-0.5512,-0.1582,-1.0070,+0.0155,+4.4236,-0.4066,-0.6604,-0.7222,+0.0354,+0.3223,+0.9799,+0.0772,-0.2644,-0.1766,-0.4124,-0.4384,-0.3382,-0.0243,-0.2653,-0.5012,-0.2078
Varus,+0.6015,-0.5835,+0.6387,-0.5718,+0.4889,+0.4674,-0.4383,+0.5490,+0.9416,+0.5156,+0.1468,-1.5413,-0.3461,-0.4540,-0.4498,-0.3522,-0.0093,+0.5467,-0.3455,-0.0158,-0.3030,+0.0303,-0.1027
Sivir,+0.4263,+1.4431,+0.9380,-0.7099,+0.5784,+1.3854,-0.1368,+0.2577,+0.5383,+0.0998,+0.3607,-0.4645,+0.3353,-0.2862,-0.7184,-0.2454,-0.1049,+0.0883,+0.5558,+0.0425,+0.0272,-0.0257,-0.0550
Jhin,+0.5639,-1.0056,+1.4705,-0.7068,+1.2918,+1.6047,+0.2862,+0.2580,+0.8763,+0.6567,+0.4437,-1.8591,-0.4311,-0.5984,-1.0778,-0.3273,+0.2700,+0.8588,-0.5342,+0.5861,+0.6366,+0.4537,-0.2739
Caitlyn,-0.7474,-0.8486,+2.3333,+0.9698,+1.2517,+1.8360,-0.0930,-1.0099,+0.3946,-0.6596,+0.0842,+0.2111,+0.3365,-0.3959,-0.4019,-0.4446,+0.0278,+1.1780,+0.3850,-0.1000,+2.2806,+1.8572,-0.1982
Lucian,-1.4424,-0.4544,-0.9076,+3.1203,-1.1122,-1.3921,-0.3303,-1.0178,-0.9050,-1.2359,-0.6348,+4.1911,+1.1390,-0.3272,+0.3743,+0.0138,-0.5440,-0.2110,+1.2380,-0.4674,+0.3664,+0.2783,+0.0638
Kai'Sa,+1.2926,-0.4103,+0.1307,-0.7180,+2.1399,-0.5102,-0.4719,+0.6226,+0.7767,+1.4238,+1.0240,-1.4974,-0.8239,-0.1212,-0.5714,+0.2331,+0.1697,+0.1543,-0.5084,+0.3341,-0.2608,-0.5490,+0.2206
Aphelios,-0.5226,+1.7966,-0.4623,-1.0785,-0.6563,-0.3690,-0.2180,-0.1844,-0.4163,-0.4986,-0.6830,+1.4552,+0.8721,+2.2417,+0.2436,+0.1532,-0.0208,-0.2793,+0.7439,+0.0222,-0.2071,+0.0505,+0.0033
Miss Fortune,+1.1887,-0.6256,+0.2532,-0.7503,+0.7056,+0.1821,+0.8607,+0.4645,+0.7740,+1.5338,+0.9985,-1.4018,-0.6280,-0.2657,-0.4493,-0.0595,+0.5391,+0.1038,-0.2970,+0.5535,-0.3602,-0.2719,-0.0695
Xayah,+0.2208,+0.7184,-0.5283,-0.7491,-0.3109,-0.4356,-0.5555,+3.1514,+0.2949,+0.6075,+0.3967,-0.9945,-0.0729,+0.4689,+0.9305,-0.0946,+0.2540,-0.5844,-0.3725,+0.0635,-0.7141,-0.6561,+0.2964
Jinx,+0.7593,+1.0817,-0.3233,-0.9680,-0.2480,+0.2731,+0.0329,+0.7931,+0.2668,+0.1799,+0.5808,-0.2014,+0.4169,+1.2469,+0.1014,+0.1205,+0.2746,-0.1533,+0.0660,+0.4020,-0.4426,-0.0029,+0.0747
Kalista,-0.3032,-0.5088,-0.4898,-0.3377,-0.7006,-0.7222,-0.3806,+0.2979,-0.3904,-0.6307,-0.1410,+0.3408,-0.4612,+0.4470,+3.9732,+0.2855,+0.4475,+0.3256,-0.1410,-0.1643,+0.6417,+0.5432,+0.5059
Zeri,-0.2033,+1.6468,+0.5280,-0.1017,-0.1154,+0.0940,-0.5977,+0.0226,+0.6962,+0.0563,-0.0766,+0.9787,+0.6033,+0.3392,+0.1704,+0.2109,+0.0588,+0.3198,+3.2532,+0.0111,+0.3920,+0.7270,+0.0389
Smolder,+0.3012,-0.6382,+0.5084,+0.4337,+0.0345,+0.6073,-0.0588,+0.7774,+0.4628,+0.3945,+0.5687,-0.7437,-0.0802,-0.2404,-0.3308,-0.1972,+0.2499,+0.1392,-0.2312,+0.2063,+0.0611,+0.1428,+0.1629
Tristana,+0.5248,+1.2200,-0.6778,-0.4971,-0.5240,-0.6889,-0.4551,+0.7101,+0.4076,+0.3945,+0.0980,+0.0287,+0.1976,+0.6303,+0.4516,+0.4123,+0.0768,-0.0591,+0.6169,+0.4100,-0.2227,+0.0860,+0.1764
Ziggs,+0.7053,-0.4824,-0.2488,-0.8268,-0.5812,-0.3406,-0.5868,+0.0652,+0.1887,+0.4481,+0.0808,-0.4032,-0.3150,+0.1835,+0.3360,+0.6099,+0.3495,-0.4405,+0.1526,+0.3791,-0.1286,+0.1036,+0.2245
Mel,+0.4648,-0.1408,-0.2357,+0.0213,+0.0150,-0.3777,-0.0988,-0.2405,+0.0135,+0.3168,-0.1994,+0.2262,+0.0297,+0.2039,+0.2023,+0.4661,+0.1066,+0.0398,+0.2547,+0.1848,+0.2261,+0.1095,+0.0319
Senna,+1.5768,-0.3283,-0.0390,-0.6881,-0.4074,+0.2309,+1.0933,-0.0050,+0.3145,+0.5342,+0.0227,-0.9720,-0.0238,-0.2443,-0.3235,+0.2968,+0.0323,-0.1179,-0.1902,+0.4779,+0.1277,-0.3377,+0.1003
Draven,+0.1324,-0.4358,-0.7055,+0.4905,+0.0483,-0.5280,+0.1193,+0.0689,+0.1462,+0.5175,+0.2943,+0.3379,+0.0535,-0.3489,+0.1625,+0.4039,+0.0694,-0.1847,+0.2459,+0.1787,-0.1331,-0.1064,-0.0384
Kog'Maw,+0.0823,+1.3355,-0.3365,-0.0497,-0.3225,-0.1535,-0.1148,-0.0076,+0.0264,-0.0496,-0.2605,+0.6641,+0.4227,+0.1659,+0.0956,+0.2906,-0.0968,-0.0635,+0.5691,+0.1113,-0.0522,-0.0988,+0.1340
Vayne,-0.0738,-0.0520,+0.0956,-0.1504,-0.0259,+0.3616,+0.0857,+0.3141,+0.2235,-0.1898,+0.2301,+0.0564,+0.1342,+0.1844,+0.5497,+0.1341,+0.1555,+0.2735,-0.0027,+0.1584,+0.2576,+0.3952,+0.2271
