jng\bot,Yunara,Ezreal,Corki,Ashe,Varus,Sivir,Jhin,Caitlyn,Lucian,Kai'Sa,Aphelios,Miss Fortune,Xayah,Jinx,Kalista,Zeri,Smolder,Tristana,Ziggs,Mel,Senna,Draven,Kog'Maw,Vayne
Xin Zhao,+0.3677,+0.4372,+0.0023,+0.7021,+0.2975,+0.4892,+0.1157,+0.1358,-0.0307,-0.3586,-0.0176,-0.0980,-0.1125,-0.1148,-0.0088,-0.2093,+0.0708,-0.5303,-0.3345,-0.0099,-0.0150,-0.1823,-0.1932,-0.1205
Jarvan IV,+0.2582,+0.5367,-0.0273,+0.3130,-0.0013,+0.2428,+0.0522,-0.0890,-0.2092,-0.3700,-0.0354,-0.2235,+0.0791,-0.3004,-0.5342,-0.6189,-0.2580,-0.7319,-0.2848,+0.0131,-0.0858,-0.3788,-0.2325,-0.4608
Vi,+0.1628,-0.2147,+0.1778,-0.1366,+0.5219,+0.1898,-0.1635,-0.4236,+0.0364,+0.6486,-0.5106,+0.3761,+0.6516,-0.1751,-0.2949,-0.1480,-0.2041,-0.2340,+0.1401,-0.0205,-0.2177,-0.6103,-0.6736,-0.4538
Wukong,+0.1784,+0.0298,+0.0530,-0.0067,-0.0148,-0.0809,-0.1095,-0.6938,+0.1288,+0.1270,-0.0891,+0.1897,+0.4863,-0.0296,+0.0366,-0.1939,-0.4387,-0.1932,-0.3958,-0.1206,-0.2329,+0.1047,-0.0678,-0.2298
Pantheon,+0.3173,+0.5880,+0.2927,+0.2055,+0.2534,+0.0941,-0.0017,+0.0315,-0.0234,+0.3812,+0.0889,-0.2392,-0.2492,+0.0194,-0.4801,-0.5630,-0.0072,-0.2222,-0.2500,-0.0473,-0.2908,-0.3956,-0.3697,-0.4184
Nocturne,+0.1721,+0.2087,+0.1272,-0.4663,-0.1530,+0.1302,-0.1586,-0.5383,+0.0101,+0.5859,-0.2516,+0.1678,+0.0641,-0.3747,-0.1382,-0.1713,-0.1566,-0.4218,-0.0226,+0.0992,-0.4291,+0.4541,-0.2350,-0.2721
Dr. Mundo,+0.1551,+0.2602,+0.8307,+0.0814,+0.4721,-0.0377,+0.2646,+0.1629,-0.2367,+0.0617,+0.1251,+0.0121,+0.1022,+0.2925,-0.0684,+0.5064,+0.0799,+0.3710,-0.4290,-0.0444,-0.1894,+0.0828,+0.2716,-0.0116
Lee Sin,-0.1674,-0.2840,-0.2551,-0.4739,-0.2172,-0.2478,-0.0107,-0.6406,-0.2612,+0.3330,-0.2267,+0.5945,+0.3657,-0.0782,+0.4101,-0.0323,-0.1994,+0.0531,+0.3759,+0.0647,+0.2705,+0.1088,-0.1058,+0.0509
Naafiri,-0.2886,+0.0266,-0.1014,-0.0116,+0.1621,-0.1072,-0.1798,-0.4063,-0.1606,+0.4652,-0.2814,+0.4727,+0.4826,-0.0363,+0.5761,-0.5050,-0.0704,-0.2251,-0.0727,+0.0132,-0.0763,+0.2234,-0.2721,+0.2106
Aatrox,+0.1909,+0.0401,+0.2423,+0.3830,+0.3627,+0.1318,+0.0499,-0.3757,-0.4154,+0.1446,-0.1389,+0.4113,+0.5360,+0.4220,-0.1646,+0.0238,+0.3580,+0.2361,+0.0137,-0.2746,+0.2217,+0.1742,-0.1488,-0.0944
Skarner,+0.2941,-0.3447,-0.0160,-0.1731,+0.3833,+0.1053,-0.0272,+0.4165,+0.1432,+0.0137,-0.0477,-0.3312,-0.5023,-0.3602,-0.3812,+0.5138,-0.0229,+0.2074,-0.1202,+0.0527,+0.1085,-0.1793,+0.2427,-0.0153
Trundle,+0.0999,-0.1787,-0.4187,-0.2074,-0.2027,+0.0712,+0.1993,-0.1650,-0.0205,-0.1145,+0.2435,+0.2230,-0.1355,+0.1109,-0.0137,+0.3597,+0.1274,+0.0878,+0.3590,+0.0760,+0.0883,-0.2450,-0.0514,-0.0323
