mid\bot,Yunara,Ezreal,Corki,Ashe,Varus,Sivir,Jhin,Caitlyn,Lucian,Kai'Sa,Aphelios,Miss Fortune,Xayah,Jinx,Kalista,Zeri,Smolder,Tristana,Ziggs,Mel,Senna,Draven,Kog'Maw,Vayne,Seraphine,Yasuo,Twitch,Hwei,Nilah
Ryze,+0.0510,+0.2175,+0.0985,-0.1640,+0.1627,-0.0666,+0.0235,-0.0682,+0.0601,-0.0028,+0.0331,-0.0033,-0.0203,-0.2024,-0.1979,-0.2594,-0.1437,-0.3177,-0.1955,-0.2702,-0.1375,-0.1199,-0.2567,-0.1879,-0.3460,-0.3642,-0.2421,-0.1827,-0.3268
Ahri,+0.0190,+0.0255,-0.0418,-0.0443,+0.0822,+0.0589,-0.1310,-0.2808,-0.0104,+0.3122,+0.1092,+0.0921,+0.2142,+0.1195,+0.0288,+0.1685,+0.0113,-0.0698,-0.1741,-0.2404,-0.2799,-0.2415,-0.2244,-0.1577,-0.3050,-0.3331,-0.1231,-0.1352,-0.3450
Aurora,+0.0930,+0.1102,+0.2805,+0.0823,+0.1351,+0.0600,+0.0231,-0.1706,+0.0309,+0.2782,-0.0250,+0.1554,+0.0165,-0.1056,-0.0704,-0.0818,-0.0203,-0.2586,-0.0981,-0.1779,-0.0881,-0.1537,-0.3519,-0.2252,-0.1967,-0.4572,-0.2130,-0.1542,-0.2806
Azir,+0.0340,+0.1308,+0.2717,-0.2214,+0.6014,-0.0708,+0.2079,-0.1878,-0.0607,-0.2552,-0.1665,-0.0072,-0.0906,-0.3429,-0.0455,-0.0977,-0.0829,-0.1817,-0.3378,-0.2774,-0.2287,-0.3325,-0.2448,-0.3037,-0.4430,-0.3239,-0.2542,-0.0589,-0.2763
Orianna,+0.2780,-0.0223,+0.3669,-0.0602,+0.2216,+0.1825,+0.0023,-0.1548,-0.1234,+0.1334,-0.0300,-0.0626,+0.0487,+0.0396,-0.3105,+0.0269,-0.0950,-0.3127,-0.3863,-0.2761,-0.0968,-0.2138,-0.1377,-0.0979,-0.2263,-0.3737,-0.1022,-0.1546,-0.2684
Viktor,+0.0166,+0.2640,+0.2200,-0.1266,+0.3485,+0.2612,+0.2639,+0.3028,-0.0390,+0.0406,+0.0340,+0.2690,+0.1421,+0.2170,-0.0143,+0.1129,+0.1148,-0.0306,-0.1493,-0.0614,-0.0653,+0.0142,-0.0457,-0.2044,-0.2496,-0.2804,-0.0939,+0.0571,-0.2253
Taliyah,+0.0548,+0.0479,+0.1318,-0.1104,+0.4247,-0.0142,-0.0529,-0.2689,-0.0396,+0.2523,+0.0927,+0.0081,+0.0786,-0.1582,-0.1533,-0.0416,-0.1273,-0.1180,-0.2879,-0.2736,-0.1290,-0.3198,-0.2355,-0.2353,-0.3928,-0.4726,-0.3307,-0.1862,-0.3871
Akali,+0.0060,+0.0182,+0.0415,-0.0203,-0.0320,+0.0660,-0.0121,-0.0610,-0.1408,+0.2612,+0.0545,+0.1450,+0.1401,+0.0160,+0.1531,+0.1665,+0.0455,-0.0206,-0.1474,-0.0371,-0.0497,-0.0640,+0.0063,+0.0089,-0.0708,-0.1119,+0.0720,-0.0453,-0.0119
Annie,+0.0928,-0.0538,-0.0398,-0.1892,+0.0232,-0.0689,+0.0553,-0.1314,+0.1190,+0.1537,-0.1313,-0.1611,+0.0381,-0.1878,+0.0133,-0.1675,-0.0625,-0.2135,-0.1700,-0.1902,-0.0029,-0.1045,-0.1613,-0.0248,-0.2460,-0.2225,-0.0817,-0.1425,-0.1618
Syndra,+0.1072,+0.2733,+0.2098,-0.0907,+0.1772,+0.1160,+0.1869,+0.1028,-0.0086,+0.0135,+0.1715,+0.0894,+0.1065,+0.2635,-0.2668,+0.1150,+0.1299,+0.1294,-0.0681,-0.0504,-0.0427,-0.0106,-0.0079,+0.0346,-0.0970,-0.2015,-0.0252,+0.0295,-0.0430
