patch,champ,role,picks_vs,bans_vs
16.02,Nautilus,sup,0,3
16.02,Orianna,mid,1,2
16.02,Rakan,sup,2,1
16.02,Rumble,top,0,3
16.02,Azir,mid,0,2
16.02,Draven,bot,0,2
16.02,Lee Sin,jng,0,2
16.02,Ryze,mid,2,0
16.02,Ashe,bot,1,0
16.02,Camille,top,1,0
16.02,Corki,bot,1,0
16.02,Gnar,top,1,0
16.02,Gwen,jng,1,0
16.02,Jarvan IV,jng,0,1
16.02,Jax,top,0,1
16.02,Jayce,top,0,1
16.02,K'Sante,top,1,0
16.02,Kindred,jng,1,0
16.02,Leona,sup,1,0
16.02,Neeko,sup,1,0
16.02,Pantheon,jng,1,0
16.02,Rell,sup,0,1
16.02,Sivir,bot,1,0
16.02,Sylas,mid,0,1
16.02,Varus,bot,1,0
16.02,Wukong,jng,1,0
16.02,Zaahen,top,1,0
16.02,Zoe,mid,1,0
16.03,Gwen,top,0,4
16.03,Nautilus,sup,1,3
16.03,Ambessa,top,0,3
16.03,Darius,top,0,3
16.03,Draven,bot,0,3
16.03,Sylas,mid,0,3
16.03,Ahri,mid,2,0
16.03,Naafiri,jng,0,2
16.03,Varus,bot,2,0
16.03,Aatrox,jng,1,0
16.03,Aatrox,top,1,0
16.03,Alistar,sup,1,0
16.03,Ashe,bot,1,0
16.03,Aurora,top,1,0
16.03,Braum,sup,1,0
16.03,Dr. Mundo,top,1,0
16.03,Gnar,top,1,0
16.03,Jax,jng,1,0
16.03,Kai'Sa,bot,1,0
16.03,Lee Sin,jng,1,0
16.03,Leona,sup,0,1
16.03,Lissandra,mid,1,0
16.03,Orianna,mid,0,1
16.03,Ornn,top,1,0
16.03,Rell,sup,1,0
16.03,Rumble,top,0,1
16.03,Ryze,mid,1,0
16.03,Sivir,bot,1,0
16.03,Syndra,mid,1,0
16.03,Thresh,sup,1,0
16.03,Viego,jng,1,0
16.03,Viktor,mid,0,1
16.03,Zaahen,jng,1,0
16.04,Aurora,mid,0,3
16.04,Jarvan IV,jng,0,3
16.04,Ryze,mid,1,2
16.04,Sion,top,0,3
16.04,Akali,mid,0,2
16.04,Ambessa,jng,1,0
16.04,Braum,sup,1,0
16.04,Camille,top,1,0
16.04,Corki,bot,1,0
16.04,Ezreal,bot,1,0
16.04,Gnar,top,1,0
16.04,Lee Sin,jng,0,1
16.04,Malphite,jng,0,1
16.04,Nami,sup,1,0
16.04,Orianna,mid,1,0
16.04,Pantheon,jng,1,0
16.04,Sivir,bot,1,0
16.04,Swain,sup,1,0
16.04,Syndra,mid,1,0
16.04,Urgot,top,1,0
16.04,Vi,jng,1,0
