patch,champ,role,picks_by,bans_vs
16.01,Briar,jng,0,3
16.01,Camille,top,2,1
16.01,Braum,sup,0,2
16.01,Cho'Gath,jng,2,0
16.01,Tristana,bot,1,1
16.01,Vayne,top,0,2
16.01,Akali,mid,1,0
16.01,Anivia,mid,0,1
16.01,Aphelios,bot,1,0
16.01,Azir,mid,1,0
16.01,Bard,sup,0,1
16.01,Gwen,top,0,1
16.01,Ivern,jng,1,0
16.01,Jayce,top,0,1
16.01,K'Sante,top,1,0
16.01,Lulu,sup,1,0
16.01,Nautilus,sup,1,0
16.01,Rakan,sup,1,0
16.01,Varus,bot,0,1
16.01,Veigar,mid,0,1
16.01,Viktor,mid,1,0
16.01,Yunara,bot,1,0
16.02,Briar,jng,0,2
16.02,K'Sante,top,0,2
16.02,Naafiri,jng,0,2
16.02,Nocturne,jng,1,1
16.02,Orianna,mid,2,0
16.02,Vayne,top,1,1
16.02,Amumu,jng,1,0
16.02,Dr. Mundo,top,1,0
16.02,Miss Fortune,bot,1,0
16.02,Rakan,sup,1,0
16.02,Rell,sup,1,0
16.02,Ryze,mid,0,1
16.02,Tristana,bot,1,0
16.02,Varus,bot,0,1
16.03,Briar,jng,1,1
16.03,Varus,bot,0,2
16.03,Vayne,top,0,2
16.03,Ahri,mid,1,0
16.03,Alistar,sup,1,0
16.03,Bard,sup,1,0
16.03,Ezreal,bot,1,0
16.03,Gwen,top,0,1
16.03,Kayle,top,0,1
16.03,Kled,top,1,0
16.03,Neeko,sup,0,1
16.03,Nocturne,jng,1,0
16.03,Orianna,mid,0,1
16.03,Rell,sup,0,1
16.03,Ryze,mid,1,0
16.03,Tristana,bot,1,0
16.03,Zaahen,top,1,0
