patch,champ,role,picks_vs,bans_vs
16.04,Neeko,sup,0,7
16.04,Pantheon,jng,1,4
16.04,Varus,bot,1,4
16.04,Ahri,mid,3,1
16.04,Renekton,top,3,1
16.04,Rumble,top,1,3
16.04,Volibear,top,0,4
16.04,Akali,mid,2,1
16.04,Ambessa,top,2,1
16.04,Corki,bot,3,0
16.04,Jarvan IV,jng,2,1
16.04,Jax,top,1,2
16.04,Orianna,mid,2,1
16.04,Rakan,sup,3,0
16.04,Vi,jng,3,0
16.04,Xin Zhao,jng,1,2
16.04,Ashe,bot,2,0
16.04,Aurora,mid,1,1
16.04,Braum,sup,0,2
16.04,Ezreal,bot,2,0
16.04,Gwen,top,0,2
16.04,K'Sante,top,2,0
16.04,Nautilus,sup,1,1
16.04,Seraphine,sup,1,1
16.04,Shen,top,0,2
16.04,Thresh,sup,0,2
16.04,Yunara,bot,0,2
16.04,Aatrox,jng,0,1
16.04,Alistar,sup,0,1
16.04,Ambessa,jng,1,0
16.04,Bard,sup,1,0
16.04,Blitzcrank,sup,1,0
16.04,Camille,top,1,0
16.04,Dr. Mundo,jng,1,0
16.04,Elise,sup,1,0
16.04,Galio,sup,1,0
16.04,Gnar,top,1,0
16.04,Kai'Sa,bot,1,0
16.04,Kalista,bot,0,1
16.04,Kennen,top,0,1
16.04,LeBlanc,sup,1,0
16.04,Lee Sin,jng,1,0
16.04,Leona,sup,0,1
16.04,Lulu,sup,0,1
16.04,Mel,mid,0,1
16.04,Nami,sup,1,0
16.04,Nocturne,jng,1,0
16.04,Pyke,sup,0,1
16.04,Ryze,mid,1,0
16.04,Sivir,bot,1,0
16.04,Swain,mid,1,0
16.04,Taliyah,mid,0,1
16.04,Yone,mid,1,0
16.04,Zaahen,top,0,1
16.04,Ziggs,bot,1,0
16.05,Nautilus,sup,2,3
16.05,Ambessa,top,1,3
16.05,Ashe,bot,0,4
16.05,Karma,sup,2,2
16.05,Akali,mid,0,3
16.05,Aurora,mid,0,3
16.05,Corki,bot,1,2
16.05,Orianna,mid,2,1
16.05,Rumble,top,0,3
16.05,Seraphine,sup,0,3
16.05,Annie,mid,1,1
16.05,Jax,top,1,1
16.05,Lee Sin,jng,1,1
16.05,Leona,sup,1,1
16.05,Rakan,sup,0,2
16.05,Ryze,mid,1,1
16.05,Xin Zhao,jng,2,0
16.05,Yunara,bot,2,0
16.05,Ahri,mid,1,0
16.05,Aphelios,bot,0,1
16.05,Azir,mid,1,0
16.05,Bard,sup,1,0
16.05,Gnar,top,1,0
16.05,Jarvan IV,jng,1,0
16.05,Jhin,bot,1,0
16.05,Jinx,bot,1,0
16.05,K'Sante,top,1,0
16.05,Kai'Sa,bot,1,0
16.05,Lucian,bot,0,1
16.05,Lulu,sup,1,0
16.05,Miss Fortune,bot,1,0
16.05,Naafiri,jng,1,0
16.05,Nami,sup,1,0
16.05,Nidalee,jng,0,1
16.05,Nocturne,jng,1,0
16.05,Ornn,top,1,0
16.05,Poppy,sup,0,1
16.05,Pyke,sup,0,1
16.05,Rell,sup,0,1
16.05,Renekton,top,1,0
16.05,Sion,mid,1,0
16.05,Sion,top,1,0
16.05,Twisted Fate,mid,1,0
16.05,Varus,bot,1,0
16.05,Viego,jng,1,0
16.05,Yorick,top,1,0
16.05,Zyra,jng,1,0
16.09,Nocturne,jng,0,7
16.09,Varus,bot,0,6
16.09,Akali,mid,2,2
16.09,Jarvan IV,jng,3,1
16.09,Lucian,bot,3,1
16.09,Annie,mid,1,2
16.09,Bard,sup,3,0
16.09,Jhin,bot,3,0
16.09,Naafiri,jng,1,2
16.09,Nautilus,sup,2,1
16.09,Rumble,top,2,1
16.09,Ambessa,top,0,2
16.09,Cassiopeia,mid,2,0
16.09,Jayce,top,1,1
16.09,Milio,sup,2,0
16.09,Pantheon,jng,1,1
16.09,Ryze,mid,1,1
16.09,Seraphine,sup,0,2
16.09,Sion,top,2,0
16.09,Vi,jng,1,1
16.09,Ahri,mid,0,1
16.09,Ashe,bot,0,1
16.09,Aurora,mid,0,1
16.09,Azir,mid,1,0
16.09,Caitlyn,bot,0,1
16.09,Corki,bot,1,0
16.09,Ezreal,bot,1,0
16.09,Gnar,top,1,0
16.09,Gwen,top,0,1
16.09,Jax,top,1,0
16.09,Lee Sin,jng,1,0
16.09,Orianna,mid,0,1
16.09,Pyke,sup,1,0
16.09,Renekton,top,1,0
16.09,Sivir,bot,0,1
16.09,Trundle,jng,1,0
16.09,Twisted Fate,mid,1,0
16.09,Xin Zhao,jng,0,1
