patch,champ,role,picks_vs,bans_vs
16.04,Ashe,bot,1,1
16.04,Pantheon,jng,0,2
16.04,Aurora,mid,1,0
16.04,Caitlyn,bot,0,1
16.04,Dr. Mundo,jng,1,0
16.04,Ezreal,bot,0,1
16.04,Gnar,top,1,0
16.04,Jarvan IV,jng,0,1
16.04,K'Sante,top,1,0
16.04,Neeko,sup,1,0
16.04,Orianna,mid,0,1
16.04,Seraphine,sup,1,0
16.04,Sion,top,0,1
16.04,Sylas,mid,1,0
16.04,Trundle,jng,0,1
16.04,Varus,bot,0,1
16.04,Wukong,jng,1,0
16.04,Yunara,bot,1,0
16.05,Azir,mid,1,2
16.05,Bard,sup,1,2
16.05,Galio,mid,0,3
16.05,Jayce,top,0,3
16.05,Malphite,jng,0,3
16.05,Varus,bot,1,2
16.05,Akali,mid,0,2
16.05,Ambessa,top,1,1
16.05,Ashe,bot,1,1
16.05,Gwen,top,0,2
16.05,Jarvan IV,jng,1,1
16.05,Lulu,sup,1,1
16.05,Nautilus,sup,1,1
16.05,Ryze,mid,2,0
16.05,Taliyah,mid,1,1
16.05,Zaahen,jng,2,0
16.05,Aatrox,top,1,0
16.05,Annie,mid,1,0
16.05,Aurora,mid,0,1
16.05,Caitlyn,bot,1,0
16.05,Jayce,jng,1,0
16.05,Jhin,bot,1,0
16.05,K'Sante,top,1,0
16.05,Karma,sup,1,0
16.05,Maokai,jng,0,1
16.05,Mordekaiser,top,1,0
16.05,Neeko,sup,1,0
16.05,Orianna,mid,1,0
16.05,Ornn,top,0,1
16.05,Pantheon,jng,1,0
16.05,Rakan,sup,1,0
16.05,Rek'Sai,top,1,0
16.05,Rell,sup,0,1
16.05,Renekton,top,0,1
16.05,Sion,top,1,0
16.05,Sivir,bot,1,0
16.05,Xin Zhao,jng,1,0
16.05,Zeri,bot,1,0
16.06,Varus,bot,0,4
16.06,Ryze,mid,0,3
16.06,Ahri,mid,2,0
16.06,Corki,bot,0,2
16.06,Ezreal,bot,1,1
16.06,Gwen,top,1,1
16.06,Jarvan IV,jng,0,2
16.06,Renekton,top,0,2
16.06,Seraphine,sup,2,0
16.06,Sivir,bot,2,0
16.06,Aatrox,jng,1,0
16.06,Ambessa,top,1,0
16.06,Ashe,bot,1,0
16.06,Cassiopeia,mid,1,0
16.06,Gangplank,top,0,1
16.06,Jayce,top,1,0
16.06,Kai'Sa,bot,0,1
16.06,Karma,sup,1,0
16.06,Lulu,sup,1,0
16.06,Orianna,mid,0,1
16.06,Ornn,top,1,0
16.06,Pantheon,jng,0,1
16.06,Sylas,mid,1,0
16.06,Vi,jng,0,1
16.06,Viego,jng,1,0
16.06,Wukong,jng,1,0
16.06,Xin Zhao,jng,1,0
16.07,Orianna,mid,0,4
16.07,Jarvan IV,jng,1,2
16.07,Karma,sup,1,2
16.07,Yorick,top,1,2
16.07,Corki,bot,1,1
16.07,Ezreal,bot,1,1
16.07,Varus,bot,0,2
16.07,Yunara,bot,1,1
16.07,Anivia,sup,1,0
16.07,Aurora,mid,1,0
16.07,Braum,sup,1,0
16.07,Caitlyn,bot,1,0
16.07,Galio,mid,0,1
16.07,Gangplank,top,0,1
16.07,K'Sante,top,1,0
16.07,LeBlanc,mid,1,0
16.07,Mel,mid,1,0
16.07,Nautilus,sup,1,0
16.07,Neeko,sup,0,1
16.07,Nocturne,jng,0,1
16.07,Rumble,top,1,0
16.07,Ryze,mid,1,0
16.07,Sion,top,1,0
16.07,Vi,jng,0,1
16.07,Viego,jng,1,0
16.07,Wukong,jng,1,0
16.07,Xin Zhao,jng,1,0
16.09,Pantheon,jng,0,3
16.09,Jayce,top,0,2
16.09,Orianna,mid,0,2
16.09,Sion,top,0,2
16.09,Varus,bot,0,2
16.09,Wukong,jng,1,1
16.09,Aurora,mid,0,1
16.09,Bard,sup,1,0
16.09,Ezreal,bot,1,0
16.09,Gnar,top,1,0
16.09,Lulu,sup,1,0
16.09,Miss Fortune,bot,1,0
16.09,Nautilus,sup,1,0
16.09,Nocturne,jng,1,0
16.09,Renekton,top,1,0
16.09,Rumble,top,1,0
16.09,Sivir,bot,0,1
16.09,Sylas,mid,1,0
16.09,Taliyah,mid,0,1
16.09,Viktor,mid,1,0
16.09,Vladimir,mid,1,0
16.09,Xin Zhao,jng,1,0
16.09,Yunara,bot,1,0
16.1,Pantheon,jng,0,3
16.1,Caitlyn,bot,1,1
16.1,Nautilus,sup,1,1
16.1,Varus,bot,0,2
16.1,Aatrox,jng,0,1
16.1,Akali,mid,1,0
16.1,Cassiopeia,mid,1,0
16.1,Gwen,top,0,1
16.1,Jarvan IV,jng,0,1
16.1,Jayce,top,1,0
16.1,K'Sante,top,0,1
16.1,Karma,sup,1,0
16.1,Lulu,sup,0,1
16.1,Naafiri,jng,1,0
16.1,Neeko,sup,1,0
16.1,Rumble,top,1,0
16.1,Seraphine,sup,0,1
16.1,Shen,top,1,0
16.1,Sion,top,0,1
16.1,Sivir,bot,1,0
16.1,Skarner,jng,1,0
16.1,Vi,jng,0,1
16.1,Viktor,mid,1,0
16.1,Xin Zhao,jng,1,0
16.1,Yunara,bot,1,0
