patch,champ,role,picks_vs,bans_vs
16.06,Ivern,jng,0,3
16.06,Ashe,bot,1,1
16.06,Gwen,top,1,1
16.06,Malphite,jng,0,2
16.06,Orianna,mid,1,1
16.06,Pantheon,jng,2,0
16.06,Wukong,jng,0,2
16.06,Akali,mid,0,1
16.06,Alistar,sup,1,0
16.06,Ambessa,top,0,1
16.06,Anivia,mid,1,0
16.06,Camille,top,0,1
16.06,Ezreal,bot,1,0
16.06,Galio,mid,1,0
16.06,Karma,sup,1,0
16.06,Leona,sup,0,1
16.06,Nautilus,sup,0,1
16.06,Ornn,top,1,0
16.06,Seraphine,sup,1,0
16.06,Xin Zhao,jng,1,0
16.06,Yunara,bot,1,0
16.06,Zaahen,top,1,0
16.07,Ivern,jng,0,3
16.07,Xin Zhao,jng,3,0
16.07,Azir,mid,0,2
16.07,Ezreal,bot,1,1
16.07,Gwen,top,1,1
16.07,Karma,sup,1,1
16.07,Lulu,sup,2,0
16.07,Ryze,mid,1,1
16.07,Vi,jng,1,1
16.07,Wukong,jng,0,2
16.07,Yunara,bot,2,0
16.07,Ahri,mid,1,0
16.07,Anivia,mid,1,0
16.07,Ashe,bot,0,1
16.07,Blitzcrank,sup,1,0
16.07,Camille,top,0,1
16.07,Dr. Mundo,jng,0,1
16.07,Draven,bot,1,0
16.07,Gnar,top,1,0
16.07,Jarvan IV,jng,0,1
16.07,Nautilus,sup,0,1
16.07,Ornn,top,1,0
16.07,Rumble,top,0,1
16.07,Varus,bot,0,1
16.07,Viktor,mid,1,0
16.07,Yone,mid,0,1
16.07,Zaahen,top,1,0
16.08,Kindred,jng,0,8
16.08,Ashe,bot,0,4
16.08,Karma,sup,0,4
16.08,Ryze,mid,1,3
16.08,Aurora,mid,2,1
16.08,Camille,top,0,3
16.08,Ezreal,bot,3,0
16.08,Alistar,sup,2,0
16.08,Ambessa,top,2,0
16.08,Anivia,mid,2,0
16.08,Bard,sup,1,1
16.08,Gwen,top,1,1
16.08,Hwei,mid,2,0
16.08,Jarvan IV,jng,2,0
16.08,Lulu,sup,2,0
16.08,Nami,sup,2,0
16.08,Seraphine,sup,0,2
16.08,Sion,top,2,0
16.08,Syndra,mid,0,2
16.08,Wukong,jng,2,0
16.08,Xin Zhao,jng,2,0
16.08,Yone,mid,0,2
16.08,Zaahen,top,0,2
16.08,Aatrox,jng,0,1
16.08,Akali,mid,0,1
16.08,Annie,mid,1,0
16.08,Aphelios,bot,1,0
16.08,Azir,mid,0,1
16.08,Corki,bot,1,0
16.08,Dr. Mundo,jng,1,0
16.08,Draven,bot,1,0
16.08,K'Sante,top,0,1
16.08,Lee Sin,jng,1,0
16.08,Lucian,bot,1,0
16.08,Mel,mid,1,0
16.08,Nautilus,sup,1,0
16.08,Rakan,sup,1,0
16.08,Renekton,top,1,0
16.08,Rumble,top,1,0
16.08,Sejuani,jng,1,0
16.08,Sett,top,1,0
16.08,Shen,top,1,0
16.08,Skarner,jng,0,1
16.08,Sylas,mid,0,1
16.08,Varus,bot,1,0
16.08,Viktor,mid,0,1
16.08,Yunara,bot,1,0
