patch,champ,role,picks_vs,bans_vs
16.03,Yasuo,mid,0,7
16.03,Akali,mid,1,4
16.03,Yone,mid,0,5
16.03,Jarvan IV,jng,2,2
16.03,Bard,sup,0,3
16.03,Nocturne,jng,0,3
16.03,Orianna,mid,3,0
16.03,Yunara,bot,3,0
16.03,Alistar,sup,2,0
16.03,Gnar,top,2,0
16.03,Karma,sup,2,0
16.03,Neeko,sup,1,1
16.03,Ryze,mid,0,2
16.03,Shen,top,0,2
16.03,Vi,jng,1,1
16.03,Wukong,jng,0,2
16.03,Ahri,mid,0,1
16.03,Ambessa,top,1,0
16.03,Aphelios,bot,1,0
16.03,Aurora,mid,1,0
16.03,Braum,sup,1,0
16.03,Corki,bot,1,0
16.03,Jax,top,1,0
16.03,Jayce,jng,1,0
16.03,K'Sante,top,1,0
16.03,Kai'Sa,bot,1,0
16.03,Kha'Zix,jng,1,0
16.03,Lulu,sup,1,0
16.03,Naafiri,top,1,0
16.03,Pantheon,jng,1,0
16.03,Qiyana,jng,1,0
16.03,Sivir,bot,1,0
16.03,Syndra,mid,1,0
16.03,Taliyah,mid,1,0
16.03,Xin Zhao,jng,0,1
16.03,Zaahen,top,1,0
16.04,Bard,sup,0,4
16.04,Yasuo,mid,0,4
16.04,Yone,mid,1,3
16.04,Akali,mid,0,2
16.04,Zed,mid,0,2
16.04,Aatrox,top,1,0
16.04,Ambessa,jng,1,0
16.04,Azir,mid,1,0
16.04,Braum,sup,1,0
16.04,Corki,bot,0,1
16.04,Ezreal,bot,1,0
16.04,Ivern,jng,0,1
16.04,Jax,top,1,0
16.04,Karma,sup,1,0
16.04,Leona,sup,0,1
16.04,Malphite,jng,1,0
16.04,Miss Fortune,bot,0,1
16.04,Nasus,top,1,0
16.04,Nautilus,sup,0,1
16.04,Neeko,sup,1,0
16.04,Rakan,sup,1,0
16.04,Ryze,mid,1,0
16.04,Sejuani,jng,1,0
16.04,Taliyah,mid,1,0
16.04,Varus,bot,1,0
16.04,Xayah,bot,1,0
16.04,Xin Zhao,jng,1,0
16.04,Yorick,top,1,0
16.04,Zeri,bot,1,0
16.05,Akali,mid,0,4
16.05,Neeko,sup,0,4
16.05,Alistar,sup,0,3
16.05,Sejuani,jng,0,3
16.05,Orianna,mid,0,2
16.05,Renekton,top,1,1
16.05,Rumble,top,0,2
16.05,Aatrox,top,1,0
16.05,Aphelios,bot,1,0
16.05,Ashe,bot,1,0
16.05,Aurora,top,1,0
16.05,Caitlyn,bot,1,0
16.05,Corki,bot,1,0
16.05,Dr. Mundo,jng,1,0
16.05,Gwen,top,1,0
16.05,Jinx,bot,0,1
16.05,K'Sante,top,0,1
16.05,Karma,sup,1,0
16.05,Kennen,top,0,1
16.05,Leona,sup,0,1
16.05,Malphite,jng,0,1
16.05,Nautilus,sup,1,0
16.05,Poppy,top,1,0
16.05,Rakan,sup,1,0
16.05,Ryze,mid,1,0
16.05,Seraphine,sup,1,0
16.05,Syndra,mid,1,0
16.05,Taliyah,mid,1,0
16.05,Thresh,sup,1,0
16.05,Varus,bot,0,1
16.05,Vex,mid,1,0
16.05,Vi,jng,1,0
16.05,Viktor,mid,1,0
16.05,Wukong,jng,1,0
16.05,Xin Zhao,jng,1,0
16.05,Yunara,bot,1,0
16.05,Zaahen,jng,1,0
16.06,Nautilus,sup,0,2
16.06,Yasuo,mid,0,2
16.06,Yone,mid,0,2
16.06,Ahri,mid,1,0
16.06,Akali,mid,1,0
16.06,Ambessa,jng,1,0
16.06,Corki,bot,1,0
16.06,Ezreal,bot,1,0
16.06,Gnar,top,1,0
16.06,Karma,sup,1,0
16.06,Nami,sup,1,0
16.06,Poppy,sup,0,1
16.06,Rumble,top,1,0
16.06,Ryze,mid,0,1
16.06,Sion,top,0,1
16.06,Wukong,jng,1,0
16.06,Xin Zhao,jng,0,1
16.07,Yasuo,mid,0,5
16.07,Bard,sup,0,3
16.07,Yone,mid,0,3
16.07,Akali,mid,1,1
16.07,Gnar,top,0,2
16.07,Karma,sup,0,2
16.07,Neeko,sup,0,2
16.07,Seraphine,sup,1,1
16.07,Vi,jng,2,0
16.07,Wukong,jng,1,1
16.07,Alistar,sup,1,0
16.07,Ashe,bot,1,0
16.07,Azir,mid,1,0
16.07,Corki,bot,1,0
16.07,Gragas,top,1,0
16.07,Gwen,top,0,1
16.07,Jarvan IV,jng,0,1
16.07,K'Sante,top,1,0
16.07,Lulu,sup,1,0
16.07,Nami,sup,1,0
16.07,Nautilus,sup,0,1
16.07,Nocturne,jng,0,1
16.07,Olaf,top,1,0
16.07,Ornn,top,0,1
16.07,Rell,sup,1,0
16.07,Renekton,top,1,0
16.07,Rumble,top,1,0
16.07,Ryze,mid,1,0
16.07,Senna,bot,1,0
16.07,Sivir,bot,1,0
16.07,Skarner,jng,1,0
16.07,Taliyah,mid,1,0
16.07,Varus,bot,1,0
16.07,Viktor,mid,1,0
16.07,Xin Zhao,jng,1,0
16.08,Sion,top,0,2
16.08,Vi,jng,0,2
16.08,Aatrox,jng,1,0
16.08,Annie,mid,1,0
16.08,Corki,bot,1,0
16.08,Ezreal,bot,1,0
16.08,Galio,mid,1,0
16.08,Gnar,top,1,0
16.08,Jarvan IV,jng,0,1
16.08,Karma,sup,1,0
16.08,Nami,sup,1,0
16.08,Nautilus,sup,0,1
16.08,Neeko,sup,0,1
16.08,Nocturne,jng,0,1
16.08,Orianna,mid,0,1
16.08,Pantheon,jng,1,0
16.08,Renekton,top,1,0
16.08,Wukong,jng,0,1
16.09,Orianna,mid,1,2
16.09,Ornn,top,0,3
16.09,Ahri,mid,1,1
16.09,Bard,sup,0,2
16.09,Caitlyn,bot,0,2
16.09,Ezreal,bot,0,2
16.09,K'Sante,top,0,2
16.09,Lucian,bot,2,0
16.09,Sion,top,2,0
16.09,Yasuo,mid,0,2
16.09,Akali,mid,0,1
16.09,Anivia,mid,1,0
16.09,Jayce,jng,1,0
16.09,Milio,sup,1,0
16.09,Naafiri,top,1,0
16.09,Naafiri,jng,1,0
16.09,Pantheon,jng,1,0
16.09,Rumble,top,0,1
16.09,Sejuani,jng,0,1
16.09,Senna,bot,1,0
16.09,Seraphine,sup,1,0
16.09,Skarner,jng,1,0
16.09,Smolder,bot,1,0
16.09,Swain,top,1,0
16.09,Sylas,mid,1,0
16.09,Taric,sup,1,0
16.09,Yone,mid,0,1
16.09,Yuumi,sup,1,0
16.1,Ashe,bot,0,2
16.1,Nautilus,sup,0,2
16.1,Ahri,mid,0,1
16.1,Akali,mid,0,1
16.1,Anivia,mid,1,0
16.1,Bard,sup,1,0
16.1,Brand,jng,0,1
16.1,Corki,bot,1,0
16.1,Jarvan IV,jng,1,0
16.1,Mel,bot,1,0
16.1,Neeko,sup,0,1
16.1,Orianna,top,1,0
16.1,Pantheon,jng,1,0
16.1,Senna,sup,1,0
16.1,Vayne,top,1,0
16.1,Yone,mid,1,0
16.1,Zyra,jng,0,1
