patch,champ,role,picks_by,bans_vs
16.01,Neeko,sup,0,11
16.01,Rumble,top,2,8
16.01,Jayce,top,0,9
16.01,Naafiri,jng,3,4
16.01,LeBlanc,mid,1,5
16.01,Ahri,mid,3,2
16.01,Akali,mid,2,3
16.01,Corki,bot,1,4
16.01,Alistar,sup,1,3
16.01,Galio,mid,3,1
16.01,Orianna,mid,2,2
16.01,Ryze,mid,4,0
16.01,Sion,top,3,1
16.01,Aphelios,bot,3,0
16.01,Bard,sup,1,2
16.01,Jarvan IV,jng,3,0
16.01,Leona,sup,2,1
16.01,Malphite,jng,0,3
16.01,Nautilus,sup,3,0
16.01,Rell,sup,1,2
16.01,Thresh,sup,2,1
16.01,Braum,sup,2,0
16.01,Caitlyn,bot,0,2
16.01,Ezreal,bot,2,0
16.01,Gnar,top,2,0
16.01,Kai'Sa,bot,1,1
16.01,Lucian,bot,2,0
16.01,Nami,sup,0,2
16.01,Pantheon,jng,2,0
16.01,Poppy,sup,0,2
16.01,Renekton,top,1,1
16.01,Varus,bot,1,1
16.01,Vi,jng,2,0
16.01,Wukong,jng,2,0
16.01,Yunara,bot,2,0
16.01,Zaahen,top,1,1
16.01,Ambessa,top,0,1
16.01,Ambessa,jng,1,0
16.01,Galio,top,1,0
16.01,Jax,top,1,0
16.01,Jayce,jng,1,0
16.01,Jhin,bot,1,0
16.01,Karma,sup,1,0
16.01,Kennen,top,1,0
16.01,Lulu,sup,1,0
16.01,Malphite,top,1,0
16.01,Milio,sup,0,1
16.01,Ornn,top,1,0
16.01,Poppy,top,1,0
16.01,Renata Glasc,sup,1,0
16.01,Smolder,bot,1,0
16.01,Tristana,bot,1,0
16.01,Xin Zhao,jng,1,0
16.02,Akali,mid,1,1
16.02,Ambessa,top,1,1
16.02,Varus,bot,0,2
16.02,Ahri,mid,0,1
16.02,Aphelios,bot,1,0
16.02,Ezreal,bot,0,1
16.02,Galio,mid,0,1
16.02,Gwen,top,1,0
16.02,Jayce,jng,1,0
16.02,Jhin,bot,0,1
