patch,champ,role,picks_by,bans_vs
16.01,Jarvan IV,jng,3,5
16.01,Bard,sup,3,4
16.01,Malphite,jng,0,7
16.01,Sion,top,4,3
16.01,Neeko,sup,0,6
16.01,Poppy,sup,0,6
16.01,Jayce,top,0,5
16.01,Rumble,top,1,4
16.01,Azir,mid,4,0
16.01,Rek'Sai,top,4,0
16.01,Ryze,mid,4,0
16.01,Varus,bot,4,0
16.01,Xin Zhao,jng,3,1
16.01,Aphelios,bot,2,1
16.01,Cassiopeia,mid,1,2
16.01,K'Sante,top,1,2
16.01,Orianna,mid,1,2
16.01,Pantheon,jng,2,1
16.01,Wukong,jng,1,2
16.01,Ambessa,top,0,2
16.01,Aurora,top,2,0
16.01,Corki,bot,1,1
16.01,Kai'Sa,bot,1,1
16.01,Leona,sup,1,1
16.01,Lulu,sup,1,1
16.01,Miss Fortune,bot,1,1
16.01,Qiyana,jng,2,0
16.01,Rakan,sup,1,1
16.01,Rell,sup,2,0
16.01,Sivir,bot,1,1
16.01,Sylas,mid,0,2
16.01,Yunara,bot,2,0
16.01,Ahri,mid,1,0
16.01,Akali,mid,1,0
16.01,Alistar,sup,1,0
16.01,Braum,sup,1,0
16.01,Galio,top,1,0
16.01,Jayce,jng,1,0
16.01,Jinx,bot,0,1
16.01,Kalista,bot,1,0
16.01,Karma,sup,1,0
16.01,Nautilus,sup,0,1
16.01,Poppy,jng,1,0
16.01,Renata Glasc,sup,1,0
16.01,Taliyah,mid,1,0
16.01,Thresh,sup,1,0
16.01,Vi,jng,0,1
16.02,Jayce,top,0,7
16.02,Pantheon,jng,5,2
16.02,Varus,bot,2,5
16.02,Corki,bot,5,1
16.02,Neeko,sup,4,2
16.02,Orianna,mid,2,4
16.02,Azir,mid,3,2
16.02,Bard,sup,1,4
16.02,Jarvan IV,jng,0,5
16.02,Malphite,jng,1,4
16.02,Sion,top,2,3
16.02,Alistar,sup,3,1
16.02,Cassiopeia,mid,1,3
16.02,Rakan,sup,3,1
16.02,Rek'Sai,top,2,2
16.02,Yunara,bot,2,2
16.02,Galio,mid,3,0
16.02,Poppy,sup,0,3
16.02,Renekton,top,2,1
16.02,Rumble,top,2,1
16.02,Sylas,mid,0,3
16.02,Wukong,jng,1,2
16.02,Ambessa,top,2,0
16.02,Anivia,mid,1,1
16.02,Aphelios,bot,0,2
16.02,Miss Fortune,bot,2,0
16.02,Naafiri,jng,1,1
16.02,Poppy,jng,2,0
