patch,champ,role,picks_by,bans_vs,series_presence
16.02,Varus,bot,3,3,6
16.02,Orianna,mid,3,2,5
16.02,Rakan,sup,4,1,5
16.02,Nocturne,jng,3,1,4
16.02,Sion,top,3,1,4
16.02,Ambessa,top,1,2,3
16.02,Azir,mid,1,2,3
16.02,Jayce,top,0,3,3
16.02,Ryze,mid,0,3,3
16.02,Vi,jng,1,2,3
16.02,Yunara,bot,3,0,3
16.02,Aurora,mid,1,1,2
16.02,K'Sante,top,2,0,2
16.02,Renata Glasc,sup,1,1,2
16.02,Rumble,top,0,2,2
16.02,Akali,mid,1,0,1
16.02,Alistar,sup,0,1,1
16.02,Dr. Mundo,jng,1,0,1
16.02,Gnar,top,0,1,1
16.02,Gwen,top,0,1,1
16.02,Jarvan IV,jng,0,1,1
16.02,Jayce,jng,1,0,1
16.02,LeBlanc,mid,1,0,1
16.02,Lee Sin,jng,0,1,1
16.02,Nautilus,sup,1,0,1
16.02,Pantheon,jng,1,0,1
16.02,Poppy,sup,0,1,1
16.02,Qiyana,jng,0,1,1
16.02,Rell,sup,1,0,1
16.02,Renekton,top,1,0,1
16.02,Sylas,mid,0,1,1
16.02,Taliyah,mid,0,1,1
16.02,Wukong,jng,0,1,1
16.02,Xayah,bot,1,0,1
16.02,Xin Zhao,jng,0,1,1
16.03,Aurora,mid,4,2,6
16.03,Nocturne,jng,4,2,6
16.03,Sion,top,3,2,5
16.03,Orianna,mid,2,2,4
16.03,Akali,mid,1,2,3
16.03,Aphelios,bot,3,0,3
16.03,K'Sante,top,1,2,3
16.03,Neeko,sup,0,3,3
16.03,Sivir,bot,3,0,3
16.03,Varus,bot,1,2,3
16.03,Alistar,sup,2,0,2
16.03,Azir,mid,0,2,2
16.03,Braum,sup,1,1,2
16.03,Jarvan IV,jng,2,0,2
16.03,LeBlanc,mid,0,2,2
16.03,Lulu,sup,0,2,2
16.03,Ornn,top,2,0,2
16.03,Ryze,mid,0,2,2
16.03,Vi,jng,1,1,2
16.03,Ambessa,top,0,1,1
16.03,Blitzcrank,sup,1,0,1
16.03,Galio,top,1,0,1
16.03,Jax,top,0,1,1
16.03,Jayce,top,0,1,1
16.03,Kai'Sa,bot,0,1,1
16.03,Leona,sup,1,0,1
16.03,Nautilus,sup,1,0,1
16.03,Rakan,sup,0,1,1
16.03,Rumble,top,0,1,1
16.03,Tahm Kench,sup,1,0,1
16.03,Taliyah,mid,0,1,1
16.03,Yunara,bot,0,1,1
16.07,Nautilus,sup,6,0,6
16.07,Pantheon,jng,2,4,6
16.07,Sion,top,5,1,6
16.07,Orianna,mid,2,3,5
16.07,Karma,sup,0,4,4
16.07,Viktor,mid,3,0,3
16.07,Zyra,jng,2,1,3
16.07,Akali,mid,0,2,2
16.07,Jarvan IV,jng,0,2,2
16.07,K'Sante,top,1,1,2
16.07,Kha'Zix,jng,1,1,2
16.07,Neeko,sup,0,2,2
16.07,Ryze,mid,0,2,2
16.07,Senna,bot,2,0,2
16.07,Yunara,bot,1,1,2
16.07,Ahri,mid,1,0,1
16.07,Alistar,sup,1,0,1
16.07,Ashe,bot,0,1,1
16.07,Aurora,mid,0,1,1
16.07,Caitlyn,bot,0,1,1
16.07,Corki,bot,0,1,1
16.07,Ezreal,bot,1,0,1
16.07,Gnar,top,0,1,1
16.07,Jhin,bot,1,0,1
16.07,Kai'Sa,bot,0,1,1
16.07,Mel,bot,1,0,1
16.07,Mel,mid,0,1,1
16.07,Naafiri,jng,1,0,1
16.07,Rumble,top,0,1,1
16.07,Sivir,bot,1,0,1
16.07,Skarner,top,1,0,1
16.07,Smolder,mid,1,0,1
16.07,Taliyah,mid,0,1,1
16.07,Varus,bot,0,1,1
16.07,Vi,jng,0,1,1
16.07,Xin Zhao,jng,1,0,1
16.08,Nautilus,sup,3,5,6
16.08,Orianna,mid,1,6,5
16.08,Ashe,bot,2,3,4
16.08,Ahri,mid,3,1,3
16.08,Sion,top,3,1,3
16.08,Viktor,mid,1,3,4
16.08,Aurora,mid,2,1,3
16.08,Leona,sup,2,1,3
16.08,Nocturne,jng,1,2,3
16.08,Akali,mid,0,2,2
16.08,Ezreal,bot,2,0,2
16.08,Jarvan IV,jng,2,0,2
16.08,Naafiri,jng,1,1,2
16.08,Rakan,sup,2,0,2
16.08,Ryze,mid,0,2,2
16.08,Sivir,bot,2,0,2
16.08,Vi,jng,1,1,2
16.08,Yunara,bot,1,1,2
16.08,Zyra,jng,1,1,2
16.08,Braum,sup,0,1,1
16.08,Cho'Gath,top,1,0,1
16.08,Jhin,bot,0,1,1
16.08,K'Sante,top,1,0,1
16.08,Karma,sup,0,1,1
16.08,LeBlanc,mid,0,1,1
16.08,Lee Sin,jng,1,0,1
16.08,Malphite,top,1,0,1
16.08,Malphite,jng,0,1,1
16.08,Mel,mid,1,0,1
16.08,Miss Fortune,bot,1,0,1
16.08,Ornn,top,1,0,1
16.08,Pantheon,jng,1,0,1
16.08,Rell,sup,1,0,1
16.08,Renekton,top,1,0,1
16.08,Senna,bot,0,1,1
16.08,Skarner,jng,0,1,1
16.08,Sylas,mid,0,1,1
16.08,Varus,bot,0,1,1
16.09,Aurora,mid,1,3,3
16.09,Sion,top,1,3,2
16.09,Ezreal,bot,2,1,3
16.09,K'Sante,top,1,2,3
16.09,Karma,sup,0,3,3
16.09,Malphite,jng,0,3,2
16.09,Nocturne,jng,0,3,1
16.09,Orianna,mid,2,1,2
16.09,Ornn,top,2,1,3
16.09,Pantheon,jng,2,1,2
16.09,Rell,sup,3,0,3
16.09,Ryze,mid,1,2,3
16.09,Akali,mid,0,2,2
16.09,Annie,mid,1,1,1
16.09,Bard,sup,1,1,2
16.09,Jarvan IV,jng,1,1,1
16.09,Leona,sup,1,1,2
16.09,Miss Fortune,bot,1,1,2
16.09,Sivir,bot,1,1,2
16.09,Vi,jng,0,2,1
16.09,Viktor,mid,1,1,2
16.09,Wukong,jng,2,0,2
16.09,Ahri,mid,1,0,1
16.09,Ambessa,top,0,1,1
16.09,Ashe,bot,1,0,1
16.09,Braum,sup,1,0,1
16.09,Caitlyn,bot,1,0,1
16.09,Galio,top,1,0,1
16.09,Gnar,top,0,1,1
16.09,Jayce,top,0,1,1
16.09,Jhin,bot,1,0,1
16.09,Lee Sin,jng,1,0,1
16.09,Malphite,top,1,0,1
16.09,Mel,bot,1,0,1
16.09,Milio,sup,1,0,1
16.09,Naafiri,jng,1,0,1
16.09,Nautilus,sup,1,0,1
16.09,Rakan,sup,0,1,1
16.09,Rumble,top,1,0,1
16.09,Seraphine,sup,0,1,1
16.09,Skarner,top,1,0,1
16.09,Smolder,mid,1,0,1
16.09,Varus,bot,0,1,1
16.09,Xin Zhao,jng,1,0,1
16.10,Naafiri,jng,0,2,1
16.10,Nocturne,jng,0,2,1
16.10,Orianna,mid,0,2,1
16.10,Akali,mid,1,0,1
16.10,Annie,mid,0,1,1
16.10,Ashe,bot,1,0,1
16.10,Bard,sup,1,0,1
16.10,Ezreal,bot,1,0,1
16.10,Galio,top,1,0,1
16.10,Jarvan IV,jng,0,1,1
16.10,Lee Sin,jng,0,1,1
16.10,Leona,sup,1,0,1
16.10,Ryze,mid,1,0,1
16.10,Sion,top,1,0,1
16.10,Wukong,jng,1,0,1
16.10,Xin Zhao,jng,1,0,1
16.10,Yorick,top,0,1,1
