patch,champ,role,picks_by,bans_vs
16.01,Gwen,top,1,5
16.01,Ambessa,top,1,4
16.01,Aatrox,jng,0,4
16.01,Ashe,bot,3,1
16.01,Neeko,sup,3,1
16.01,Urgot,top,1,3
16.01,Nocturne,jng,2,1
16.01,Xin Zhao,jng,1,2
16.01,Ziggs,bot,1,2
16.01,Alistar,sup,2,0
16.01,Gnar,top,1,1
16.01,Orianna,mid,1,1
16.01,Rell,sup,2,0
16.01,Wukong,jng,0,2
16.01,Aatrox,top,1,0
16.01,Ahri,mid,1,0
16.01,Akali,mid,0,1
16.01,Ambessa,jng,1,0
16.01,Aurelion Sol,mid,1,0
16.01,Azir,mid,1,0
16.01,Braum,sup,0,1
16.01,Caitlyn,bot,1,0
16.01,Corki,bot,1,0
16.01,Dr. Mundo,jng,1,0
16.01,Fiora,top,1,0
16.01,Galio,mid,0,1
16.01,Jayce,top,0,1
16.01,Malphite,jng,0,1
16.01,Mel,mid,0,1
16.01,Mordekaiser,top,1,0
16.01,Pantheon,jng,1,0
16.01,Qiyana,jng,1,0
16.01,Ryze,mid,1,0
16.01,Swain,mid,1,0
16.01,Sylas,mid,0,1
16.01,Varus,bot,1,0
16.01,Viktor,mid,1,0
16.01,Zaahen,top,0,1
16.02,Gwen,top,0,8
16.02,Diana,jng,0,5
16.02,Urgot,top,0,5
16.02,Aatrox,jng,0,4
16.02,Gnar,top,1,3
16.02,Ambessa,top,1,2
16.02,Camille,top,2,1
16.02,Ryze,mid,2,1
16.02,Alistar,sup,2,0
16.02,Ashe,bot,2,0
16.02,Caitlyn,bot,2,0
16.02,Fiora,top,1,1
16.02,Jarvan IV,jng,2,0
16.02,Mordekaiser,top,1,1
16.02,Neeko,sup,2,0
16.02,Sylas,mid,0,2
16.02,Varus,bot,2,0
16.02,Vi,jng,2,0
16.02,Azir,mid,1,0
16.02,Braum,sup,1,0
16.02,Dr. Mundo,jng,1,0
16.02,Ezreal,bot,1,0
16.02,Jax,top,0,1
16.02,Karma,sup,1,0
16.02,Kassadin,mid,1,0
16.02,Kha'Zix,jng,0,1
16.02,Malphite,jng,1,0
16.02,Milio,sup,0,1
16.02,Orianna,mid,1,0
16.02,Qiyana,jng,0,1
16.02,Rakan,sup,1,0
16.02,Rell,sup,1,0
16.02,Renekton,top,0,1
16.02,Sett,top,1,0
16.02,Smolder,bot,1,0
16.02,Swain,mid,1,0
16.02,Taliyah,mid,1,0
16.02,Taliyah,jng,1,0
16.02,Trundle,jng,1,0
16.02,Twisted Fate,mid,1,0
16.02,Xin Zhao,jng,0,1
16.02,Yone,top,1,0
16.02,Zaahen,top,0,1
16.03,Caitlyn,bot,0,3
16.03,Neeko,sup,0,3
16.03,Vi,jng,0,3
16.03,Nautilus,sup,0,2
16.03,Rell,sup,1,1
16.03,Urgot,top,1,1
16.03,Blitzcrank,sup,0,1
16.03,Corki,bot,1,0
16.03,Ezreal,bot,1,0
16.03,Gnar,top,1,0
16.03,Gwen,top,1,0
16.03,Hecarim,jng,1,0
16.03,Karma,sup,1,0
16.03,Kassadin,mid,1,0
16.03,Leona,sup,1,0
16.03,Nidalee,jng,1,0
16.03,Poppy,sup,0,1
16.03,Sivir,bot,1,0
16.03,Taliyah,jng,1,0
16.03,Twisted Fate,mid,1,0
16.03,Yone,mid,1,0
16.04,Dr. Mundo,jng,0,3
16.04,Gwen,top,0,3
16.04,Neeko,sup,0,3
16.04,Fiora,top,0,2
16.04,Orianna,mid,1,1
16.04,Ambessa,jng,1,0
16.04,Braum,sup,1,0
16.04,Camille,top,1,0
16.04,Corki,bot,1,0
16.04,Ezreal,bot,1,0
16.04,Gnar,top,1,0
16.04,Karma,sup,0,1
16.04,Kayle,top,0,1
16.04,Lulu,sup,0,1
16.04,Nami,sup,1,0
16.04,Pantheon,jng,1,0
16.04,Ryze,mid,1,0
16.04,Sivir,bot,1,0
16.04,Swain,sup,1,0
16.04,Syndra,mid,1,0
16.04,Urgot,top,1,0
16.04,Vi,jng,1,0
