patch,champ,role,picks_vs,bans_vs
16.02,Rumble,top,0,4
16.02,Varus,bot,1,3
16.02,Ambessa,top,0,3
16.02,Jayce,top,0,3
16.02,K'Sante,top,1,2
16.02,Taliyah,mid,2,1
16.02,Ahri,mid,1,1
16.02,Akali,mid,0,2
16.02,Alistar,sup,1,1
16.02,Jarvan IV,jng,1,1
16.02,Malphite,jng,0,2
16.02,Nautilus,sup,1,1
16.02,Neeko,sup,2,0
16.02,Orianna,mid,1,1
16.02,Ornn,top,2,0
16.02,Pantheon,jng,0,2
16.02,Rakan,sup,1,1
16.02,Ryze,mid,1,1
16.02,Sion,top,1,1
16.02,Vi,jng,2,0
16.02,Aphelios,bot,1,0
16.02,Azir,mid,1,0
16.02,Caitlyn,bot,1,0
16.02,Ezreal,bot,1,0
16.02,Garen,top,1,0
16.02,Jhin,bot,0,1
16.02,Jinx,bot,1,0
16.02,LeBlanc,mid,0,1
16.02,Leona,sup,1,0
16.02,Olaf,top,0,1
16.02,Poppy,top,1,0
16.02,Qiyana,jng,1,0
16.02,Rell,sup,0,1
16.02,Renekton,top,1,0
16.02,Sivir,bot,1,0
16.02,Syndra,mid,1,0
16.02,Thresh,sup,1,0
16.02,Volibear,jng,1,0
16.02,Wukong,jng,1,0
16.02,Xayah,bot,0,1
16.02,Xin Zhao,jng,1,0
16.02,Yunara,bot,1,0
16.03,Rumble,top,0,5
16.03,Azir,mid,1,3
16.03,Orianna,mid,1,3
16.03,Varus,bot,0,4
16.03,Neeko,sup,2,1
16.03,Syndra,mid,1,2
16.03,Yunara,bot,2,1
16.03,Alistar,sup,1,1
16.03,Corki,bot,1,1
16.03,Dr. Mundo,jng,2,0
16.03,Gnar,top,2,0
16.03,LeBlanc,mid,0,2
16.03,Rell,sup,2,0
16.03,Wukong,jng,0,2
16.03,Aatrox,jng,1,0
16.03,Akali,mid,0,1
16.03,Ambessa,top,0,1
16.03,Aphelios,bot,1,0
16.03,Aurora,top,1,0
16.03,Blitzcrank,sup,0,1
16.03,Cassiopeia,mid,1,0
16.03,Ezreal,bot,0,1
16.03,Jarvan IV,jng,1,0
16.03,Jax,jng,1,0
16.03,Jinx,bot,1,0
16.03,K'Sante,top,1,0
16.03,Karma,sup,0,1
16.03,Leona,sup,1,0
16.03,Lucian,bot,1,0
16.03,Lulu,sup,1,0
16.03,Mel,mid,1,0
16.03,Nami,sup,0,1
16.03,Nidalee,jng,0,1
16.03,Olaf,top,1,0
16.03,Ornn,top,1,0
16.03,Pantheon,jng,1,0
16.03,Renekton,top,1,0
16.03,Ryze,mid,1,0
16.03,Sylas,mid,0,1
16.03,Taliyah,mid,0,1
16.03,Vayne,bot,1,0
16.03,Viktor,mid,1,0
16.03,Xin Zhao,jng,1,0
16.04,Jarvan IV,jng,0,3
16.04,Orianna,mid,0,3
16.04,Wukong,jng,1,2
16.04,Alistar,sup,1,1
16.04,Braum,sup,0,2
16.04,Corki,bot,1,1
16.04,Rumble,top,0,2
16.04,Tristana,bot,0,2
16.04,Varus,bot,1,1
16.04,Xin Zhao,jng,2,0
16.04,Zoe,mid,1,1
16.04,Aatrox,jng,1,0
16.04,Akali,mid,1,0
16.04,Aurora,mid,1,0
16.04,Azir,mid,0,1
16.04,Bard,sup,1,0
16.04,Cassiopeia,mid,0,1
16.04,Dr. Mundo,jng,1,0
16.04,Ezreal,bot,1,0
16.04,Gnar,top,1,0
16.04,K'Sante,top,1,0
16.04,Kha'Zix,jng,0,1
16.04,Lulu,sup,0,1
16.04,Malphite,top,1,0
16.04,Mel,mid,1,0
16.04,Milio,sup,0,1
16.04,Nautilus,sup,0,1
16.04,Neeko,sup,1,0
16.04,Rakan,sup,1,0
16.04,Rell,sup,1,0
16.04,Renekton,top,1,0
16.04,Ryze,mid,0,1
16.04,Sion,top,1,0
16.04,Syndra,mid,1,0
16.04,Xayah,bot,1,0
16.04,Yunara,bot,1,0
