patch,champ,role,picks_vs,bans_vs
16.07,Ambessa,top,0,3
16.07,Jarvan IV,jng,1,2
16.07,Nautilus,sup,0,3
16.07,Yunara,bot,2,1
16.07,Draven,bot,0,2
16.07,Karma,sup,0,2
16.07,Lulu,sup,2,0
16.07,Rumble,top,1,1
16.07,Ryze,mid,1,1
16.07,Sivir,bot,2,0
16.07,Xin Zhao,jng,0,2
16.07,Gnar,top,0,1
16.07,K'Sante,top,1,0
16.07,Kog'Maw,mid,1,0
16.07,Maokai,jng,0,1
16.07,Morgana,mid,1,0
16.07,Nocturne,jng,1,0
16.07,Orianna,mid,1,0
16.07,Ornn,top,1,0
16.07,Pantheon,jng,1,0
16.07,Qiyana,jng,1,0
16.07,Rakan,sup,1,0
16.07,Rell,sup,1,0
16.07,Sion,top,1,0
16.07,Wukong,jng,0,1
16.08,Karma,sup,0,5
16.08,Jarvan IV,jng,2,1
16.08,Xin Zhao,jng,2,1
16.08,Ambessa,top,0,2
16.08,Bard,sup,2,0
16.08,Corki,bot,1,1
16.08,Ezreal,bot,2,0
16.08,Pantheon,jng,0,2
16.08,Renekton,top,2,0
16.08,Varus,bot,0,2
16.08,Aatrox,top,1,0
16.08,Annie,mid,1,0
16.08,Aurora,mid,1,0
16.08,Caitlyn,bot,0,1
16.08,Dr. Mundo,jng,0,1
16.08,Gwen,top,1,0
16.08,Lucian,bot,1,0
16.08,Lulu,sup,0,1
16.08,Nami,sup,1,0
16.08,Neeko,sup,0,1
16.08,Nocturne,jng,0,1
16.08,Orianna,mid,1,0
16.08,Rell,sup,1,0
16.08,Seraphine,sup,0,1
16.08,Sion,top,0,1
16.08,Skarner,jng,0,1
16.08,Soraka,sup,1,0
16.08,Sylas,mid,1,0
16.08,Syndra,mid,0,1
16.08,Vayne,top,1,0
16.08,Vi,jng,0,1
16.08,Viktor,mid,1,0
16.08,Wukong,jng,1,0
16.08,Xayah,bot,1,0
16.09,Ambessa,top,0,2
16.09,Naafiri,jng,0,2
16.09,Yunara,bot,1,1
16.09,Anivia,top,1,0
16.09,Aurora,mid,0,1
16.09,Diana,mid,1,0
16.09,Dr. Mundo,jng,0,1
16.09,Ezreal,bot,1,0
16.09,Jarvan IV,jng,0,1
16.09,Karma,sup,1,0
16.09,Lee Sin,jng,1,0
16.09,Lulu,sup,1,0
16.09,Orianna,mid,1,0
16.09,Pantheon,jng,1,0
16.09,Shen,top,0,1
16.09,Singed,top,1,0
16.09,Syndra,mid,0,1
16.1,Naafiri,jng,0,4
16.1,Ambessa,top,0,2
16.1,Bard,sup,1,1
16.1,Ezreal,bot,0,2
16.1,Jarvan IV,jng,1,1
16.1,Karma,sup,0,2
16.1,Nautilus,sup,1,1
16.1,Annie,mid,1,0
16.1,Ashe,bot,0,1
16.1,Caitlyn,bot,0,1
16.1,Jhin,bot,1,0
16.1,Kha'Zix,jng,1,0
16.1,Lulu,sup,1,0
16.1,Malphite,top,1,0
16.1,Mel,mid,0,1
16.1,Nocturne,jng,0,1
16.1,Orianna,mid,1,0
16.1,Qiyana,jng,1,0
16.1,Renekton,mid,1,0
16.1,Rumble,top,1,0
16.1,Sion,top,0,1
16.1,Syndra,mid,1,0
16.1,Syndra,bot,1,0
16.1,Tristana,top,1,0
16.1,Varus,bot,0,1
16.1,Varus,top,1,0
16.1,Wukong,jng,1,0
16.1,Yone,mid,0,1
16.1,Yunara,bot,1,0
16.1,Yuumi,sup,1,0
16.1,Zeri,bot,1,0
