patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.03,Nunu & Willump,jng,2,2,3,2,0,2
16.03,Corki,bot,2,1,2,1,1,2
16.03,Karma,sup,2,1,3,2,0,2
16.03,Neeko,sup,1,2,3,1,2,3
16.03,Yasuo,mid,1,2,3,1,2,3
16.03,Akali,mid,1,1,2,1,1,2
16.03,Aphelios,bot,1,1,1,0,1,1
16.03,Caitlyn,bot,1,1,2,1,1,2
16.03,K'Sante,top,1,1,2,1,1,2
16.03,Lulu,sup,0,2,1,0,0,0
16.03,Nautilus,sup,1,1,2,0,1,1
16.03,Rumble,top,1,1,2,1,1,2
16.03,Ryze,mid,2,0,2,1,0,1
16.03,Zaahen,top,2,0,2,1,0,1
16.03,Alistar,sup,1,0,1,0,0,0
16.03,Ambessa,top,1,0,1,0,0,0
16.03,Bard,sup,0,1,1,0,0,0
16.03,Diana,jng,0,1,1,0,1,1
16.03,Dr. Mundo,jng,0,1,1,0,0,0
16.03,Kai'Sa,bot,0,1,1,0,1,1
16.03,Karthus,jng,1,0,1,0,0,0
16.03,Malphite,jng,1,0,1,1,0,1
16.03,Nami,sup,0,1,1,0,0,0
16.03,Rek'Sai,top,0,1,1,0,0,0
16.03,Soraka,sup,0,1,1,0,0,0
16.03,Swain,mid,1,0,1,0,0,0
16.03,Vi,jng,0,1,1,0,1,1
16.03,Xin Zhao,jng,1,0,1,0,0,0
16.03,Yone,mid,0,1,1,0,1,1
16.03,Yunara,bot,1,0,1,1,0,1
16.04,Dr. Mundo,jng,1,4,1,0,1,1
16.04,Neeko,sup,0,5,1,0,1,1
16.04,Nunu & Willump,jng,0,5,1,0,1,1
16.04,Yasuo,mid,0,3,1,0,0,0
16.04,Aurora,mid,0,2,1,0,0,0
16.04,Gwen,top,1,1,1,0,0,0
16.04,Wukong,jng,1,1,1,0,1,1
16.04,Akali,mid,1,0,1,0,0,0
16.04,Alistar,sup,1,0,1,0,0,0
16.04,Ambessa,top,1,0,1,0,0,0
16.04,Annie,mid,1,0,1,0,0,0
16.04,Aphelios,bot,1,0,1,0,0,0
16.04,Braum,sup,1,0,1,0,0,0
16.04,Caitlyn,bot,1,0,1,1,0,1
16.04,Corki,bot,1,0,1,0,0,0
16.04,Diana,jng,0,1,1,0,0,0
16.04,Irelia,top,1,0,1,0,0,0
16.04,K'Sante,top,1,0,1,1,0,1
16.04,Kennen,top,1,0,1,0,0,0
16.04,LeBlanc,mid,1,0,1,0,0,0
16.04,Mel,mid,0,1,1,0,0,0
16.04,Nami,sup,1,0,1,1,0,1
16.04,Nautilus,sup,1,0,1,0,0,0
16.04,Nocturne,jng,1,0,1,0,0,0
16.04,Rek'Sai,jng,1,0,1,1,0,1
16.04,Rell,sup,1,0,1,0,0,0
16.04,Rumble,top,0,1,1,0,1,1
16.04,Ryze,mid,1,0,1,1,0,1
16.04,Sylas,mid,1,0,1,0,0,0
16.04,Taliyah,mid,0,1,1,0,0,0
16.04,Tristana,bot,1,0,1,0,0,0
16.04,Vi,jng,1,0,1,0,0,0
16.04,Yunara,bot,1,0,1,0,0,0
16.05,Neeko,sup,4,2,4,1,2,3
16.05,Ryze,mid,2,4,3,1,2,3
16.05,Akali,mid,0,5,3,0,1,1
16.05,Gwen,top,0,5,3,0,3,3
16.05,Aphelios,bot,3,1,4,1,1,2
16.05,Jarvan IV,jng,2,2,3,2,1,3
16.05,Nunu & Willump,jng,0,4,1,0,1,1
16.05,Yasuo,mid,2,2,3,0,1,1
16.05,Caitlyn,bot,1,2,2,1,1,2
16.05,Ezreal,bot,3,0,3,1,0,1
16.05,K'Sante,top,2,1,2,1,1,2
16.05,Kennen,top,1,2,3,0,0,0
16.05,Rumble,top,1,2,2,0,1,1
16.05,Vi,jng,2,1,2,1,0,1
16.05,Bard,sup,2,0,2,2,0,2
16.05,Corki,bot,1,1,2,1,0,1
16.05,Diana,jng,1,1,2,0,0,0
16.05,Dr. Mundo,jng,2,0,2,1,0,1
16.05,Gnar,top,1,1,2,0,0,0
16.05,Karma,sup,2,0,2,1,0,1
16.05,Malphite,jng,0,2,2,0,0,0
16.05,Orianna,mid,1,1,2,1,0,1
16.05,Varus,bot,0,2,1,0,0,0
16.05,Yunara,bot,1,1,2,0,1,1
16.05,Zaahen,top,1,1,2,1,0,1
16.05,Aatrox,top,1,0,1,0,0,0
16.05,Ahri,mid,1,0,1,1,0,1
16.05,Alistar,sup,1,0,1,0,0,0
16.05,Ambessa,top,1,0,1,0,0,0
16.05,Aurora,mid,1,0,1,0,0,0
16.05,Aurora,top,1,0,1,1,0,1
16.05,Kai'Sa,bot,0,1,1,0,1,1
16.05,LeBlanc,mid,0,1,1,0,0,0
16.05,Leona,sup,1,0,1,0,0,0
16.05,Nami,sup,0,1,1,0,0,0
16.05,Nautilus,sup,0,1,1,0,1,1
16.05,Rek'Sai,jng,1,0,1,0,0,0
16.05,Sylas,mid,1,0,1,0,0,0
16.05,Taliyah,mid,1,0,1,1,0,1
16.05,Tristana,bot,0,1,1,0,0,0
16.05,Varus,top,1,0,1,1,0,1
16.05,Wukong,jng,1,0,1,0,0,0
16.05,Xayah,bot,0,1,1,0,1,1
16.05,Xin Zhao,jng,1,0,1,0,0,0
16.05,Yone,mid,1,0,1,0,0,0
16.05,Ziggs,bot,1,0,1,0,0,0
16.05,Zilean,sup,0,1,1,0,1,1
16.06,Ahri,mid,1,1,1,0,1,1
16.06,Akali,mid,0,2,1,0,1,1
16.06,Karma,sup,1,1,1,0,1,1
16.06,Yasuo,mid,0,2,1,0,1,1
16.06,Yunara,bot,1,1,1,0,1,1
16.06,Corki,bot,1,0,1,1,0,1
16.06,Ezreal,bot,0,1,1,0,0,0
16.06,Jarvan IV,jng,1,0,1,0,0,0
16.06,Jayce,top,1,0,1,0,0,0
16.06,Mel,mid,1,0,1,1,0,1
16.06,Nami,sup,1,0,1,1,0,1
16.06,Rumble,top,1,0,1,1,0,1
16.06,Sivir,bot,0,1,1,0,0,0
16.06,Vi,jng,0,1,1,0,0,0
16.06,Xin Zhao,jng,1,0,1,1,0,1
16.07,Caitlyn,bot,0,4,2,0,1,1
16.07,Karma,sup,0,3,2,0,2,2
16.07,Xin Zhao,jng,1,2,2,1,1,2
16.07,Ahri,mid,1,1,2,1,1,2
16.07,Akali,mid,1,1,2,0,0,0
16.07,Ashe,bot,0,2,1,0,1,1
16.07,Corki,bot,2,0,2,1,0,1
16.07,Ezreal,bot,2,0,2,1,0,1
16.07,Nami,sup,2,0,2,1,0,1
16.07,Nautilus,sup,1,1,2,1,0,1
16.07,Neeko,sup,0,2,2,0,1,1
16.07,Seraphine,sup,1,1,1,0,0,0
16.07,Vi,jng,2,0,2,1,0,1
16.07,Yasuo,mid,0,2,1,0,1,1
16.07,Alistar,sup,1,0,1,0,0,0
16.07,Ambessa,top,0,1,1,0,0,0
16.07,Aphelios,bot,1,0,1,0,0,0
16.07,Dr. Mundo,jng,1,0,1,0,0,0
16.07,Gnar,top,1,0,1,1,0,1
16.07,Jayce,top,1,0,1,0,0,0
16.07,K'Sante,top,1,0,1,0,0,0
16.07,LeBlanc,mid,1,0,1,1,0,1
16.07,Lissandra,mid,1,0,1,0,0,0
16.07,Mel,mid,0,1,1,0,1,1
16.07,Nunu & Willump,jng,1,0,1,0,0,0
16.07,Orianna,mid,0,1,1,0,1,1
16.07,Poppy,sup,0,1,1,0,0,0
16.07,Renekton,top,1,0,1,0,0,0
16.07,Ryze,mid,1,0,1,0,0,0
16.07,Sion,top,1,0,1,1,0,1
16.07,Wukong,jng,0,1,1,0,0,0
16.07,Yone,mid,0,1,1,0,0,0
16.08,Ahri,mid,0,2,1,0,1,1
16.08,Caitlyn,bot,0,2,1,0,1,1
16.08,Akali,mid,0,1,1,0,0,0
16.08,Ashe,bot,0,1,1,0,1,1
16.08,Aurora,mid,1,0,1,1,0,1
16.08,Bard,sup,1,0,1,0,0,0
16.08,Ezreal,bot,1,0,1,0,0,0
16.08,Gwen,top,1,0,1,0,0,0
16.08,Karma,sup,0,1,1,0,1,1
16.08,Lucian,bot,1,0,1,1,0,1
16.08,Mel,mid,1,0,1,0,0,0
16.08,Nami,sup,1,0,1,1,0,1
