patch,champ,role,picks_by,bans_vs,series_presence
16.01,Aurora,mid,0,1,1
16.01,Corki,bot,1,0,1
16.01,Jayce,top,0,1,1
16.01,K'Sante,top,0,1,1
16.01,Karma,sup,1,0,1
16.01,Ornn,top,1,0,1
16.01,Pantheon,jng,1,0,1
16.01,Rumble,top,0,1,1
16.01,Ryze,mid,1,0,1
16.01,Sion,top,0,1,1
16.02,Jayce,top,0,2,1
16.02,Ryze,mid,0,2,2
16.02,Aatrox,top,1,0,1
16.02,Alistar,sup,0,1,1
16.02,Ambessa,top,0,1,1
16.02,Aphelios,bot,1,0,1
16.02,Azir,mid,1,0,1
16.02,Dr. Mundo,jng,1,0,1
16.02,Galio,mid,1,0,1
16.02,Gwen,top,0,1,1
16.02,Jarvan IV,jng,0,1,1
16.02,Jayce,jng,1,0,1
16.02,Kai'Sa,bot,1,0,1
16.02,Leona,sup,1,0,1
16.02,Malphite,jng,0,1,1
16.02,Nautilus,sup,0,1,1
16.02,Neeko,sup,0,1,1
16.02,Orianna,mid,1,0,1
16.02,Poppy,sup,1,0,1
16.02,Rumble,top,1,0,1
16.02,Sion,top,0,1,1
16.02,Sivir,bot,0,1,1
16.02,Thresh,sup,1,0,1
16.02,Varus,bot,1,0,1
16.02,Viego,jng,0,1,1
16.02,Wukong,jng,1,0,1
16.02,Yunara,bot,0,1,1
16.02,Zaahen,top,1,0,1
16.03,Jayce,top,0,7,2
16.03,Orianna,mid,1,3,2
16.03,Viego,jng,0,4,1
16.03,Ambessa,top,0,3,1
16.03,Azir,mid,1,2,2
16.03,Lulu,sup,1,2,2
16.03,Rumble,top,2,1,2
16.03,Leona,sup,1,1,1
16.03,Naafiri,jng,1,1,2
16.03,Nautilus,sup,2,0,2
16.03,Neeko,sup,2,0,2
16.03,Pantheon,jng,2,0,2
16.03,Ryze,mid,2,0,2
16.03,Taliyah,mid,1,1,2
16.03,Yunara,bot,2,0,2
16.03,Aatrox,top,1,0,1
16.03,Ahri,mid,1,0,1
16.03,Aphelios,bot,0,1,1
16.03,Bard,sup,0,1,1
16.03,Braum,sup,0,1,1
16.03,Caitlyn,bot,0,1,1
16.03,Dr. Mundo,top,1,0,1
16.03,Ezreal,bot,1,0,1
16.03,Galio,mid,0,1,1
16.03,Gragas,top,1,0,1
16.03,Gwen,top,1,0,1
16.03,Jarvan IV,jng,1,0,1
16.03,Jhin,bot,1,0,1
16.03,Jinx,bot,1,0,1
16.03,K'Sante,top,1,0,1
16.03,Kai'Sa,bot,1,0,1
16.03,Karma,sup,0,1,1
16.03,Kog'Maw,bot,1,0,1
16.03,Milio,sup,0,1,1
16.03,Poppy,sup,1,0,1
16.03,Poppy,jng,1,0,1
16.03,Rell,sup,0,1,1
16.03,Sivir,bot,0,1,1
16.03,Twisted Fate,mid,1,0,1
16.03,Varus,bot,0,1,1
16.03,Wukong,jng,1,0,1
16.03,Zaahen,jng,1,0,1
16.04,Braum,sup,1,1,1
16.04,Dr. Mundo,jng,1,1,1
16.04,Galio,mid,1,1,1
16.04,Jarvan IV,jng,0,2,1
16.04,Neeko,sup,0,2,1
16.04,Pantheon,jng,1,1,1
16.04,Ahri,mid,1,0,1
16.04,Akali,mid,0,1,1
16.04,Aphelios,bot,1,0,1
16.04,Ashe,bot,1,0,1
16.04,Bard,sup,0,1,1
16.04,Corki,bot,1,0,1
16.04,Gnar,top,1,0,1
16.04,Hwei,mid,1,0,1
16.04,K'Sante,top,1,0,1
16.04,Karma,sup,1,0,1
16.04,Kog'Maw,bot,1,0,1
16.04,Lulu,sup,0,1,1
16.04,Malphite,jng,1,0,1
16.04,Maokai,jng,0,1,1
16.04,Milio,sup,1,0,1
16.04,Nami,sup,0,1,1
16.04,Nocturne,jng,0,1,1
16.04,Orianna,mid,0,1,1
16.04,Ornn,top,1,0,1
16.04,Poppy,sup,0,1,1
16.04,Rakan,sup,0,1,1
16.04,Renekton,top,0,1,1
16.04,Seraphine,sup,1,0,1
16.04,Varus,bot,0,1,1
16.04,Viktor,mid,1,0,1
16.04,Wukong,jng,1,0,1
16.04,Yone,mid,0,1,1
16.04,Zaahen,top,1,0,1
16.05,Orianna,mid,0,8,4
16.05,Neeko,sup,2,5,3
16.05,Rumble,top,1,6,3
16.05,Lulu,sup,2,3,4
16.05,Ambessa,top,3,1,3
16.05,Ashe,bot,2,2,3
16.05,Azir,mid,1,3,3
16.05,Bard,sup,2,2,3
16.05,Jarvan IV,jng,2,2,2
16.05,K'Sante,top,3,1,4
16.05,Akali,mid,1,2,2
16.05,Dr. Mundo,jng,3,0,3
16.05,Karma,sup,0,3,2
16.05,Malphite,jng,1,2,2
16.05,Ryze,mid,1,2,3
16.05,Wukong,jng,1,2,2
16.05,Yunara,bot,2,1,2
16.05,Alistar,sup,1,1,2
16.05,Braum,sup,0,2,2
16.05,Galio,mid,1,1,2
16.05,Gnar,top,1,1,2
16.05,Jhin,bot,2,0,2
16.05,Kog'Maw,bot,1,1,2
16.05,LeBlanc,mid,1,1,1
16.05,Nami,sup,1,1,2
16.05,Pantheon,jng,1,1,2
16.05,Seraphine,sup,2,0,2
16.05,Sivir,bot,2,0,2
16.05,Vayne,top,1,1,2
16.05,Viktor,mid,1,1,2
16.05,Yone,mid,1,1,2
16.05,Aatrox,jng,0,1,1
16.05,Ahri,mid,1,0,1
16.05,Anivia,mid,1,0,1
16.05,Annie,mid,1,0,1
16.05,Corki,bot,1,0,1
16.05,Ezreal,bot,1,0,1
16.05,Gwen,top,1,0,1
16.05,Jayce,top,0,1,1
16.05,Kai'Sa,bot,1,0,1
16.05,Leona,sup,1,0,1
16.05,Lillia,jng,1,0,1
16.05,Nocturne,jng,1,0,1
16.05,Ornn,top,1,0,1
16.05,Poppy,jng,1,0,1
16.05,Rakan,sup,1,0,1
16.05,Rell,sup,0,1,1
16.05,Renekton,top,0,1,1
16.05,Sion,top,0,1,1
16.05,Smolder,mid,1,0,1
16.05,Sylas,mid,1,0,1
16.05,Varus,bot,0,1,1
16.05,Viego,jng,1,0,1
16.05,Volibear,top,1,0,1
16.05,Xayah,bot,1,0,1
16.05,Xin Zhao,jng,0,1,1
16.05,Yasuo,mid,1,0,1
16.05,Yorick,top,0,1,1
16.05,Zaahen,top,1,0,1
16.05,Zaahen,jng,1,0,1
16.05,Zilean,sup,1,0,1
16.07,Pyke,sup,0,4,2
16.07,Ryze,mid,0,3,2
16.07,Ahri,mid,1,1,2
16.07,Ashe,bot,1,1,2
16.07,Azir,mid,0,2,2
16.07,Caitlyn,bot,1,1,2
16.07,Orianna,mid,1,1,2
16.07,Renekton,top,1,1,2
16.07,Xin Zhao,jng,1,1,1
16.07,Yunara,bot,1,1,2
16.07,Annie,mid,1,0,1
16.07,Aurora,mid,0,1,1
16.07,Bard,sup,1,0,1
16.07,Bel'Veth,jng,1,0,1
16.07,Camille,top,1,0,1
16.07,Gnar,top,1,0,1
16.07,Irelia,top,1,0,1
16.07,Karma,sup,1,0,1
16.07,Kindred,jng,1,0,1
16.07,Lulu,sup,1,0,1
16.07,Mel,mid,0,1,1
16.07,Nocturne,jng,0,1,1
16.07,Pantheon,jng,1,0,1
16.07,Seraphine,sup,1,0,1
16.07,Sion,top,0,1,1
16.07,Syndra,mid,1,0,1
16.07,Varus,bot,1,0,1
16.08,Pyke,sup,0,5,2
16.08,Ryze,mid,0,5,2
16.08,Vayne,top,1,2,2
16.08,Bard,sup,1,1,1
16.08,Braum,sup,1,1,2
16.08,Jarvan IV,jng,2,0,2
16.08,Lucian,bot,2,0,2
16.08,Pantheon,jng,0,2,1
16.08,Aatrox,top,1,0,1
16.08,Akali,mid,0,1,1
16.08,Annie,mid,1,0,1
16.08,Aurora,mid,0,1,1
16.08,Blitzcrank,sup,0,1,1
16.08,Briar,jng,1,0,1
16.08,Camille,top,0,1,1
16.08,Ezreal,bot,1,0,1
16.08,Galio,mid,1,0,1
16.08,Jax,top,1,0,1
16.08,Jayce,top,1,0,1
16.08,Kalista,bot,1,0,1
16.08,LeBlanc,mid,0,1,1
16.08,Leona,sup,0,1,1
16.08,Milio,sup,0,1,1
16.08,Nocturne,jng,0,1,1
16.08,Orianna,mid,1,0,1
16.08,Rakan,sup,0,1,1
16.08,Rell,sup,1,0,1
16.08,Renekton,top,1,0,1
16.08,Seraphine,mid,1,0,1
16.08,Soraka,sup,1,0,1
16.08,Sylas,sup,1,0,1
16.08,Sylas,mid,1,0,1
16.08,Wukong,jng,1,0,1
