patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.08,Ashe,bot,1,1,2,1,1,2
16.08,Shen,top,0,2,2,0,2,2
16.08,Volibear,top,0,2,2,0,2,2
16.08,Xin Zhao,jng,2,0,2,2,0,2
16.08,Ahri,mid,0,1,1,0,1,1
16.08,Cho'Gath,top,1,0,1,1,0,1
16.08,Graves,jng,0,1,1,0,1,1
16.08,Karma,sup,0,1,1,0,1,1
16.08,Lulu,sup,1,0,1,1,0,1
16.08,Nami,sup,0,1,1,0,1,1
16.08,Nautilus,sup,0,1,1,0,1,1
16.08,Orianna,mid,1,0,1,1,0,1
16.08,Ornn,top,1,0,1,1,0,1
16.08,Seraphine,sup,1,0,1,1,0,1
16.08,Syndra,mid,1,0,1,1,0,1
16.08,Tristana,bot,1,0,1,1,0,1
16.09,Orianna,mid,1,4,5,1,4,5
16.09,Xin Zhao,jng,2,3,5,2,3,5
16.09,Ashe,bot,2,2,4,2,2,4
16.09,Volibear,top,0,4,4,0,4,4
16.09,Karma,sup,1,2,3,1,2,3
16.09,Seraphine,sup,2,1,3,2,1,3
16.09,Shen,top,1,2,3,1,2,3
16.09,Ahri,mid,1,1,2,1,1,2
16.09,Renekton,top,2,0,2,2,0,2
16.09,Wukong,jng,1,1,2,1,1,2
16.09,Corki,bot,1,0,1,1,0,1
16.09,Gragas,top,1,0,1,1,0,1
16.09,Graves,jng,0,1,1,0,1,1
16.09,Hwei,mid,1,0,1,1,0,1
16.09,Jarvan IV,jng,0,1,1,0,1,1
16.09,Lulu,sup,1,0,1,1,0,1
16.09,Mel,mid,1,0,1,1,0,1
16.09,Naafiri,jng,0,1,1,0,1,1
16.09,Nami,sup,1,0,1,1,0,1
16.09,Nocturne,jng,1,0,1,1,0,1
16.09,Ornn,top,1,0,1,1,0,1
16.09,Rek'Sai,jng,1,0,1,1,0,1
16.09,Sion,top,0,1,1,0,1,1
16.09,Syndra,mid,1,0,1,1,0,1
16.09,Tristana,bot,1,0,1,1,0,1
16.09,Vi,jng,0,1,1,0,1,1
16.09,Yunara,bot,1,0,1,1,0,1
