patch,champ,role,picks_vs,bans_vs
16.01,Caitlyn,bot,0,2
16.01,Orianna,mid,0,2
16.01,Rumble,top,0,2
16.01,Alistar,sup,1,0
16.01,Azir,mid,1,0
16.01,Bard,sup,0,1
16.01,Galio,mid,1,0
16.01,Gnar,top,1,0
16.01,Gwen,top,1,0
16.01,Jarvan IV,jng,1,0
16.01,Kai'Sa,bot,1,0
16.01,Karma,sup,0,1
16.01,Malphite,jng,1,0
16.01,Neeko,sup,1,0
16.01,Trundle,jng,0,1
16.01,Varus,bot,1,0
16.01,Wukong,jng,0,1
16.02,Orianna,mid,0,4
16.02,Rumble,top,0,4
16.02,Ahri,mid,2,0
16.02,Azir,mid,1,1
16.02,Ezreal,bot,0,2
16.02,Jhin,bot,2,0
16.02,K'Sante,top,1,1
16.02,Rell,sup,2,0
16.02,Aatrox,jng,1,0
16.02,Akali,mid,0,1
16.02,Aphelios,bot,1,0
16.02,Bard,sup,1,0
16.02,Jarvan IV,jng,0,1
16.02,Leona,sup,0,1
16.02,Malphite,top,1,0
16.02,Mordekaiser,top,1,0
16.02,Nautilus,sup,0,1
16.02,Neeko,sup,0,1
16.02,Qiyana,jng,1,0
16.02,Rakan,sup,1,0
16.02,Sion,top,1,0
16.02,Smolder,bot,1,0
16.02,Sylas,mid,0,1
16.02,Taliyah,mid,0,1
16.02,Varus,bot,0,1
16.02,Viego,jng,1,0
16.02,Viktor,mid,1,0
16.02,Xin Zhao,jng,1,0
16.03,Caitlyn,bot,0,6
16.03,Orianna,mid,0,6
16.03,Yunara,bot,2,3
16.03,Aurora,mid,3,1
16.03,Nautilus,sup,1,3
16.03,Ryze,mid,2,2
16.03,Rakan,sup,1,2
16.03,Rumble,top,0,3
16.03,Varus,bot,1,2
16.03,Aatrox,top,2,0
16.03,Akali,mid,0,2
16.03,Azir,mid,2,0
16.03,Cassiopeia,mid,1,1
16.03,Corki,bot,2,0
16.03,Dr. Mundo,jng,0,2
16.03,Gnar,top,0,2
16.03,Jarvan IV,jng,0,2
16.03,Jayce,jng,2,0
16.03,K'Sante,top,2,0
16.03,Kai'Sa,bot,1,1
16.03,LeBlanc,mid,0,2
16.03,Lee Sin,jng,2,0
16.03,Neeko,sup,1,1
16.03,Sion,top,2,0
16.03,Sivir,bot,0,2
16.03,Syndra,mid,0,2
16.03,Aphelios,bot,1,0
16.03,Bard,sup,1,0
16.03,Braum,sup,0,1
16.03,Ezreal,bot,0,1
16.03,Gwen,top,1,0
16.03,Jhin,bot,1,0
16.03,Kalista,bot,1,0
16.03,Leona,sup,1,0
16.03,Lucian,bot,1,0
16.03,Lulu,sup,1,0
16.03,Naafiri,jng,1,0
16.03,Nami,sup,1,0
16.03,Poppy,sup,0,1
16.03,Pyke,sup,1,0
16.03,Qiyana,jng,1,0
16.03,Rell,sup,1,0
16.03,Renekton,top,1,0
16.03,Sylas,jng,1,0
16.03,Taliyah,mid,0,1
16.03,Thresh,sup,1,0
16.03,Vi,jng,1,0
16.03,Viktor,mid,1,0
16.03,Wukong,jng,1,0
16.03,Xin Zhao,jng,1,0
16.03,Yone,mid,1,0
16.03,Yorick,top,1,0
16.03,Zaahen,top,1,0
16.03,Zed,mid,0,1
16.04,Dr. Mundo,jng,0,2
16.04,Jarvan IV,jng,1,1
16.04,Nocturne,jng,0,2
16.04,Renekton,top,1,1
16.04,Ahri,mid,1,0
16.04,Ambessa,top,1,0
16.04,Aurora,mid,1,0
16.04,Azir,mid,0,1
16.04,Braum,sup,1,0
