patch,champ,role,picks_by,bans_vs,series_presence
16.01,Bard,sup,3,3,6
16.01,Sion,top,2,4,6
16.01,Syndra,mid,3,3,6
16.01,Corki,bot,4,1,5
16.01,Ornn,top,1,4,5
16.01,Akali,mid,1,3,4
16.01,Aurora,mid,1,2,3
16.01,Cho'Gath,top,2,1,3
16.01,K'Sante,top,2,1,3
16.01,Rell,sup,1,2,3
16.01,Dr. Mundo,jng,2,0,2
16.01,Ezreal,bot,2,0,2
16.01,Jarvan IV,jng,1,1,2
16.01,Jayce,jng,2,0,2
16.01,Jayce,top,0,2,2
16.01,Kai'Sa,bot,0,2,2
16.01,Leona,sup,2,0,2
16.01,Vi,jng,1,1,2
16.01,Aphelios,bot,0,1,1
16.01,Braum,sup,0,1,1
16.01,Karma,sup,1,0,1
16.01,Malphite,jng,1,0,1
16.01,Morgana,mid,0,1,1
16.01,Orianna,mid,0,1,1
16.01,Ryze,mid,1,0,1
16.01,Taliyah,mid,1,0,1
16.01,Yasuo,mid,0,1,1
16.01,Yunara,bot,1,0,1
16.02,Ornn,top,1,4,2
16.02,Aurora,mid,1,3,2
16.02,Orianna,mid,1,3,2
16.02,Rell,sup,0,4,1
16.02,Jayce,top,0,3,1
16.02,Kai'Sa,bot,1,2,2
16.02,Akali,mid,0,2,1
16.02,Aphelios,bot,2,0,2
16.02,Bard,sup,1,1,1
16.02,Cho'Gath,top,0,2,1
16.02,K'Sante,top,2,0,2
16.02,Leona,sup,2,0,2
16.02,Ryze,mid,0,2,1
16.02,Syndra,mid,1,1,1
16.02,Taliyah,mid,2,0,2
16.02,Varus,bot,1,1,1
16.02,Alistar,sup,1,0,1
16.02,Anivia,mid,1,0,1
16.02,Ashe,bot,1,0,1
16.02,Braum,sup,1,0,1
16.02,Dr. Mundo,jng,1,0,1
16.02,Ezreal,bot,1,0,1
16.02,Galio,mid,0,1,1
16.02,Gnar,top,1,0,1
16.02,Jarvan IV,jng,1,0,1
16.02,Jayce,jng,1,0,1
16.02,Lucian,bot,1,0,1
16.02,Lulu,sup,0,1,1
16.02,Malphite,jng,1,0,1
16.02,Malzahar,mid,1,0,1
16.02,Morgana,mid,0,1,1
16.02,Nautilus,sup,0,1,1
16.02,Pantheon,jng,1,0,1
16.02,Pyke,sup,0,1,1
16.02,Rumble,top,1,0,1
16.02,Seraphine,sup,1,0,1
16.02,Sion,top,1,0,1
16.02,Sylas,mid,0,1,1
16.02,Thresh,sup,1,0,1
16.02,Vi,jng,1,0,1
16.02,Xin Zhao,jng,1,0,1
16.02,Yorick,top,1,0,1
16.02,Zaahen,top,0,1,1
16.03,Jayce,top,0,4,1
16.03,Leona,sup,1,2,1
16.03,Orianna,mid,0,3,1
16.03,Cho'Gath,top,0,2,1
16.03,Ezreal,bot,1,1,1
16.03,Ornn,top,1,1,1
16.03,Akali,mid,1,0,1
16.03,Alistar,sup,1,0,1
16.03,Aphelios,bot,1,0,1
16.03,Aurora,mid,1,0,1
16.03,Braum,sup,0,1,1
16.03,Corki,bot,1,0,1
16.03,Hwei,mid,1,0,1
16.03,Jarvan IV,jng,1,0,1
16.03,Jhin,bot,1,0,1
16.03,Malphite,jng,1,0,1
16.03,Morgana,jng,1,0,1
16.03,Neeko,sup,1,0,1
16.03,Nocturne,jng,1,0,1
16.03,Rell,sup,1,0,1
16.03,Rumble,top,1,0,1
16.03,Ryze,mid,1,0,1
16.03,Sion,top,1,0,1
16.03,Sivir,bot,0,1,1
16.03,Taliyah,mid,0,1,1
16.03,Thresh,sup,0,1,1
16.03,Trundle,jng,0,1,1
16.03,Varus,bot,0,1,1
16.03,Yorick,top,1,0,1
16.03,Zac,jng,0,1,1
16.04,Bard,sup,0,3,1
16.04,Morgana,mid,0,3,1
16.04,Dr. Mundo,jng,0,2,1
16.04,Ornn,top,0,2,1
16.04,Xin Zhao,jng,1,1,1
16.04,Akali,mid,0,1,1
16.04,Ashe,bot,0,1,1
16.04,Azir,mid,1,0,1
16.04,Brand,jng,1,0,1
16.04,Ezreal,bot,1,0,1
16.04,K'Sante,top,1,0,1
16.04,Kai'Sa,bot,0,1,1
16.04,Karma,sup,1,0,1
16.04,Leona,sup,1,0,1
16.04,Lulu,sup,0,1,1
16.04,Naafiri,mid,1,0,1
16.04,Nautilus,sup,1,0,1
16.04,Pantheon,jng,1,0,1
16.04,Ryze,mid,1,0,1
16.04,Senna,bot,1,0,1
16.04,Sion,top,1,0,1
16.04,Yorick,top,1,0,1
16.04,Yunara,bot,1,0,1
16.05,Ornn,top,0,4,2
16.05,Dr. Mundo,jng,1,2,2
16.05,Jarvan IV,jng,1,2,2
16.05,Neeko,sup,1,2,2
16.05,Vi,jng,1,2,2
16.05,Kai'Sa,bot,2,0,2
16.05,Pantheon,jng,1,1,1
16.05,Sion,top,2,0,2
16.05,Ahri,mid,1,0,1
16.05,Bard,sup,1,0,1
16.05,Blitzcrank,sup,0,1,1
16.05,Cassiopeia,mid,1,0,1
16.05,Corki,bot,1,0,1
16.05,Ezreal,bot,0,1,1
16.05,Galio,mid,1,0,1
16.05,Jhin,bot,1,0,1
