patch,champ,role,picks_vs,bans_vs
16.01,Akali,mid,0,7
16.01,Naafiri,jng,0,6
16.01,Gwen,top,0,4
16.01,Qiyana,jng,1,3
16.01,Galio,mid,3,0
16.01,Corki,bot,2,0
16.01,Dr. Mundo,jng,1,1
16.01,Ekko,mid,0,2
16.01,Jarvan IV,jng,2,0
16.01,Nautilus,sup,2,0
16.01,Neeko,sup,1,1
16.01,Poppy,sup,0,2
16.01,Aatrox,top,1,0
16.01,Alistar,sup,0,1
16.01,Azir,mid,1,0
16.01,Bard,sup,1,0
16.01,Braum,sup,0,1
16.01,Cho'Gath,top,1,0
16.01,Diana,jng,1,0
16.01,Jax,top,1,0
16.01,Jayce,top,0,1
16.01,Kai'Sa,bot,1,0
16.01,Kassadin,mid,0,1
16.01,Kennen,top,0,1
16.01,LeBlanc,mid,1,0
16.01,Lillia,jng,1,0
16.01,Malphite,jng,0,1
16.01,Miss Fortune,bot,1,0
16.01,Ornn,top,1,0
16.01,Rakan,sup,1,0
16.01,Rell,sup,1,0
16.01,Rumble,top,1,0
16.01,Sett,top,1,0
16.01,Sivir,bot,1,0
16.01,Syndra,mid,1,0
16.01,Taric,sup,0,1
16.01,Tristana,bot,1,0
16.01,Urgot,top,0,1
16.01,Varus,bot,1,0
16.01,Veigar,mid,1,0
16.01,Vi,jng,1,0
16.01,Xin Zhao,jng,0,1
16.01,Zaahen,top,1,0
16.01,Zac,sup,1,0
16.02,Akali,mid,0,4
16.02,Ambessa,top,0,4
16.02,Naafiri,jng,0,4
16.02,Gnar,top,1,1
16.02,Leona,sup,1,1
16.02,Varus,bot,1,1
16.02,Alistar,sup,1,0
16.02,Anivia,mid,1,0
16.02,Aphelios,bot,1,0
16.02,Bard,sup,1,0
16.02,Camille,top,0,1
16.02,Ezreal,bot,0,1
16.02,Gwen,top,0,1
16.02,Jarvan IV,jng,1,0
16.02,Jayce,jng,1,0
16.02,K'Sante,top,1,0
16.02,Kai'Sa,bot,1,0
16.02,Lucian,bot,1,0
16.02,Malzahar,mid,1,0
16.02,Nautilus,sup,0,1
16.02,Orianna,mid,1,0
16.02,Pantheon,jng,1,0
16.02,Qiyana,jng,0,1
16.02,Rumble,top,1,0
16.02,Taliyah,mid,1,0
16.02,Thresh,sup,1,0
16.02,Vi,jng,1,0
16.02,Yorick,top,1,0
16.03,Akali,mid,0,4
16.03,Dr. Mundo,jng,0,4
16.03,Naafiri,jng,0,4
16.03,Nocturne,jng,0,2
16.03,Pantheon,jng,1,1
16.03,Anivia,mid,1,0
16.03,Aurora,mid,1,0
16.03,Braum,sup,1,0
16.03,Camille,top,0,1
16.03,Ekko,mid,0,1
16.03,Ezreal,bot,1,0
16.03,Gragas,top,1,0
16.03,Jax,top,1,0
16.03,K'Sante,top,1,0
16.03,Leona,sup,0,1
16.03,Nami,sup,1,0
16.03,Nautilus,sup,1,0
16.03,Neeko,sup,1,0
16.03,Qiyana,jng,0,1
16.03,Rell,sup,0,1
16.03,Ryze,mid,1,0
16.03,Sion,top,1,0
16.03,Smolder,bot,1,0
16.03,Syndra,mid,1,0
16.03,Trundle,jng,1,0
16.03,Varus,bot,1,0
16.03,Vi,jng,1,0
16.03,Wukong,jng,1,0
16.03,Yunara,bot,1,0
