patch,champ,role,picks_vs,bans_vs
16.1,Dr. Mundo,jng,0,5
16.1,Nocturne,jng,1,3
16.1,Ambessa,top,0,3
16.1,Ashe,bot,2,1
16.1,Cassiopeia,mid,0,3
16.1,Orianna,mid,1,2
16.1,Taric,sup,0,3
16.1,Viktor,mid,2,1
16.1,Wukong,jng,2,1
16.1,Xin Zhao,jng,2,1
16.1,Aphelios,bot,2,0
16.1,Ezreal,bot,2,0
16.1,Jarvan IV,jng,1,1
16.1,Kayle,top,0,2
16.1,Neeko,sup,2,0
16.1,Ornn,top,0,2
16.1,Pantheon,jng,2,0
16.1,Renekton,top,2,0
16.1,Ryze,mid,2,0
16.1,Seraphine,sup,2,0
16.1,Sylas,mid,0,2
16.1,Vayne,top,0,2
16.1,Yunara,bot,1,1
16.1,Ahri,mid,1,0
16.1,Aurora,mid,1,0
16.1,Azir,mid,0,1
16.1,Blitzcrank,sup,1,0
16.1,Braum,sup,1,0
16.1,Camille,top,1,0
16.1,Cho'Gath,top,0,1
16.1,Diana,jng,0,1
16.1,Gnar,top,1,0
16.1,Gwen,top,1,0
16.1,Hwei,mid,1,0
16.1,Jax,top,0,1
16.1,Jayce,top,1,0
16.1,Jinx,bot,0,1
16.1,LeBlanc,mid,1,0
16.1,Malphite,top,1,0
16.1,Mel,mid,0,1
16.1,Milio,sup,1,0
16.1,Nami,sup,1,0
16.1,Nautilus,sup,1,0
16.1,Rakan,sup,0,1
16.1,Rek'Sai,jng,1,0
16.1,Rumble,top,1,0
16.1,Senna,bot,1,0
16.1,Shen,top,1,0
16.1,Skarner,jng,1,0
16.1,Syndra,mid,1,0
16.1,Thresh,sup,1,0
16.1,Tristana,bot,1,0
16.1,Varus,bot,1,0
16.1,Varus,top,1,0
