patch,champ,role,picks_vs,bans_vs
16.01,Malphite,jng,1,3
16.01,Orianna,mid,0,4
16.01,Varus,bot,1,3
16.01,Alistar,sup,1,2
16.01,Ambessa,top,1,2
16.01,Azir,mid,0,3
16.01,Jayce,top,0,3
16.01,Kai'Sa,bot,1,2
16.01,Renekton,top,1,2
16.01,Ryze,mid,1,2
16.01,Sylas,mid,1,2
16.01,Taliyah,mid,1,2
16.01,Bard,sup,1,1
16.01,Jayce,jng,2,0
16.01,K'Sante,top,2,0
16.01,Neeko,sup,1,1
16.01,Sion,top,1,1
16.01,Viktor,mid,2,0
16.01,Xin Zhao,jng,2,0
16.01,Aatrox,jng,1,0
16.01,Akali,mid,0,1
16.01,Anivia,mid,1,0
16.01,Aphelios,bot,1,0
16.01,Aurora,mid,1,0
16.01,Braum,sup,1,0
16.01,Corki,bot,1,0
16.01,Dr. Mundo,jng,1,0
16.01,Ezreal,bot,1,0
16.01,Jax,top,1,0
16.01,LeBlanc,mid,1,0
16.01,Lucian,bot,1,0
16.01,Lulu,sup,0,1
16.01,Nami,sup,0,1
16.01,Nautilus,sup,1,0
16.01,Ornn,top,1,0
16.01,Poppy,sup,0,1
16.01,Rakan,sup,1,0
16.01,Rumble,top,0,1
16.01,Sivir,bot,1,0
16.01,Thresh,sup,1,0
16.01,Vi,jng,0,1
16.01,Volibear,top,1,0
16.01,Wukong,jng,1,0
16.01,Yunara,bot,1,0
16.01,Zaahen,sup,1,0
16.01,Zaahen,top,0,1
16.02,Bard,sup,1,4
16.02,Malphite,jng,0,5
16.02,Wukong,jng,3,2
16.02,Ambessa,top,1,3
16.02,Jarvan IV,jng,0,4
16.02,Jayce,top,0,4
16.02,K'Sante,top,2,2
16.02,Orianna,mid,0,4
16.02,Pantheon,jng,2,2
16.02,Yunara,bot,1,3
16.02,Gwen,top,1,2
16.02,Leona,sup,1,2
16.02,Sivir,bot,3,0
16.02,Vi,jng,1,2
16.02,Xin Zhao,jng,1,2
16.02,Akali,mid,1,1
16.02,Alistar,sup,1,1
16.02,Aurora,mid,2,0
16.02,Azir,mid,2,0
16.02,Lucian,bot,2,0
16.02,Nami,sup,2,0
16.02,Nautilus,sup,1,1
16.02,Neeko,sup,2,0
16.02,Nocturne,jng,0,2
16.02,Poppy,sup,0,2
16.02,Rek'Sai,top,2,0
16.02,Renata Glasc,sup,2,0
16.02,Rumble,top,2,0
16.02,Taliyah,mid,2,0
16.02,Yone,mid,0,2
16.02,Aatrox,jng,1,0
16.02,Aurora,top,1,0
16.02,Caitlyn,bot,1,0
16.02,Cassiopeia,mid,1,0
16.02,Corki,bot,1,0
16.02,Ezreal,bot,0,1
16.02,Galio,mid,1,0
16.02,Jayce,jng,1,0
16.02,Kalista,bot,1,0
16.02,Karma,sup,0,1
16.02,Lee Sin,jng,1,0
16.02,Mel,mid,1,0
16.02,Pantheon,sup,1,0
16.02,Qiyana,jng,1,0
16.02,Rakan,sup,0,1
16.02,Renekton,top,1,0
16.02,Ryze,mid,1,0
16.02,Senna,bot,1,0
16.02,Sion,top,1,0
16.02,Syndra,mid,0,1
16.02,Varus,bot,1,0
16.02,Viego,jng,0,1
16.03,Rumble,top,1,9
16.03,Pantheon,jng,3,6
16.03,Nocturne,jng,1,6
16.03,Orianna,mid,1,6
16.03,Gwen,top,1,5
16.03,Alistar,sup,3,2
16.03,Blitzcrank,sup,0,5
16.03,Varus,bot,2,3
16.03,Ashe,bot,2,2
16.03,Azir,mid,0,4
16.03,Nautilus,sup,2,2
16.03,Ryze,mid,2,2
16.03,Yone,mid,1,3
16.03,Ahri,mid,3,0
16.03,Corki,bot,3,0
16.03,Kai'Sa,bot,2,1
16.03,Karma,sup,1,2
16.03,Nami,sup,1,2
16.03,Neeko,sup,1,2
16.03,Olaf,top,1,2
16.03,Poppy,sup,1,2
16.03,Rakan,sup,3,0
16.03,Taliyah,mid,2,1
16.03,Twisted Fate,mid,3,0
16.03,Vi,jng,3,0
16.03,Ambessa,top,2,0
16.03,Aphelios,bot,1,1
16.03,Aurora,mid,1,1
16.03,Bard,sup,0,2
16.03,Gnar,top,2,0
16.03,Jarvan IV,jng,2,0
16.03,Jax,top,2,0
16.03,LeBlanc,mid,0,2
16.03,Naafiri,jng,2,0
16.03,Sion,top,2,0
16.03,Sivir,bot,2,0
16.03,Wukong,jng,2,0
16.03,Xin Zhao,jng,1,1
16.03,Yunara,bot,2,0
16.03,Zaahen,top,1,1
16.03,Zoe,mid,1,1
16.03,Akali,mid,0,1
16.03,Anivia,mid,1,0
16.03,Braum,sup,1,0
16.03,Camille,top,1,0
16.03,Cassiopeia,mid,0,1
16.03,Dr. Mundo,jng,1,0
16.03,Ezreal,bot,1,0
16.03,Galio,mid,1,0
16.03,Jax,jng,1,0
16.03,Jhin,bot,0,1
16.03,K'Sante,top,1,0
16.03,Kalista,bot,0,1
16.03,Kennen,top,0,1
16.03,Leona,sup,0,1
16.03,Lulu,sup,0,1
16.03,Malphite,jng,0,1
16.03,Mel,mid,0,1
16.03,Miss Fortune,bot,1,0
16.03,Rell,sup,1,0
16.03,Renekton,top,1,0
16.03,Seraphine,sup,1,0
16.03,Sett,top,1,0
16.03,Shen,sup,1,0
16.03,Syndra,mid,1,0
16.03,Thresh,sup,1,0
16.03,Trundle,jng,1,0
16.03,Xayah,bot,1,0
16.03,Yorick,top,1,0
16.07,Jarvan IV,jng,1,3
16.07,Nautilus,sup,0,3
16.07,Ambessa,top,0,2
16.07,Aurora,mid,2,0
16.07,Bard,sup,1,1
16.07,K'Sante,top,1,1
16.07,Karma,sup,0,2
16.07,Lulu,sup,1,1
16.07,Pantheon,jng,1,1
16.07,Renekton,top,1,1
16.07,Rumble,top,1,1
16.07,Sion,top,0,2
16.07,Vi,jng,1,1
16.07,Annie,sup,1,0
16.07,Ashe,bot,1,0
16.07,Corki,bot,1,0
16.07,Ezreal,bot,1,0
16.07,Galio,mid,0,1
16.07,Gnar,top,0,1
16.07,Jhin,bot,0,1
16.07,Leona,sup,1,0
16.07,Maokai,jng,1,0
16.07,Naafiri,jng,1,0
16.07,Nocturne,jng,0,1
16.07,Orianna,mid,0,1
16.07,Ornn,top,0,1
16.07,Ryze,mid,1,0
16.07,Seraphine,sup,1,0
16.07,Sivir,bot,1,0
16.07,Urgot,top,1,0
16.07,Viktor,mid,1,0
16.07,Xayah,bot,1,0
16.07,Yone,mid,1,0
16.07,Yorick,top,1,0
16.08,Nocturne,jng,0,5
16.08,Ezreal,bot,1,2
16.08,Nautilus,sup,0,3
16.08,Varus,bot,1,2
16.08,Akali,mid,2,0
16.08,Jarvan IV,jng,2,0
16.08,Lucian,bot,1,1
16.08,Renekton,top,1,1
16.08,Rumble,top,0,2
16.08,Xin Zhao,jng,0,2
16.08,Yorick,top,1,1
16.08,Alistar,sup,1,0
16.08,Ambessa,top,1,0
16.08,Bard,sup,0,1
16.08,Blitzcrank,sup,0,1
16.08,Cassiopeia,mid,1,0
16.08,Gnar,top,1,0
16.08,K'Sante,top,1,0
16.08,Kai'Sa,bot,1,0
16.08,Karma,sup,0,1
16.08,Lulu,sup,1,0
16.08,Nami,sup,1,0
16.08,Neeko,sup,0,1
16.08,Pantheon,jng,1,0
16.08,Pyke,sup,1,0
16.08,Rell,sup,1,0
16.08,Ryze,mid,1,0
16.08,Sejuani,jng,1,0
16.08,Sivir,bot,0,1
16.08,Syndra,mid,1,0
16.08,Wukong,jng,1,0
16.08,Yunara,bot,1,0
16.08,Zeri,bot,0,1
16.09,Nautilus,sup,1,8
16.09,Ezreal,bot,3,3
16.09,Nocturne,jng,1,5
16.09,Varus,bot,0,6
16.09,Lee Sin,jng,1,4
16.09,Lucian,bot,3,2
16.09,Aurora,mid,4,0
16.09,Jarvan IV,jng,4,0
16.09,Naafiri,jng,3,1
16.09,Orianna,mid,0,4
16.09,Pantheon,jng,4,0
16.09,Renekton,top,3,1
16.09,Ryze,mid,3,1
16.09,Akali,mid,2,1
16.09,Ashe,bot,1,2
16.09,Bard,sup,2,1
16.09,Caitlyn,bot,1,2
16.09,Gwen,top,1,2
16.09,Karma,sup,3,0
16.09,Sion,top,2,1
16.09,Sivir,bot,2,1
16.09,Wukong,jng,1,2
16.09,Yorick,top,2,1
16.09,Ambessa,top,2,0
16.09,Annie,mid,0,2
16.09,Corki,bot,2,0
16.09,Galio,mid,2,0
16.09,Gnar,top,1,1
16.09,Jhin,bot,2,0
16.09,Mel,mid,2,0
16.09,Milio,sup,2,0
