patch,champ,role,picks_vs,bans_vs
16.03,Aurora,mid,1,3
16.03,Rumble,top,1,3
16.03,Ezreal,bot,3,0
16.03,Bard,sup,2,0
16.03,Diana,jng,0,2
16.03,Karma,sup,0,2
16.03,Nami,sup,2,0
16.03,Ryze,mid,1,1
16.03,Xin Zhao,jng,0,2
16.03,Aatrox,top,1,0
16.03,Cho'Gath,top,1,0
16.03,Corki,bot,1,0
16.03,Gnar,top,1,0
16.03,K'Sante,top,0,1
16.03,Naafiri,jng,1,0
16.03,Neeko,jng,1,0
16.03,Nocturne,jng,0,1
16.03,Orianna,mid,1,0
16.03,Pantheon,jng,1,0
16.03,Poppy,sup,0,1
16.03,Rakan,sup,0,1
16.03,Sylas,mid,0,1
16.03,Syndra,mid,1,0
16.03,Varus,bot,0,1
16.03,Vi,jng,1,0
16.03,Wukong,jng,0,1
16.06,Nautilus,sup,0,2
16.06,Orianna,mid,0,2
16.06,Taliyah,mid,0,2
16.06,Ahri,mid,1,0
16.06,Ashe,bot,0,1
16.06,Corki,bot,1,0
16.06,Jarvan IV,jng,1,0
16.06,Jayce,top,1,0
16.06,Kai'Sa,bot,0,1
16.06,Karma,sup,1,0
16.06,Mel,mid,1,0
16.06,Miss Fortune,bot,0,1
16.06,Nami,sup,1,0
16.06,Rumble,top,1,0
16.06,Sion,top,0,1
16.06,Xin Zhao,jng,1,0
16.06,Yunara,bot,1,0
16.07,Aurora,mid,0,3
16.07,Olaf,top,0,3
16.07,Orianna,mid,1,2
16.07,Seraphine,sup,0,3
16.07,Yunara,bot,2,1
16.07,Yuumi,sup,0,3
16.07,Ahri,mid,0,2
16.07,Alistar,sup,1,1
16.07,Caitlyn,bot,1,1
16.07,Jarvan IV,jng,1,1
16.07,Nami,sup,1,1
16.07,Nautilus,sup,0,2
16.07,Qiyana,jng,0,2
16.07,Wukong,jng,2,0
16.07,Aatrox,jng,0,1
16.07,Azir,mid,1,0
16.07,Bard,sup,1,0
16.07,Braum,sup,0,1
16.07,Corki,bot,1,0
16.07,Dr. Mundo,jng,1,0
16.07,Ezreal,bot,1,0
16.07,Gragas,top,0,1
16.07,Jax,top,1,0
16.07,K'Sante,top,1,0
16.07,Karma,sup,1,0
16.07,LeBlanc,mid,1,0
16.07,Lux,sup,1,0
16.07,Mel,mid,1,0
16.07,Ornn,top,1,0
16.07,Pantheon,jng,0,1
16.07,Rell,sup,1,0
16.07,Renekton,top,1,0
16.07,Ryze,mid,1,0
16.07,Sion,top,1,0
16.07,Sivir,bot,0,1
16.07,Syndra,mid,1,0
16.07,Varus,bot,1,0
16.07,Vi,jng,1,0
16.07,Volibear,top,1,0
16.07,Zaahen,jng,1,0
16.08,Aurora,mid,0,3
16.08,Olaf,top,0,3
16.08,Yuumi,sup,0,3
16.08,Ornn,top,0,2
16.08,Ahri,mid,0,1
16.08,Alistar,sup,1,0
16.08,Ambessa,top,1,0
16.08,Ashe,bot,1,0
16.08,Corki,bot,0,1
16.08,Ezreal,bot,1,0
16.08,Jayce,top,1,0
16.08,Jhin,bot,1,0
16.08,Lissandra,mid,1,0
16.08,Pantheon,jng,1,0
16.08,Rakan,sup,1,0
16.08,Rell,sup,0,1
16.08,Renekton,top,0,1
16.08,Ryze,mid,1,0
16.08,Seraphine,sup,1,0
16.08,Swain,top,1,0
16.08,Vi,jng,1,0
16.08,Viktor,mid,1,0
16.08,Xin Zhao,jng,1,0
16.09,Aurora,mid,0,2
16.09,Olaf,top,0,2
16.09,Anivia,mid,1,0
16.09,Ashe,bot,1,0
16.09,Azir,mid,1,0
16.09,Bard,sup,1,0
16.09,Gnar,top,1,0
16.09,Karma,sup,0,1
16.09,Naafiri,jng,0,1
16.09,Orianna,mid,0,1
16.09,Rek'Sai,jng,1,0
16.09,Renekton,top,0,1
16.09,Seraphine,sup,1,0
16.09,Skarner,jng,0,1
16.09,Smolder,bot,1,0
16.09,Taliyah,mid,0,1
16.09,Xin Zhao,jng,1,0
16.09,Zaahen,top,1,0
16.1,Olaf,top,0,5
16.1,Nautilus,sup,1,2
16.1,Seraphine,sup,1,2
16.1,Shyvana,top,0,3
16.1,Ashe,bot,2,0
16.1,Caitlyn,bot,1,1
16.1,Galio,mid,1,1
16.1,Gnar,top,2,0
16.1,Lulu,sup,2,0
16.1,Rell,sup,0,2
16.1,Anivia,mid,1,0
16.1,Aurora,mid,1,0
16.1,Bard,sup,1,0
16.1,Braum,sup,0,1
16.1,Corki,bot,1,0
16.1,Jarvan IV,jng,0,1
16.1,Jayce,top,1,0
16.1,K'Sante,top,0,1
16.1,Karma,sup,0,1
16.1,Kha'Zix,jng,1,0
16.1,Kled,top,1,0
16.1,Kog'Maw,bot,1,0
16.1,Lee Sin,jng,1,0
16.1,Lucian,bot,0,1
16.1,Neeko,sup,1,0
16.1,Nocturne,jng,1,0
16.1,Orianna,mid,1,0
16.1,Pantheon,jng,0,1
16.1,Ryze,mid,0,1
16.1,Sion,top,1,0
16.1,Taliyah,mid,0,1
16.1,Trundle,jng,1,0
16.1,Varus,bot,0,1
16.1,Varus,top,1,0
16.1,Viktor,mid,1,0
16.1,Wukong,jng,1,0
16.1,Xin Zhao,jng,1,0
16.1,Yunara,bot,1,0
16.1,Zoe,mid,1,0
