patch,champ,role,picks_by,bans_vs
16.01,Olaf,top,0,3
16.01,Ambessa,top,0,2
16.01,Gragas,top,2,0
16.01,Miss Fortune,bot,1,1
16.01,Orianna,mid,1,1
16.01,Rell,sup,2,0
16.01,Taliyah,mid,1,1
16.01,Vi,jng,2,0
16.01,Aatrox,jng,0,1
16.01,Corki,bot,0,1
16.01,Ezreal,bot,0,1
16.01,Gwen,top,0,1
16.01,Jax,top,0,1
16.01,Jhin,bot,1,0
16.01,K'Sante,top,1,0
16.01,Nautilus,sup,1,0
16.01,Pantheon,jng,1,0
16.01,Renekton,top,0,1
16.01,Ryze,mid,1,0
16.01,Sivir,bot,1,0
16.01,Sona,sup,0,1
16.02,K'Sante,top,1,1
16.02,Olaf,top,0,2
16.02,Pantheon,jng,1,1
16.02,Rell,sup,2,0
16.02,Alistar,sup,0,1
16.02,Corki,bot,1,0
16.02,Gnar,top,1,0
16.02,Gragas,top,0,1
16.02,Jayce,jng,1,0
16.02,Kai'Sa,bot,1,0
16.02,Renekton,top,0,1
16.02,Ryze,mid,1,0
16.02,Sivir,bot,0,1
16.02,Taliyah,mid,1,0
16.02,Vi,jng,0,1
16.03,Olaf,top,0,2
16.03,Pantheon,jng,1,1
16.03,Rell,sup,1,1
16.03,Taliyah,mid,2,0
16.03,Varus,bot,1,1
16.03,Alistar,sup,0,1
16.03,Ambessa,top,1,0
16.03,Corki,bot,0,1
16.03,Kai'Sa,bot,0,1
16.03,Leona,sup,1,0
16.03,Orianna,mid,0,1
16.03,Renekton,top,1,0
16.03,Ryze,mid,0,1
16.03,Vi,jng,1,0
16.03,Xayah,bot,1,0
16.04,Taliyah,mid,2,6
16.04,Vi,jng,2,4
16.04,Olaf,top,1,4
16.04,Nautilus,sup,2,2
16.04,Pantheon,jng,0,4
16.04,Varus,bot,1,3
16.04,Jarvan IV,jng,2,1
16.04,K'Sante,top,2,1
16.04,Rell,sup,1,2
16.04,Xin Zhao,jng,1,2
16.04,Ahri,mid,2,0
16.04,Jhin,bot,2,0
16.04,Leona,sup,1,1
16.04,Orianna,mid,1,1
16.04,Ryze,mid,2,0
16.04,Sion,top,2,0
16.04,Sivir,bot,0,2
16.04,Alistar,sup,1,0
16.04,Ambessa,top,1,0
16.04,Ambessa,jng,1,0
16.04,Ashe,bot,1,0
16.04,Aurora,mid,0,1
16.04,Cassiopeia,mid,0,1
16.04,Corki,bot,1,0
16.04,Ezreal,bot,1,0
16.04,Galio,mid,1,0
16.04,Gragas,top,1,0
16.04,Lux,sup,1,0
16.04,Miss Fortune,bot,0,1
16.04,Nami,sup,1,0
16.04,Neeko,sup,0,1
16.04,Nocturne,jng,1,0
16.04,Renekton,top,1,0
16.04,Rumble,top,0,1
16.04,Seraphine,sup,1,0
16.04,Viktor,mid,0,1
16.04,Wukong,jng,1,0
16.04,Xayah,bot,1,0
16.04,Yunara,bot,1,0
16.05,Olaf,top,3,5
16.05,Ashe,bot,1,6
16.05,Taliyah,mid,1,6
16.05,Varus,bot,2,5
16.05,Rell,sup,2,3
16.05,K'Sante,top,2,2
16.05,Pantheon,jng,2,2
16.05,Vi,jng,1,3
16.05,Cassiopeia,mid,0,3
16.05,Corki,mid,3,0
16.05,Maokai,jng,3,0
16.05,Miss Fortune,bot,3,0
16.05,Seraphine,sup,2,1
16.05,Sion,top,2,1
16.05,Aurora,mid,2,0
16.05,Corki,bot,0,2
16.05,Ezreal,bot,0,2
16.05,Galio,mid,1,1
16.05,Jhin,bot,2,0
16.05,Leona,sup,2,0
16.05,Nautilus,sup,1,1
16.05,Renekton,top,2,0
16.05,Ryze,mid,1,1
16.05,Sivir,bot,2,0
16.05,Xin Zhao,jng,2,0
16.05,Ahri,mid,1,0
16.05,Alistar,sup,1,0
16.05,Ambessa,top,0,1
16.05,Gragas,top,1,0
16.05,Gwen,top,0,1
16.05,Karma,sup,0,1
16.05,Lucian,bot,0,1
16.05,Lulu,sup,1,0
16.05,Lux,sup,1,0
16.05,Nami,sup,0,1
16.05,Wukong,jng,1,0
16.05,Xayah,bot,0,1
16.05,Yone,mid,1,0
16.05,Zyra,jng,1,0
