patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.06,Ahri,mid,2,2,3,1,1,2
16.06,Ambessa,top,0,3,1,0,1,1
16.06,Azir,mid,0,3,2,0,1,1
16.06,Karma,sup,1,2,3,0,2,2
16.06,Orianna,mid,0,3,3,0,1,1
16.06,Ryze,mid,0,3,2,0,1,1
16.06,Taliyah,mid,0,3,2,0,1,1
16.06,Ashe,bot,1,1,2,1,1,2
16.06,Aurora,top,2,0,2,1,0,1
16.06,Corki,bot,0,2,1,0,0,0
16.06,K'Sante,top,2,0,2,1,0,1
16.06,Mel,mid,0,2,1,0,0,0
16.06,Vi,jng,2,0,2,0,0,0
16.06,Viktor,mid,1,1,2,1,0,1
16.06,Xin Zhao,jng,2,0,2,1,0,1
16.06,Alistar,sup,1,0,1,0,0,0
16.06,Bard,sup,1,0,1,0,0,0
16.06,Caitlyn,bot,1,0,1,0,0,0
16.06,Cho'Gath,top,1,0,1,0,0,0
16.06,Ezreal,bot,1,0,1,1,0,1
16.06,Gwen,top,0,1,1,0,0,0
16.06,Jarvan IV,jng,0,1,1,0,0,0
16.06,Nautilus,sup,0,1,1,0,0,0
16.06,Neeko,sup,1,0,1,1,0,1
16.06,Ornn,top,1,0,1,0,0,0
16.06,Pantheon,jng,1,0,1,1,0,1
16.06,Rakan,sup,1,0,1,0,0,0
16.06,Seraphine,sup,1,0,1,1,0,1
16.06,Sivir,bot,1,0,1,0,0,0
16.06,Sylas,mid,1,0,1,0,0,0
16.06,Varus,bot,1,0,1,0,0,0
16.06,Vayne,mid,1,0,1,0,0,0
16.06,Wukong,jng,1,0,1,0,0,0
16.06,Yone,mid,0,1,1,0,1,1
16.06,Yorick,top,0,1,1,0,0,0
16.06,Yunara,bot,1,0,1,0,0,0
16.06,Ziggs,mid,1,0,1,0,0,0
16.07,Ahri,mid,2,1,2,1,1,2
16.07,Nocturne,jng,1,2,2,1,1,2
16.07,Aurora,mid,0,2,1,0,1,1
16.07,Caitlyn,bot,1,1,2,0,0,0
16.07,Ezreal,bot,0,2,1,0,1,1
16.07,Gwen,top,1,1,1,0,1,1
16.07,Neeko,sup,2,0,2,1,0,1
16.07,Rumble,top,0,2,1,0,1,1
16.07,Seraphine,sup,0,2,1,0,1,1
16.07,Sivir,bot,2,0,2,2,0,2
16.07,Yone,mid,1,1,2,1,0,1
16.07,Ambessa,top,1,0,1,1,0,1
16.07,Aurora,top,1,0,1,1,0,1
16.07,Azir,mid,0,1,1,0,1,1
16.07,Bard,sup,1,0,1,0,0,0
16.07,Gnar,top,1,0,1,0,0,0
16.07,Jarvan IV,jng,1,0,1,0,0,0
16.07,Jhin,bot,1,0,1,0,0,0
16.07,Karma,sup,1,0,1,1,0,1
16.07,Nautilus,sup,0,1,1,0,0,0
16.07,Orianna,mid,0,1,1,0,1,1
16.07,Pantheon,jng,1,0,1,1,0,1
16.07,Vi,jng,1,0,1,0,0,0
16.07,Viktor,mid,1,0,1,0,0,0
16.07,Yunara,bot,0,1,1,0,0,0
16.07,Ziggs,bot,0,1,1,0,0,0
16.08,Rumble,top,0,5,3,0,2,2
16.08,Karma,sup,0,3,2,0,2,2
16.08,Nocturne,jng,0,3,2,0,1,1
16.08,Seraphine,sup,1,2,2,0,1,1
16.08,Ahri,mid,0,2,2,0,1,1
16.08,Aurora,mid,0,2,2,0,1,1
16.08,Azir,mid,2,0,2,2,0,2
16.08,Corki,bot,1,1,2,0,0,0
16.08,Ezreal,bot,2,0,2,2,0,2
16.08,Gnar,top,1,1,2,0,1,1
16.08,Skarner,jng,1,1,2,0,0,0
16.08,Viktor,mid,2,0,2,0,0,0
16.08,Alistar,sup,1,0,1,0,0,0
16.08,Annie,mid,1,0,1,0,0,0
16.08,Ashe,bot,1,0,1,0,0,0
16.08,Bard,sup,1,0,1,1,0,1
16.08,Gwen,top,1,0,1,0,0,0
16.08,Jarvan IV,jng,1,0,1,1,0,1
16.08,K'Sante,top,1,0,1,1,0,1
16.08,Neeko,sup,1,0,1,1,0,1
16.08,Pantheon,jng,1,0,1,1,0,1
16.08,Rakan,sup,1,0,1,0,0,0
16.08,Rek'Sai,top,0,1,1,0,0,0
16.08,Renekton,top,0,1,1,0,0,0
16.08,Sion,top,0,1,1,0,1,1
16.08,Varus,bot,0,1,1,0,0,0
16.08,Vi,jng,1,0,1,0,0,0
16.08,Wukong,jng,0,1,1,0,0,0
16.08,Xayah,bot,1,0,1,0,0,0
16.08,Xin Zhao,jng,1,0,1,0,0,0
16.08,Yorick,top,1,0,1,0,0,0
16.08,Zaahen,top,1,0,1,1,0,1
16.09,Ahri,mid,1,2,1,0,1,1
16.09,Nocturne,jng,0,3,1,0,1,1
16.09,Bard,sup,0,2,1,0,1,1
