patch,champ,role,picks_by,bans_vs
16.05,Neeko,sup,3,4
16.05,Vi,jng,1,6
16.05,Orianna,mid,0,6
16.05,Ahri,mid,4,1
16.05,Gnar,top,3,2
16.05,Jarvan IV,jng,2,3
16.05,Nautilus,sup,3,2
16.05,Pantheon,jng,3,2
16.05,Kai'Sa,bot,3,1
16.05,Karma,sup,0,4
16.05,Rumble,top,2,2
16.05,Syndra,mid,2,2
16.05,Varus,bot,4,0
16.05,Corki,bot,2,1
16.05,Gwen,top,2,1
16.05,Xin Zhao,jng,2,1
16.05,Zaahen,top,2,1
16.05,Ambessa,top,0,2
16.05,Kennen,top,1,1
16.05,Nocturne,jng,1,1
16.05,Renekton,top,0,2
16.05,Ryze,mid,0,2
16.05,Vladimir,mid,1,1
16.05,Yone,mid,2,0
16.05,Alistar,sup,1,0
16.05,Bard,sup,0,1
16.05,Dr. Mundo,jng,0,1
16.05,Ezreal,bot,0,1
16.05,Galio,mid,0,1
16.05,Hwei,mid,0,1
16.05,Jax,top,1,0
16.05,Lee Sin,jng,1,0
16.05,Lucian,bot,1,0
16.05,Lulu,sup,1,0
16.05,Maokai,sup,1,0
16.05,Nami,sup,1,0
16.05,Rakan,sup,1,0
16.05,Sylas,mid,1,0
16.05,Taliyah,mid,0,1
16.05,Twisted Fate,mid,1,0
16.05,Wukong,jng,1,0
16.05,Yorick,top,0,1
16.05,Yunara,bot,1,0
16.06,Azir,mid,5,2
16.06,Gnar,top,3,4
16.06,Orianna,mid,1,5
16.06,Rumble,top,0,6
16.06,Varus,bot,2,4
16.06,Karma,sup,0,5
16.06,Nautilus,sup,5,0
16.06,Neeko,sup,3,2
16.06,Pantheon,jng,2,3
16.06,Seraphine,sup,0,5
16.06,Vi,jng,2,3
16.06,Corki,bot,4,0
16.06,Ezreal,bot,3,1
16.06,Jarvan IV,jng,1,3
16.06,Kai'Sa,bot,3,1
16.06,Nami,sup,3,1
16.06,Ashe,bot,0,3
16.06,Aurora,mid,1,2
16.06,Bard,sup,0,3
16.06,Kennen,top,3,0
16.06,Nocturne,jng,3,0
16.06,Xin Zhao,jng,3,0
16.06,Ahri,mid,2,0
16.06,Ambessa,jng,2,0
16.06,Ambessa,top,2,0
16.06,Anivia,mid,0,2
16.06,Gwen,top,1,1
16.06,Jayce,top,2,0
