patch,champ,role,picks_vs,bans_vs
16.01,Malphite,jng,0,6
16.01,Neeko,sup,2,3
16.01,Rumble,top,3,2
16.01,Qiyana,jng,0,4
16.01,Bard,sup,1,2
16.01,Jayce,top,0,3
16.01,LeBlanc,mid,0,3
16.01,Lucian,bot,0,3
16.01,Orianna,mid,1,2
16.01,Taliyah,mid,3,0
16.01,Yunara,bot,2,1
16.01,Ahri,mid,0,2
16.01,Akali,mid,1,1
16.01,Ashe,bot,2,0
16.01,Jarvan IV,jng,1,1
16.01,K'Sante,top,1,1
16.01,Kalista,bot,1,1
16.01,Nautilus,sup,0,2
16.01,Nocturne,jng,2,0
16.01,Sion,top,1,1
16.01,Vi,jng,0,2
16.01,Wukong,jng,2,0
16.01,Xin Zhao,jng,2,0
16.01,Ambessa,top,1,0
16.01,Anivia,mid,1,0
16.01,Aurora,mid,1,0
16.01,Braum,sup,1,0
16.01,Cassiopeia,mid,0,1
16.01,Corki,bot,1,0
16.01,Elise,sup,1,0
16.01,Ezreal,bot,1,0
16.01,Galio,mid,1,0
16.01,Gnar,top,1,0
16.01,Gwen,top,1,0
16.01,Jayce,jng,1,0
16.01,Jhin,bot,1,0
16.01,Karma,sup,0,1
16.01,Leona,sup,1,0
16.01,Nami,sup,1,0
16.01,Ornn,top,0,1
16.01,Pantheon,jng,1,0
16.01,Poppy,sup,0,1
16.01,Rek'Sai,top,1,0
16.01,Renata Glasc,sup,1,0
16.01,Renekton,top,0,1
16.01,Seraphine,sup,1,0
16.01,Syndra,mid,1,0
16.01,Varus,bot,1,0
16.02,Gwen,top,0,4
16.02,Azir,mid,1,2
16.02,Malphite,jng,0,3
16.02,Ryze,mid,1,2
16.02,Varus,bot,1,2
16.02,Vi,jng,1,2
16.02,Ambessa,top,1,1
16.02,K'Sante,top,0,2
16.02,Nami,sup,0,2
16.02,Nautilus,sup,2,0
16.02,Neeko,sup,2,0
16.02,Sion,top,2,0
16.02,Ambessa,jng,1,0
16.02,Aurora,mid,1,0
16.02,Corki,bot,1,0
16.02,Ezreal,bot,1,0
16.02,Galio,mid,1,0
16.02,Jarvan IV,jng,1,0
16.02,Jhin,bot,1,0
16.02,Kai'Sa,bot,1,0
16.02,Kennen,top,1,0
16.02,Lulu,sup,0,1
16.02,Nocturne,jng,1,0
16.02,Rek'Sai,top,0,1
16.02,Rell,sup,1,0
16.02,Renekton,top,0,1
16.02,Rumble,top,1,0
