patch,champ,role,picks_vs,bans_vs
16.01,Jayce,top,0,10
16.01,Ambessa,top,1,5
16.01,Orianna,mid,1,5
16.01,Aphelios,bot,2,3
16.01,Corki,bot,5,0
16.01,Nautilus,sup,3,2
16.01,Rumble,top,0,5
16.01,Viktor,mid,1,4
16.01,Rell,sup,4,0
16.01,Wukong,jng,2,2
16.01,Yunara,bot,4,0
16.01,Braum,sup,1,2
16.01,Jarvan IV,jng,2,1
16.01,K'Sante,top,3,0
16.01,Leona,sup,1,2
16.01,Rakan,sup,0,3
16.01,Ryze,mid,2,1
16.01,Xin Zhao,jng,2,1
16.01,Aatrox,top,2,0
16.01,Akali,mid,1,1
16.01,Alistar,sup,1,1
16.01,Azir,mid,2,0
16.01,Cassiopeia,mid,1,1
16.01,Gnar,top,1,1
16.01,Lee Sin,jng,0,2
16.01,Lulu,sup,1,1
16.01,Mel,mid,2,0
16.01,Nocturne,jng,1,1
16.01,Pantheon,jng,0,2
16.01,Poppy,sup,1,1
16.01,Sivir,bot,2,0
16.01,Taliyah,mid,1,1
16.01,Vi,jng,0,2
16.01,Ahri,mid,1,0
16.01,Ambessa,jng,1,0
16.01,Dr. Mundo,jng,1,0
16.01,Galio,mid,0,1
16.01,Galio,top,1,0
16.01,Gwen,top,0,1
16.01,Kai'Sa,bot,0,1
16.01,Karma,sup,1,0
16.01,Kennen,top,1,0
16.01,Malphite,jng,0,1
16.01,Naafiri,jng,1,0
16.01,Neeko,sup,0,1
16.01,Ornn,top,1,0
16.01,Poppy,jng,1,0
16.01,Qiyana,jng,1,0
16.01,Sejuani,jng,1,0
16.01,Sion,top,1,0
16.01,Syndra,mid,1,0
16.01,Udyr,top,1,0
16.01,Volibear,top,1,0
16.02,Jarvan IV,jng,0,3
16.02,Pantheon,jng,0,3
16.02,Varus,bot,0,3
16.02,Alistar,sup,0,1
16.02,Aurora,mid,0,1
16.02,Bard,sup,0,1
16.02,Gnar,top,1,0
16.02,Gwen,top,0,1
16.02,Kai'Sa,bot,1,0
16.02,Karma,sup,1,0
16.02,Nautilus,sup,1,0
16.02,Orianna,mid,1,0
16.02,Rakan,sup,0,1
16.02,Rek'Sai,jng,1,0
16.02,Rell,sup,1,0
16.02,Rumble,top,1,0
16.02,Sion,top,0,1
16.02,Sion,mid,1,0
16.02,Smolder,bot,1,0
16.02,Sylas,mid,1,0
16.02,Taliyah,jng,1,0
16.02,Xayah,bot,1,0
16.02,Xin Zhao,jng,1,0
16.02,Zaahen,top,1,0
16.03,Pantheon,jng,0,11
16.03,Rumble,top,2,6
16.03,Ahri,mid,4,1
16.03,Alistar,sup,1,4
16.03,Ambessa,top,3,2
16.03,Leona,sup,4,1
16.03,Jax,top,2,2
16.03,Orianna,mid,1,3
16.03,Varus,bot,0,4
16.03,Ezreal,bot,3,0
16.03,Jarvan IV,jng,1,2
16.03,K'Sante,top,0,3
16.03,Nautilus,sup,0,3
16.03,Neeko,sup,1,2
16.03,Ryze,mid,2,1
16.03,Taliyah,mid,1,2
16.03,Vi,jng,0,3
16.03,Xin Zhao,jng,3,0
16.03,Yunara,bot,3,0
16.03,Azir,mid,0,2
16.03,Braum,sup,2,0
16.03,Corki,bot,2,0
16.03,Galio,mid,1,1
16.03,Gnar,top,2,0
16.03,Jayce,jng,2,0
16.03,Renekton,top,0,2
16.03,Sion,top,1,1
16.03,Sivir,bot,2,0
16.03,Smolder,bot,1,1
16.03,Aatrox,jng,1,0
16.03,Akali,mid,1,0
16.03,Aphelios,bot,0,1
16.03,Bard,sup,1,0
16.03,Dr. Mundo,top,1,0
16.03,Jhin,bot,0,1
16.03,Kai'Sa,bot,1,0
16.03,Lee Sin,jng,1,0
16.03,Naafiri,jng,1,0
16.03,Nami,sup,1,0
16.03,Poppy,sup,1,0
16.03,Qiyana,jng,1,0
16.03,Rakan,sup,1,0
16.03,Syndra,mid,1,0
16.03,Wukong,jng,1,0
16.03,Xayah,bot,0,1
16.03,Zaahen,top,1,0
16.03,Zaahen,jng,1,0
16.03,Zoe,mid,1,0
16.07,Karma,sup,3,8
16.07,Ambessa,top,0,7
16.07,Orianna,mid,1,6
16.07,Rengar,jng,0,7
16.07,Nautilus,sup,3,3
16.07,Rumble,top,2,4
16.07,Ahri,mid,3,2
16.07,Jarvan IV,jng,3,2
16.07,Lulu,sup,2,3
16.07,Neeko,sup,2,3
16.07,Caitlyn,bot,3,1
16.07,Fiora,top,0,4
16.07,Jayce,top,2,2
16.07,Kai'Sa,bot,1,3
16.07,LeBlanc,mid,2,2
16.07,Ryze,mid,3,1
16.07,Viktor,mid,2,2
16.07,Yunara,bot,3,1
16.07,Azir,mid,1,2
16.07,Dr. Mundo,jng,3,0
16.07,Ezreal,bot,2,1
16.07,Nami,sup,2,1
16.07,Seraphine,sup,2,1
16.07,Varus,bot,1,2
16.07,Wukong,jng,3,0
16.07,Xin Zhao,jng,3,0
16.07,Yorick,top,3,0
16.07,Akali,mid,0,2
16.07,Alistar,sup,1,1
16.07,Ashe,bot,2,0
16.07,Aurora,mid,1,1
16.07,Braum,sup,0,2
16.07,Ornn,top,2,0
16.07,Rell,sup,1,1
16.07,Sion,top,2,0
16.07,Sivir,bot,2,0
16.07,Vi,jng,1,1
16.07,Aatrox,jng,0,1
16.07,Anivia,mid,1,0
16.07,Annie,mid,0,1
16.07,Aurelion Sol,mid,0,1
16.07,Bard,sup,1,0
16.07,Corki,bot,0,1
16.07,Galio,mid,0,1
16.07,Galio,top,1,0
16.07,Gnar,top,1,0
16.07,Irelia,top,1,0
16.07,Jhin,bot,1,0
16.07,K'Sante,top,1,0
16.07,Lee Sin,jng,1,0
16.07,Lissandra,mid,1,0
16.07,Lucian,bot,0,1
16.07,Mel,mid,1,0
16.07,Naafiri,jng,1,0
16.07,Nocturne,jng,0,1
16.07,Qiyana,jng,0,1
16.07,Rek'Sai,top,1,0
16.07,Skarner,jng,1,0
16.07,Smolder,bot,1,0
16.07,Syndra,mid,1,0
16.07,Taliyah,mid,0,1
16.07,Tristana,bot,1,0
16.07,Zaahen,jng,1,0
16.07,Zaahen,top,1,0
16.09,Nautilus,sup,0,3
16.09,Neeko,sup,0,3
16.09,Ambessa,top,0,2
16.09,Aurora,mid,1,1
16.09,Caitlyn,bot,2,0
16.09,Galio,mid,0,2
16.09,Karma,sup,1,1
16.09,Orianna,mid,0,2
16.09,Viktor,mid,0,2
16.09,Annie,mid,1,0
16.09,Ashe,bot,1,0
16.09,Azir,mid,1,0
16.09,Dr. Mundo,jng,1,0
16.09,Ezreal,bot,0,1
16.09,Fiora,top,0,1
16.09,Irelia,top,1,0
16.09,Jayce,top,0,1
16.09,Jhin,bot,0,1
16.09,K'Sante,top,1,0
16.09,Kog'Maw,bot,1,0
16.09,Lulu,sup,1,0
16.09,Milio,sup,1,0
16.09,Nami,sup,1,0
16.09,Ornn,top,1,0
16.09,Rumble,top,1,0
16.09,Syndra,mid,1,0
16.09,Wukong,jng,1,0
16.09,Xin Zhao,jng,1,0
16.09,Zaahen,jng,1,0
