patch,champ,role,picks_vs,bans_vs
16.01,Viego,jng,0,3
16.01,Alistar,sup,2,0
16.01,Ambessa,top,0,2
16.01,K'Sante,top,2,0
16.01,Poppy,sup,0,2
16.01,Rumble,top,0,2
16.01,Varus,bot,1,1
16.01,Wukong,jng,1,1
16.01,Yunara,bot,2,0
16.01,Anivia,mid,1,0
16.01,Azir,mid,1,0
16.01,Corki,bot,1,0
16.01,Jarvan IV,jng,1,0
16.01,Jayce,jng,1,0
16.01,Malphite,jng,1,0
16.01,Mel,mid,0,1
16.01,Neeko,sup,0,1
16.01,Pyke,sup,0,1
16.01,Rakan,sup,1,0
16.01,Rell,sup,1,0
16.01,Ryze,mid,0,1
16.01,Ryze,top,1,0
16.01,Sion,top,0,1
16.01,Sivir,bot,0,1
16.01,Sylas,mid,0,1
16.01,Syndra,mid,0,1
16.01,Taliyah,mid,1,0
16.01,Twisted Fate,mid,0,1
16.01,Yasuo,mid,1,0
16.01,Zaahen,top,1,0
16.02,Caitlyn,bot,0,3
16.02,Poppy,sup,0,3
16.02,Pyke,sup,0,3
16.02,Ryze,mid,0,3
16.02,Ahri,mid,1,1
16.02,Akali,mid,2,0
16.02,Alistar,sup,2,0
16.02,Ambessa,top,0,2
16.02,Jayce,top,0,2
16.02,K'Sante,top,2,0
16.02,Varus,bot,2,0
16.02,Viego,jng,0,2
16.02,Aatrox,top,1,0
16.02,Anivia,mid,1,0
16.02,Braum,sup,1,0
16.02,Corki,bot,1,0
16.02,Diana,jng,0,1
16.02,Elise,sup,1,0
16.02,Jarvan IV,jng,1,0
16.02,Jayce,jng,1,0
16.02,Karma,sup,0,1
16.02,Kog'Maw,bot,1,0
16.02,Lillia,jng,0,1
16.02,Lulu,sup,0,1
16.02,Malphite,jng,0,1
16.02,Nami,sup,1,0
16.02,Rumble,top,1,0
16.02,Sion,top,1,0
16.02,Sivir,bot,0,1
16.02,Syndra,mid,1,0
16.02,Vi,jng,1,0
16.02,Wukong,jng,1,0
16.02,Xin Zhao,jng,1,0
16.02,Yunara,bot,1,0
16.03,Ambessa,top,1,4
16.03,Corki,bot,4,1
16.03,Ryze,mid,1,3
16.03,Viego,jng,0,4
16.03,Alistar,sup,2,1
16.03,Azir,mid,1,2
16.03,Ezreal,bot,0,3
16.03,Varus,bot,0,3
16.03,Ahri,mid,2,0
16.03,Cassiopeia,mid,1,1
16.03,Dr. Mundo,jng,2,0
16.03,Karma,sup,0,2
16.03,Nautilus,sup,0,2
16.03,Pyke,sup,0,2
16.03,Rumble,top,2,0
16.03,Vi,jng,2,0
16.03,Wukong,jng,2,0
16.03,Bard,sup,1,0
16.03,Caitlyn,bot,0,1
16.03,Cassiopeia,top,1,0
16.03,Jarvan IV,jng,0,1
16.03,Jhin,bot,1,0
16.03,Nami,sup,1,0
16.03,Neeko,sup,1,0
16.03,Rakan,sup,1,0
16.03,Sion,top,1,0
16.03,Viktor,mid,1,0
16.03,Yunara,bot,1,0
16.03,Zaahen,top,1,0
16.04,Viego,jng,0,3
16.04,Ambessa,top,0,2
16.04,Orianna,mid,0,2
16.04,Aatrox,jng,1,0
16.04,Corki,bot,1,0
16.04,Ezreal,bot,1,0
16.04,Gnar,top,1,0
16.04,Hwei,mid,1,0
16.04,Jarvan IV,jng,0,1
16.04,Kai'Sa,bot,0,1
16.04,Lulu,sup,1,0
16.04,Maokai,jng,0,1
16.04,Nami,sup,1,0
16.04,Nautilus,sup,1,0
16.04,Pyke,sup,0,1
16.04,Qiyana,jng,1,0
16.04,Rumble,top,1,0
16.04,Ryze,mid,1,0
16.04,Sion,top,0,1
16.04,Sivir,bot,0,1
16.04,Syndra,mid,0,1
16.04,Taliyah,mid,0,1
16.04,Veigar,mid,1,0
16.04,Wukong,jng,1,0
16.04,Yunara,bot,1,0
16.04,Zaahen,top,1,0
16.06,K'Sante,top,3,0
16.06,Orianna,mid,1,2
16.06,Kai'Sa,bot,1,1
16.06,Nautilus,sup,1,1
16.06,Pyke,sup,0,2
16.06,Ryze,mid,1,1
16.06,Ambessa,jng,1,0
16.06,Anivia,mid,1,0
16.06,Bard,sup,0,1
16.06,Caitlyn,bot,0,1
16.06,Ezreal,bot,1,0
16.06,Karma,sup,0,1
16.06,Lulu,sup,1,0
16.06,Nocturne,jng,1,0
16.06,Poppy,sup,0,1
16.06,Rell,sup,1,0
16.06,Rumble,top,0,1
16.06,Shen,top,0,1
16.06,Sivir,bot,0,1
16.06,Viego,jng,0,1
16.06,Xin Zhao,jng,1,0
16.06,Yunara,bot,1,0
16.07,Dr. Mundo,jng,0,4
16.07,Ezreal,bot,1,3
16.07,Azir,mid,2,1
16.07,Gnar,top,2,1
16.07,Nautilus,sup,0,3
16.07,Pyke,sup,0,3
16.07,Viego,jng,0,3
16.07,Ahri,mid,0,2
16.07,Anivia,mid,2,0
16.07,Jarvan IV,jng,2,0
16.07,Karma,sup,2,0
16.07,Mel,mid,0,2
16.07,Pantheon,jng,2,0
16.07,Ryze,mid,1,1
16.07,Sion,top,2,0
16.07,Varus,bot,1,1
16.07,Aatrox,top,1,0
16.07,Aatrox,jng,1,0
16.07,Ambessa,top,1,0
16.07,Ashe,bot,1,0
16.07,Bard,sup,1,0
16.07,Caitlyn,bot,1,0
16.07,Jhin,bot,1,0
16.07,Kog'Maw,mid,1,0
16.07,Naafiri,jng,0,1
16.07,Rakan,sup,1,0
16.07,Rumble,top,0,1
16.07,Seraphine,sup,1,0
16.07,Sivir,bot,1,0
16.07,Skarner,jng,1,0
16.07,Vi,jng,0,1
16.07,Wukong,jng,0,1
16.07,Yone,mid,0,1
16.07,Yorick,top,0,1
16.07,Zilean,sup,1,0
16.08,Ryze,mid,0,5
16.08,Caitlyn,bot,1,2
16.08,Jarvan IV,jng,1,2
16.08,Sion,top,0,3
16.08,Viego,jng,0,3
16.08,Aurora,mid,1,1
16.08,Pyke,sup,0,2
16.08,Rumble,top,1,1
16.08,Thresh,sup,2,0
16.08,Ambessa,top,1,0
16.08,Ashe,bot,1,0
16.08,Azir,mid,1,0
16.08,Bard,sup,0,1
16.08,Ezreal,bot,1,0
16.08,Galio,mid,1,0
16.08,Gwen,top,1,0
16.08,Karma,sup,0,1
16.08,LeBlanc,mid,1,0
16.08,Mel,mid,0,1
16.08,Nautilus,sup,1,0
16.08,Nocturne,jng,1,0
16.08,Ornn,top,0,1
16.08,Pantheon,jng,1,0
16.08,Rell,sup,1,0
16.08,Renekton,top,1,0
16.08,Seraphine,sup,1,0
16.08,Shen,top,0,1
16.08,Sivir,bot,0,1
16.08,Skarner,jng,1,0
16.08,Sylas,mid,1,0
16.08,Varus,bot,1,0
16.08,Varus,top,1,0
16.08,Vi,jng,1,0
16.08,Yunara,bot,1,0
16.09,Ezreal,bot,1,3
16.09,Nautilus,sup,0,3
16.09,Orianna,mid,0,3
16.09,Poppy,sup,0,3
16.09,Pyke,sup,0,3
16.09,Ryze,mid,1,2
16.09,Ahri,mid,2,0
16.09,Bard,sup,2,0
16.09,Caitlyn,bot,0,2
16.09,Braum,sup,1,0
16.09,Cassiopeia,mid,0,1
16.09,Galio,mid,0,1
16.09,Gnar,top,1,0
16.09,Illaoi,top,1,0
16.09,Jhin,bot,1,0
16.09,Karma,sup,1,0
16.09,Kassadin,mid,1,0
16.09,Lee Sin,jng,1,0
16.09,Lucian,bot,1,0
16.09,Lulu,sup,0,1
16.09,Malzahar,mid,1,0
16.09,Milio,sup,1,0
16.09,Neeko,sup,0,1
16.09,Nocturne,jng,1,0
16.09,Pantheon,jng,1,0
16.09,Rumble,top,1,0
16.09,Skarner,jng,1,0
16.09,Smolder,bot,1,0
16.09,Udyr,top,1,0
16.09,Vayne,top,1,0
16.09,Viktor,mid,0,1
16.09,Xin Zhao,jng,1,0
16.09,Yorick,top,0,1
16.09,Ziggs,bot,1,0
16.1,Orianna,mid,0,4
16.1,Ryze,mid,0,4
16.1,Rumble,top,0,3
16.1,Aurora,mid,1,1
16.1,Kennen,top,1,1
16.1,Viego,jng,0,2
16.1,Azir,mid,0,1
16.1,Caitlyn,bot,1,0
16.1,Dr. Mundo,jng,0,1
16.1,Elise,sup,1,0
16.1,Ezreal,mid,1,0
16.1,Gnar,top,1,0
16.1,Gwen,top,1,0
16.1,Karma,sup,1,0
16.1,Kog'Maw,bot,1,0
16.1,LeBlanc,mid,1,0
16.1,Maokai,jng,0,1
16.1,Mel,bot,1,0
16.1,Naafiri,jng,0,1
16.1,Nami,sup,1,0
16.1,Nocturne,jng,1,0
16.1,Pyke,sup,1,0
16.1,Sejuani,jng,1,0
16.1,Sion,top,0,1
16.1,Sivir,bot,1,0
16.1,Trundle,jng,1,0
