patch,champ,role,picks_by,bans_vs
16.01,Aphelios,bot,0,5
16.01,Jayce,top,0,5
16.01,Orianna,mid,1,4
16.01,Varus,bot,0,5
16.01,Wukong,jng,2,2
16.01,Yunara,bot,4,0
16.01,Zaahen,top,3,1
16.01,Alistar,sup,2,1
16.01,Azir,mid,3,0
16.01,Gnar,top,2,1
16.01,Kai'Sa,bot,2,1
16.01,Malphite,jng,1,2
16.01,Neeko,sup,2,1
16.01,Rell,sup,2,1
16.01,Renekton,top,1,2
16.01,Sivir,bot,2,1
16.01,Xin Zhao,jng,3,0
16.01,Anivia,mid,0,2
16.01,Dr. Mundo,jng,1,1
16.01,K'Sante,top,2,0
16.01,Lulu,sup,0,2
16.01,Malzahar,mid,1,1
16.01,Poppy,sup,1,1
16.01,Sylas,mid,0,2
16.01,Syndra,mid,1,1
16.01,Taliyah,mid,2,0
16.01,Vi,jng,0,2
16.01,Ahri,mid,0,1
16.01,Akali,mid,1,0
16.01,Ambessa,jng,1,0
16.01,Ashe,bot,1,0
16.01,Bard,sup,1,0
16.01,Braum,sup,0,1
16.01,Ezreal,bot,0,1
16.01,Jarvan IV,jng,1,0
16.01,Jhin,bot,0,1
16.01,Jinx,bot,1,0
16.01,Leona,sup,1,0
16.01,Lucian,bot,0,1
16.01,Miss Fortune,bot,0,1
16.01,Ornn,top,1,0
16.01,Pantheon,jng,1,0
16.01,Renata Glasc,sup,1,0
16.01,Ryze,mid,1,0
16.01,Sion,top,1,0
16.02,Aphelios,bot,0,5
16.02,Jayce,top,0,5
16.02,Orianna,mid,2,3
16.02,Wukong,jng,1,3
16.02,Ambessa,top,2,1
16.02,Bard,sup,1,2
16.02,Jarvan IV,jng,3,0
16.02,Kai'Sa,bot,1,2
16.02,Neeko,sup,2,1
16.02,Nocturne,jng,2,1
16.02,Ornn,top,3,0
16.02,Varus,bot,1,2
16.02,Xin Zhao,jng,0,3
16.02,Azir,mid,2,0
16.02,Lulu,sup,1,1
16.02,Malphite,jng,0,2
16.02,Miss Fortune,bot,2,0
16.02,Poppy,sup,0,2
16.02,Rell,sup,2,0
16.02,Sivir,bot,0,2
16.02,Yunara,bot,1,1
16.02,Ahri,mid,1,0
16.02,Akali,mid,0,1
16.02,Alistar,sup,1,0
16.02,Blitzcrank,sup,0,1
16.02,Corki,bot,1,0
16.02,Gnar,top,0,1
16.02,Gwen,top,0,1
16.02,Jhin,bot,1,0
16.02,Jinx,bot,1,0
16.02,K'Sante,top,1,0
16.02,Karma,sup,0,1
16.02,Kennen,top,0,1
16.02,Leona,sup,1,0
16.02,Malzahar,mid,1,0
16.02,Nautilus,sup,1,0
16.02,Nidalee,top,1,0
16.02,Pantheon,jng,1,0
16.02,Qiyana,jng,1,0
16.02,Renekton,top,1,0
16.02,Rumble,top,0,1
16.02,Ryze,mid,1,0
16.02,Sion,top,1,0
16.02,Taliyah,mid,1,0
16.02,Trundle,jng,1,0
16.02,Vi,jng,0,1
16.02,Viktor,mid,1,0
16.02,Yorick,top,0,1
16.02,Ziggs,bot,1,0
16.07,Neeko,sup,0,3
16.07,Nocturne,jng,0,3
16.07,Ambessa,top,1,1
16.07,Nautilus,sup,0,2
16.07,Seraphine,sup,0,2
16.07,Ahri,mid,1,0
16.07,Alistar,sup,1,0
16.07,Anivia,top,1,0
16.07,Aurora,mid,1,0
16.07,Azir,mid,1,0
16.07,Jarvan IV,jng,0,1
16.07,Jayce,top,1,0
16.07,Lucian,bot,1,0
16.07,Lulu,sup,1,0
16.07,Milio,sup,1,0
16.07,Naafiri,jng,1,0
16.07,Ornn,top,0,1
16.07,Pantheon,jng,1,0
16.07,Renekton,top,0,1
16.07,Senna,bot,1,0
16.07,Varus,bot,0,1
16.07,Vi,jng,1,0
16.07,Yunara,bot,1,0
16.08,Bard,sup,0,3
16.08,Jayce,top,1,2
16.08,Pantheon,jng,0,3
16.08,Rumble,top,1,2
16.08,Varus,bot,0,3
16.08,Aurora,mid,2,0
16.08,Azir,mid,1,1
16.08,Milio,sup,2,0
16.08,Orianna,mid,0,2
16.08,Renekton,top,0,2
16.08,Senna,bot,0,2
16.08,Xin Zhao,jng,2,0
16.08,Ambessa,top,1,0
16.08,Aphelios,bot,1,0
16.08,Ashe,bot,1,0
16.08,Gnar,top,1,0
16.08,Jarvan IV,jng,1,0
16.08,Jhin,bot,1,0
16.08,Lucian,bot,1,0
16.08,Lulu,sup,1,0
16.08,Malzahar,mid,1,0
16.08,Nautilus,sup,0,1
16.08,Nocturne,jng,1,0
16.08,Poppy,sup,0,1
16.08,Rell,sup,1,0
16.08,Ryze,mid,1,0
16.08,Seraphine,sup,1,0
16.08,Sion,top,1,0
16.08,Skarner,jng,1,0
16.08,Twisted Fate,mid,0,1
16.08,Vayne,top,0,1
16.08,Vi,jng,0,1
16.08,Yunara,bot,1,0
16.09,Lucian,bot,0,5
16.09,Nocturne,jng,0,5
16.09,Jhin,bot,1,2
16.09,Karma,sup,1,2
16.09,Cassiopeia,mid,2,0
16.09,Jarvan IV,jng,1,1
16.09,Lee Sin,jng,1,1
16.09,Nautilus,sup,1,1
16.09,Orianna,mid,0,2
16.09,Rumble,top,2,0
16.09,Senna,bot,2,0
16.09,Sion,top,0,2
16.09,Varus,bot,0,2
16.09,Vayne,top,0,2
16.09,Alistar,sup,1,0
16.09,Anivia,mid,1,0
16.09,Annie,mid,1,0
16.09,Aurora,mid,1,0
16.09,Azir,mid,0,1
16.09,Bard,sup,0,1
16.09,Corki,bot,1,0
16.09,Ezreal,bot,1,0
16.09,Gragas,top,1,0
16.09,Jayce,top,0,1
16.09,K'Sante,top,1,0
16.09,Lulu,sup,1,0
16.09,Naafiri,jng,1,0
16.09,Nami,sup,1,0
16.09,Neeko,sup,1,0
16.09,Renekton,top,1,0
16.09,Ryze,mid,1,0
16.09,Twisted Fate,top,1,0
16.09,Vi,jng,1,0
16.09,Viktor,mid,0,1
16.09,Wukong,jng,1,0
16.09,Xin Zhao,jng,1,0
16.09,Yorick,top,0,1
16.09,Yunara,bot,1,0
16.1,Karma,sup,1,1
16.1,Annie,mid,1,0
16.1,Ashe,bot,1,0
16.1,Bard,sup,1,0
16.1,Ezreal,bot,1,0
16.1,Jarvan IV,jng,1,0
16.1,K'Sante,top,1,0
16.1,Lee Sin,jng,1,0
16.1,Leona,sup,1,0
16.1,Maokai,jng,1,0
16.1,Mel,mid,1,0
16.1,Orianna,mid,1,0
16.1,Pantheon,jng,1,0
16.1,Renekton,top,1,0
16.1,Rumble,top,0,1
16.1,Rumble,mid,1,0
16.1,Seraphine,sup,1,0
16.1,Sion,top,1,0
16.1,Tristana,top,1,0
16.1,Trundle,jng,1,0
16.1,Varus,bot,1,0
16.1,Vayne,top,1,0
16.1,Vi,jng,0,1
16.1,Viktor,mid,1,0
16.1,Wukong,jng,0,1
16.1,Xin Zhao,jng,0,1
16.1,Yuumi,sup,1,0
16.1,Zeri,bot,1,0
16.1,Ziggs,bot,1,0
