patch,champ,role,picks_vs,bans_vs
16.01,Azir,mid,1,1
16.01,Bard,sup,2,0
16.01,Jayce,top,0,2
16.01,Leona,sup,0,2
16.01,Rumble,top,0,2
16.01,Taliyah,mid,1,1
16.01,Varus,bot,0,2
16.01,Xin Zhao,jng,1,1
16.01,Aatrox,jng,1,0
16.01,Akali,mid,0,1
16.01,Braum,sup,1,0
16.01,Caitlyn,bot,1,0
16.01,Ekko,mid,1,0
16.01,Ezreal,bot,1,0
16.01,Gnar,top,1,0
16.01,Karma,sup,0,1
16.01,Malphite,jng,0,1
16.01,Mel,bot,1,0
16.01,Neeko,sup,0,1
16.01,Orianna,mid,0,1
16.01,Ornn,top,1,0
16.01,Poppy,top,1,0
16.01,Pyke,sup,1,0
16.01,Rakan,sup,0,1
16.01,Rell,sup,0,1
16.01,Ryze,mid,1,0
16.01,Sion,top,1,0
16.01,Vi,jng,1,0
16.01,Viego,jng,1,0
16.01,Wukong,jng,0,1
16.01,Yunara,bot,1,0
16.01,Zaahen,top,0,1
16.02,Alistar,sup,2,1
16.02,Jayce,top,0,3
16.02,Yunara,bot,0,3
16.02,Ambessa,top,1,1
16.02,Azir,mid,0,2
16.02,Bard,sup,1,1
16.02,Galio,mid,0,2
16.02,Orianna,mid,0,2
16.02,Renekton,top,1,1
16.02,Vi,jng,0,2
16.02,Aatrox,top,1,0
16.02,Corki,bot,1,0
16.02,Dr. Mundo,jng,1,0
16.02,Ekko,mid,1,0
16.02,Ezreal,bot,0,1
16.02,Gnar,top,0,1
16.02,Gwen,top,0,1
16.02,Jarvan IV,jng,1,0
16.02,Jayce,jng,1,0
16.02,Jhin,bot,1,0
16.02,Jinx,bot,1,0
16.02,K'Sante,top,1,0
16.02,Kai'Sa,bot,1,0
16.02,Lulu,sup,0,1
16.02,Nami,sup,1,0
16.02,Nautilus,sup,1,0
16.02,Neeko,sup,0,1
16.02,Nunu & Willump,jng,1,0
16.02,Ornn,top,0,1
16.02,Ryze,mid,1,0
16.02,Sion,top,1,0
16.02,Syndra,mid,1,0
16.02,Taliyah,jng,1,0
16.02,Varus,bot,0,1
16.02,Varus,mid,1,0
16.02,Zeri,bot,1,0
16.02,Zoe,mid,1,0
16.03,Orianna,mid,0,5
16.03,Azir,mid,0,4
16.03,Braum,sup,2,2
16.03,Jarvan IV,jng,2,2
16.03,Wukong,jng,3,1
16.03,Caitlyn,bot,0,3
16.03,Lulu,sup,1,2
16.03,Yunara,bot,2,1
16.03,Cassiopeia,mid,2,0
16.03,Corki,bot,2,0
16.03,Gwen,top,2,0
16.03,Nautilus,sup,1,1
16.03,Rumble,top,2,0
16.03,Taliyah,mid,2,0
16.03,Varus,bot,0,2
16.03,Ahri,mid,0,1
16.03,Ambessa,top,0,1
16.03,Anivia,mid,0,1
16.03,Dr. Mundo,jng,0,1
16.03,Ezreal,bot,1,0
16.03,Gnar,top,1,0
16.03,Jinx,bot,1,0
16.03,Karma,sup,1,0
16.03,Rell,sup,1,0
16.03,Ryze,mid,1,0
16.03,Sion,top,1,0
16.03,Sivir,bot,0,1
16.03,Sylas,mid,1,0
16.03,Syndra,mid,0,1
16.03,Vi,jng,0,1
16.03,Zaahen,jng,1,0
16.04,Rumble,top,0,3
16.04,Varus,bot,0,3
16.04,Dr. Mundo,jng,0,2
16.04,Ahri,mid,0,1
16.04,Akali,mid,0,1
16.04,Braum,sup,1,0
16.04,Caitlyn,bot,0,1
16.04,Corki,bot,1,0
16.04,Ezreal,bot,0,1
16.04,Galio,mid,0,1
16.04,Gnar,top,0,1
16.04,Gwen,top,1,0
16.04,Jarvan IV,jng,1,0
16.04,K'Sante,top,1,0
16.04,Leona,sup,1,0
16.04,Lulu,sup,0,1
16.04,Nami,sup,1,0
16.04,Orianna,mid,1,0
16.04,Pantheon,jng,1,0
16.04,Ryze,mid,1,0
16.04,Tristana,bot,1,0
16.04,Viktor,mid,1,0
16.04,Xayah,bot,1,0
16.04,Yorick,top,1,0
16.04,Zaahen,jng,1,0
16.06,Ashe,bot,0,3
16.06,Azir,mid,1,2
16.06,Ryze,mid,1,2
16.06,Nami,sup,2,0
16.06,Syndra,mid,1,1
16.06,Xin Zhao,jng,1,1
16.06,Aatrox,top,1,0
16.06,Aatrox,jng,1,0
16.06,Ambessa,top,0,1
16.06,Corki,bot,1,0
16.06,Dr. Mundo,jng,1,0
16.06,Gwen,top,0,1
16.06,Jarvan IV,jng,0,1
16.06,Karma,sup,0,1
16.06,Lulu,sup,1,0
16.06,Nocturne,jng,0,1
16.06,Sion,top,1,0
16.06,Sivir,bot,1,0
16.06,Trundle,jng,0,1
16.06,Varus,top,1,0
16.06,Yunara,bot,1,0
16.07,Gnar,top,2,2
16.07,Orianna,mid,0,4
16.07,Ashe,bot,1,2
16.07,Azir,mid,0,3
16.07,Dr. Mundo,jng,2,1
16.07,Karma,sup,0,3
16.07,Rumble,top,2,1
16.07,Aurora,mid,1,1
16.07,Jarvan IV,jng,0,2
16.07,Nautilus,sup,1,1
16.07,Pantheon,jng,1,1
16.07,Pyke,sup,2,0
16.07,Ryze,mid,1,1
16.07,Vi,jng,2,0
16.07,Xin Zhao,jng,0,2
16.07,Aatrox,jng,0,1
16.07,Ahri,mid,1,0
16.07,Ambessa,top,0,1
16.07,Anivia,top,1,0
16.07,Bard,sup,0,1
16.07,Corki,bot,1,0
16.07,Gwen,top,0,1
16.07,K'Sante,top,1,0
16.07,Kai'Sa,bot,1,0
16.07,LeBlanc,mid,1,0
16.07,Mel,mid,0,1
16.07,Nami,sup,1,0
16.07,Neeko,sup,1,0
16.07,Seraphine,sup,1,0
16.07,Sion,mid,1,0
16.07,Sion,top,0,1
16.07,Sivir,bot,1,0
16.07,Skarner,jng,1,0
16.07,Taliyah,mid,1,0
16.07,Yunara,bot,1,0
16.07,Ziggs,bot,1,0
16.08,Karma,sup,0,3
16.08,Nocturne,jng,2,1
16.08,Pantheon,jng,0,3
16.08,Aurora,mid,0,2
16.08,Azir,mid,1,1
16.08,Nautilus,sup,1,1
16.08,Neeko,sup,0,2
16.08,Xin Zhao,jng,0,2
16.08,Akali,mid,0,1
16.08,Ambessa,top,0,1
16.08,Bard,sup,1,0
16.08,Braum,sup,0,1
16.08,Caitlyn,bot,1,0
16.08,Elise,sup,1,0
16.08,Ezreal,bot,1,0
16.08,Jayce,top,1,0
16.08,Kai'Sa,bot,1,0
16.08,Naafiri,jng,1,0
16.08,Nami,sup,0,1
16.08,Orianna,mid,1,0
16.08,Poppy,top,1,0
16.08,Poppy,sup,1,0
16.08,Rumble,top,0,1
16.08,Sion,top,1,0
16.08,Vi,jng,1,0
16.08,Viktor,mid,1,0
16.08,Yone,mid,1,0
16.08,Yorick,top,1,0
16.08,Ziggs,bot,1,0
16.09,Anivia,mid,1,2
16.09,Aurora,mid,1,1
16.09,Jarvan IV,jng,0,2
16.09,Nautilus,sup,0,2
16.09,Rumble,top,2,0
16.09,Seraphine,sup,1,1
16.09,Aatrox,jng,1,0
16.09,Annie,mid,1,0
16.09,Ashe,bot,1,0
16.09,Azir,mid,1,0
16.09,Bard,sup,0,1
16.09,Ezreal,bot,1,0
16.09,Gwen,top,1,0
16.09,Jayce,top,0,1
16.09,Karma,sup,1,0
16.09,Lee Sin,jng,1,0
16.09,Lucian,bot,1,0
16.09,Milio,sup,1,0
16.09,Nami,sup,1,0
16.09,Nocturne,jng,0,1
16.09,Orianna,mid,0,1
16.09,Pantheon,jng,1,0
16.09,Ryze,mid,0,1
16.09,Sion,top,1,0
16.09,Sivir,bot,1,0
16.09,Skarner,jng,1,0
16.09,Varus,bot,0,1
16.09,Viktor,mid,0,1
