patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.10,Caitlyn,bot,2,0,2,2,0,2
16.10,K'Sante,top,2,0,2,1,0,1
16.10,Orianna,mid,2,0,2,0,0,0
16.10,Xin Zhao,jng,2,0,2,1,0,1
16.10,Ashe,bot,1,0,1,0,0,0
16.10,Aurora,mid,1,0,1,1,0,1
16.10,Braum,sup,1,0,1,0,0,0
16.10,Jarvan IV,jng,1,0,1,0,0,0
16.10,Karma,sup,1,0,1,1,0,1
16.10,Lucian,bot,1,0,1,0,0,0
16.10,Lux,sup,1,0,1,1,0,1
16.10,Mel,mid,1,0,1,1,0,1
16.10,Milio,sup,1,0,1,0,0,0
16.10,Miss Fortune,bot,1,0,1,0,0,0
16.10,Nocturne,jng,1,0,1,1,0,1
16.10,Olaf,top,1,0,1,0,0,0
16.10,Pantheon,jng,1,0,1,0,0,0
16.10,Rell,sup,1,0,1,0,0,0
16.10,Singed,top,1,0,1,1,0,1
16.10,Sion,top,1,0,1,0,0,0
16.10,Viktor,mid,1,0,1,0,0,0
