patch,champ,role,picks_vs,bans_vs
16.02,Ashe,bot,0,2
16.02,K'Sante,top,0,2
16.02,Alistar,sup,1,0
16.02,Azir,mid,1,0
16.02,Braum,sup,0,1
16.02,Jayce,jng,1,0
16.02,Kennen,top,1,0
16.02,Lulu,sup,0,1
16.02,Malphite,jng,0,1
16.02,Nautilus,sup,0,1
16.02,Neeko,sup,0,1
16.02,Olaf,top,0,1
16.02,Rell,sup,1,0
16.02,Renekton,top,1,0
16.02,Varus,bot,1,0
16.02,Viktor,mid,1,0
16.02,Xin Zhao,jng,1,0
16.02,Yunara,bot,1,0
16.03,Kindred,jng,0,6
16.03,K'Sante,top,0,5
16.03,Gwen,top,1,2
16.03,Bel'Veth,jng,0,2
16.03,Braum,sup,0,2
16.03,Camille,top,0,2
16.03,Ezreal,bot,2,0
16.03,Gnar,top,1,1
16.03,Leona,sup,2,0
16.03,Nautilus,sup,1,1
16.03,Orianna,mid,0,2
16.03,Sion,top,1,1
16.03,Zoe,mid,0,2
16.03,Alistar,sup,1,0
16.03,Aphelios,bot,1,0
16.03,Azir,mid,1,0
16.03,Corki,bot,1,0
16.03,Hecarim,jng,1,0
16.03,Hwei,mid,1,0
16.03,Jarvan IV,jng,1,0
16.03,Jax,top,0,1
16.03,Karma,sup,1,0
16.03,Kassadin,mid,1,0
16.03,LeBlanc,mid,0,1
16.03,Malphite,top,1,0
16.03,Nidalee,jng,1,0
16.03,Rell,sup,1,0
16.03,Rumble,top,1,0
16.03,Ryze,mid,1,0
16.03,Sivir,bot,1,0
16.03,Syndra,mid,0,1
16.03,Taliyah,jng,1,0
16.03,Thresh,sup,0,1
16.03,Twisted Fate,mid,1,0
16.03,Urgot,top,1,0
16.03,Wukong,jng,1,0
16.03,Xin Zhao,jng,1,0
16.03,Yone,mid,1,0
16.03,Zeri,bot,1,0
16.1,Hwei,mid,0,8
16.1,Sion,top,1,6
16.1,Ashe,bot,2,3
16.1,Jarvan IV,jng,2,2
16.1,Mel,mid,0,4
16.1,Seraphine,sup,2,2
16.1,Ahri,mid,3,0
16.1,Braum,sup,3,0
16.1,Ezreal,bot,1,2
16.1,Fiora,top,0,3
16.1,Olaf,top,0,3
16.1,Vi,jng,1,2
16.1,Viktor,mid,1,2
16.1,Zaahen,top,2,1
16.1,Aatrox,jng,0,2
16.1,Caitlyn,bot,2,0
16.1,Karma,sup,1,1
16.1,Orianna,mid,1,1
16.1,Ryze,mid,2,0
16.1,Smolder,bot,0,2
16.1,Wukong,jng,2,0
16.1,Yunara,bot,2,0
16.1,Anivia,top,1,0
16.1,Aurora,mid,1,0
16.1,Bard,sup,1,0
16.1,Cassiopeia,mid,0,1
16.1,Dr. Mundo,jng,1,0
16.1,Draven,bot,1,0
16.1,Galio,mid,0,1
16.1,Gnar,top,1,0
16.1,Jayce,top,1,0
16.1,Jhin,bot,1,0
16.1,Jinx,bot,1,0
16.1,K'Sante,top,1,0
16.1,Karma,mid,1,0
16.1,LeBlanc,mid,1,0
16.1,Lee Sin,jng,1,0
16.1,Leona,sup,0,1
16.1,Lulu,sup,1,0
16.1,Lux,sup,1,0
16.1,Malphite,jng,0,1
16.1,Naafiri,mid,1,0
16.1,Nidalee,jng,1,0
16.1,Ornn,top,1,0
16.1,Poppy,top,1,0
16.1,Pyke,sup,1,0
16.1,Rek'Sai,jng,1,0
16.1,Rell,sup,1,0
16.1,Renekton,top,0,1
16.1,Rumble,top,1,0
16.1,Sejuani,jng,1,0
16.1,Seraphine,mid,1,0
16.1,Sylas,top,1,0
16.1,Thresh,sup,1,0
16.1,Trundle,top,1,0
16.1,Trundle,jng,1,0
16.1,Varus,bot,1,0
16.1,Yorick,top,0,1
16.1,Zaahen,jng,1,0
16.1,Zeri,bot,1,0
