patch,champ,role,picks_by,bans_vs
16.01,Akali,mid,1,0
16.01,Alistar,sup,0,1
16.01,Jayce,jng,1,0
16.01,K'Sante,top,1,0
16.01,Malphite,jng,0,1
16.01,Nautilus,sup,1,0
16.01,Poppy,sup,0,1
16.01,Ryze,mid,0,1
16.01,Sion,top,0,1
16.01,Yunara,bot,1,0
16.02,Azir,mid,0,2
16.02,Corki,bot,1,1
16.02,Ryze,mid,1,1
16.02,Wukong,jng,2,0
16.02,Akali,mid,0,1
16.02,Ambessa,top,1,0
16.02,Gnar,top,0,1
16.02,Jayce,top,0,1
16.02,LeBlanc,mid,0,1
16.02,Nautilus,sup,1,0
16.02,Poppy,sup,0,1
16.02,Renata Glasc,sup,1,0
16.02,Rumble,top,0,1
16.02,Sion,top,1,0
16.02,Sylas,mid,1,0
16.02,Varus,bot,1,0
16.07,Rumble,top,2,3
16.07,Varus,bot,2,3
16.07,Orianna,mid,0,4
16.07,Wukong,jng,3,1
16.07,Akali,mid,1,2
16.07,Ryze,mid,0,3
16.07,Anivia,mid,1,1
16.07,Azir,mid,0,2
16.07,Lulu,sup,1,1
16.07,Mel,mid,1,1
16.07,Seraphine,sup,1,1
16.07,Vi,jng,1,1
16.07,Xin Zhao,jng,2,0
16.07,Aatrox,jng,0,1
16.07,Ahri,mid,1,0
16.07,Ambessa,top,0,1
16.07,Ashe,bot,0,1
16.07,Bard,sup,1,0
16.07,Cassiopeia,mid,1,0
16.07,Corki,bot,1,0
16.07,Ezreal,bot,1,0
16.07,Gnar,top,1,0
16.07,K'Sante,top,1,0
16.07,Kai'Sa,bot,1,0
16.07,Karma,sup,0,1
16.07,LeBlanc,mid,0,1
16.07,Nami,sup,1,0
16.07,Nautilus,sup,1,0
16.07,Neeko,sup,1,0
16.07,Nocturne,jng,0,1
16.07,Pantheon,jng,0,1
16.07,Sion,top,1,0
16.07,Taliyah,mid,1,0
16.07,Varus,top,1,0
16.07,Yunara,bot,1,0
16.08,Varus,bot,0,3
16.08,Ahri,mid,0,2
16.08,Anivia,mid,1,1
16.08,Ezreal,bot,2,0
16.08,Gnar,top,2,0
16.08,Jarvan IV,jng,1,1
16.08,Yunara,bot,1,1
16.08,Akali,mid,1,0
16.08,Ashe,bot,0,1
16.08,Azir,mid,1,0
16.08,Bard,sup,1,0
16.08,Corki,bot,0,1
16.08,K'Sante,top,1,0
16.08,Leona,sup,1,0
16.08,Nautilus,sup,0,1
16.08,Neeko,sup,1,0
16.08,Orianna,mid,0,1
16.08,Pantheon,jng,1,0
16.08,Rumble,top,0,1
16.08,Syndra,mid,0,1
16.08,Vi,jng,0,1
16.08,Xin Zhao,jng,1,0
16.09,Azir,mid,1,2
16.09,Ezreal,bot,1,2
16.09,Varus,bot,1,2
16.09,Ahri,mid,1,1
16.09,Akali,mid,0,2
16.09,Anivia,mid,0,2
16.09,Gnar,top,1,1
16.09,Jarvan IV,jng,0,2
16.09,Nocturne,jng,2,0
16.09,Ryze,mid,0,2
16.09,Ambessa,top,1,0
16.09,Ashe,bot,1,0
16.09,Bard,sup,1,0
16.09,Braum,sup,1,0
16.09,Hwei,mid,1,0
16.09,Jhin,bot,1,0
16.09,Kai'Sa,bot,0,1
16.09,Nami,sup,1,0
16.09,Nautilus,sup,1,0
16.09,Neeko,sup,0,1
16.09,Orianna,mid,0,1
16.09,Rumble,top,1,0
16.09,Sion,top,1,0
16.09,Syndra,mid,0,1
16.09,Vi,jng,1,0
16.09,Xin Zhao,jng,1,0
16.09,Yone,mid,1,0
16.1,Anivia,mid,0,2
16.1,Varus,bot,0,2
16.1,Akali,mid,1,0
16.1,Cassiopeia,mid,1,0
16.1,Ezreal,bot,1,0
16.1,Gnar,top,0,1
16.1,Jarvan IV,jng,1,0
16.1,Karma,sup,1,0
16.1,Kennen,top,0,1
16.1,Nami,sup,1,0
16.1,Nautilus,sup,0,1
16.1,Orianna,mid,0,1
16.1,Ornn,top,1,0
16.1,Rumble,top,1,0
16.1,Senna,bot,1,0
16.1,Sion,top,0,1
16.1,Syndra,mid,0,1
16.1,Wukong,jng,1,0
