patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.04,Alistar,sup,2,0,2,1,0,1
16.04,Lulu,sup,2,0,2,1,0,1
16.04,Rumble,top,2,0,2,2,0,2
16.04,Ryze,mid,2,0,2,1,0,1
16.04,Yunara,bot,2,0,2,1,0,1
16.04,Zaahen,jng,2,0,2,0,0,0
16.04,Ashe,bot,1,0,1,0,0,0
16.04,Aurora,mid,1,0,1,0,0,0
16.04,Corki,bot,1,0,1,1,0,1
16.04,Dr. Mundo,jng,1,0,1,0,0,0
16.04,K'Sante,top,1,0,1,0,0,0
16.04,Orianna,mid,1,0,1,1,0,1
16.04,Rek'Sai,top,1,0,1,0,0,0
16.04,Seraphine,sup,1,0,1,0,0,0
16.04,Sion,top,1,0,1,0,0,0
16.04,Sylas,mid,1,0,1,0,0,0
16.04,Varus,bot,1,0,1,0,0,0
16.04,Vi,jng,1,0,1,1,0,1
16.04,Xin Zhao,jng,1,0,1,1,0,1
16.06,Ambessa,top,1,2,3,1,2,3
16.06,Ashe,bot,2,1,3,2,1,3
16.06,Aurora,mid,1,1,2,1,1,2
16.06,Nocturne,jng,1,1,2,1,1,2
16.06,Pantheon,jng,1,1,2,1,1,2
16.06,Renekton,top,1,1,2,1,1,2
16.06,Yunara,bot,0,2,2,0,2,2
16.06,Ahri,mid,1,0,1,1,0,1
16.06,Alistar,sup,1,0,1,1,0,1
16.06,Annie,mid,1,0,1,1,0,1
16.06,Bard,sup,1,0,1,1,0,1
16.06,Corki,bot,1,0,1,1,0,1
16.06,Ezreal,bot,0,1,1,0,1,1
16.06,Gwen,top,0,1,1,0,1,1
16.06,Jarvan IV,jng,1,0,1,1,0,1
16.06,Karma,sup,0,1,1,0,1,1
16.06,Rumble,top,0,1,1,0,1,1
16.06,Ryze,mid,0,1,1,0,1,1
16.06,Seraphine,sup,1,0,1,1,0,1
16.06,Sivir,bot,0,1,1,0,1,1
16.06,Zaahen,top,1,0,1,1,0,1
16.07,Nocturne,jng,1,2,3,1,2,3
16.07,Akali,mid,1,1,2,1,1,2
16.07,Ambessa,top,1,1,2,1,1,2
16.07,Annie,mid,0,2,2,0,2,2
16.07,Jarvan IV,jng,1,1,2,1,1,2
16.07,Ahri,mid,0,1,1,0,1,1
16.07,Alistar,sup,1,0,1,1,0,1
16.07,Ashe,bot,0,1,1,0,1,1
16.07,Bard,sup,1,0,1,1,0,1
16.07,Ezreal,bot,1,0,1,1,0,1
16.07,Gnar,top,1,0,1,1,0,1
16.07,Jhin,bot,1,0,1,1,0,1
16.07,Karma,sup,1,0,1,1,0,1
16.07,Lulu,sup,0,1,1,0,1,1
16.07,Nami,sup,0,1,1,0,1,1
16.07,Nautilus,sup,0,1,1,0,1,1
16.07,Neeko,mid,1,0,1,1,0,1
16.07,Orianna,mid,0,1,1,0,1,1
16.07,Rumble,top,0,1,1,0,1,1
16.07,Ryze,mid,1,0,1,1,0,1
16.07,Seraphine,sup,0,1,1,0,1,1
16.07,Sion,top,1,0,1,1,0,1
16.07,Varus,bot,1,0,1,1,0,1
16.07,Xin Zhao,jng,1,0,1,1,0,1
16.08,Jarvan IV,jng,1,2,3,1,2,3
16.08,Nocturne,jng,0,3,3,0,3,3
16.08,Seraphine,sup,0,3,3,0,3,3
16.08,Ambessa,top,1,1,2,1,1,2
16.08,Nami,sup,1,1,2,1,1,2
16.08,Aatrox,jng,1,0,1,1,0,1
16.08,Akali,mid,0,1,1,0,1,1
16.08,Aurora,mid,1,0,1,1,0,1
16.08,Bard,sup,1,0,1,1,0,1
16.08,Ezreal,bot,1,0,1,1,0,1
16.08,Kai'Sa,bot,0,1,1,0,1,1
16.08,Karma,sup,0,1,1,0,1,1
16.08,Lucian,bot,1,0,1,1,0,1
16.08,Lulu,sup,1,0,1,1,0,1
16.08,Nautilus,sup,0,1,1,0,1,1
16.08,Orianna,mid,1,0,1,1,0,1
16.08,Pantheon,jng,1,0,1,1,0,1
16.08,Renekton,top,1,0,1,1,0,1
16.08,Rumble,top,1,0,1,1,0,1
16.08,Ryze,mid,1,0,1,1,0,1
16.08,Yorick,top,0,1,1,0,1,1
16.08,Yunara,bot,1,0,1,1,0,1
16.09,Nocturne,jng,0,5,2,0,2,2
16.09,Pantheon,jng,1,3,2,0,2,2
16.09,Rumble,top,1,3,2,1,1,2
16.09,Nautilus,sup,0,3,2,0,0,0
16.09,Ahri,mid,1,1,2,0,1,1
16.09,Akali,mid,0,2,1,0,0,0
16.09,Annie,mid,2,0,2,1,0,1
16.09,Jarvan IV,jng,2,0,2,1,0,1
16.09,Kalista,bot,1,1,2,0,0,0
16.09,Karma,sup,1,1,2,1,0,1
16.09,Neeko,sup,0,2,1,0,1,1
16.09,Orianna,mid,1,1,1,0,0,0
16.09,Rakan,sup,1,1,2,0,0,0
16.09,Aatrox,jng,1,0,1,0,0,0
16.09,Alistar,sup,1,0,1,0,0,0
16.09,Ambessa,top,1,0,1,0,0,0
16.09,Caitlyn,bot,1,0,1,1,0,1
16.09,Ezreal,bot,0,1,1,0,0,0
16.09,Gwen,top,0,1,1,0,0,0
16.09,Jinx,bot,1,0,1,0,0,0
16.09,K'Sante,top,1,0,1,0,0,0
16.09,Kai'Sa,bot,1,0,1,0,0,0
16.09,LeBlanc,mid,1,0,1,1,0,1
16.09,Lucian,bot,1,0,1,1,0,1
16.09,Lulu,sup,1,0,1,0,0,0
