patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.08,Varus,bot,0,7,3,0,3,3
16.08,Syndra,mid,0,6,3,0,3,3
16.08,Xerath,mid,1,5,3,1,2,3
16.08,Karma,sup,2,2,3,2,1,3
16.08,Caitlyn,bot,2,1,3,1,0,1
16.08,Gnar,top,2,1,3,1,1,2
16.08,Xin Zhao,jng,2,1,2,1,1,2
16.08,Ahri,mid,1,1,2,0,0,0
16.08,Cassiopeia,mid,0,2,2,0,0,0
16.08,Ezreal,bot,2,0,2,2,0,2
16.08,Naafiri,jng,1,1,2,1,1,2
16.08,Seraphine,sup,2,0,2,1,0,1
16.08,Shen,top,2,0,2,0,0,0
16.08,Sivir,bot,2,0,2,0,0,0
16.08,Vladimir,mid,1,1,1,0,1,1
16.08,Wukong,jng,1,1,2,0,1,1
16.08,Akali,mid,1,0,1,1,0,1
16.08,Alistar,sup,1,0,1,0,0,0
16.08,Annie,mid,1,0,1,1,0,1
16.08,Galio,mid,0,1,1,0,0,0
16.08,Irelia,mid,1,0,1,0,0,0
16.08,K'Sante,top,0,1,1,0,0,0
16.08,LeBlanc,mid,0,1,1,0,0,0
16.08,Lee Sin,jng,1,0,1,0,0,0
16.08,Lulu,sup,1,0,1,0,0,0
16.08,Morgana,jng,1,0,1,0,0,0
16.08,Neeko,sup,1,0,1,0,0,0
16.08,Poppy,top,1,0,1,0,0,0
16.08,Renekton,top,1,0,1,1,0,1
16.08,Talon,jng,0,1,1,0,1,1
16.08,Viktor,mid,1,0,1,0,0,0
16.08,Yone,mid,0,1,1,0,0,0
16.08,Yorick,top,1,0,1,1,0,1
16.08,Yunara,bot,1,0,1,0,0,0
16.08,Zaahen,jng,1,0,1,1,0,1
16.08,Zed,mid,0,1,1,0,0,0
16.09,Xerath,mid,0,7,3,0,3,3
16.09,Karma,sup,2,4,3,1,2,3
16.09,Syndra,mid,1,4,3,1,2,3
16.09,Naafiri,jng,1,3,2,1,1,2
16.09,Nautilus,sup,3,1,3,2,1,3
16.09,Seraphine,sup,0,4,2,0,1,1
16.09,Talon,jng,1,3,2,0,1,1
16.09,Varus,bot,4,0,4,2,0,2
16.09,Ahri,mid,2,1,2,0,1,1
16.09,Gnar,top,2,1,3,0,1,1
16.09,Rumble,top,1,2,3,0,1,1
16.09,Zyra,jng,2,1,3,0,0,0
16.09,Akali,mid,0,2,2,0,1,1
16.09,Bard,sup,1,1,1,0,1,1
16.09,Cho'Gath,top,2,0,2,1,0,1
16.09,Ezreal,bot,2,0,2,2,0,2
16.09,Lillia,jng,0,2,2,0,0,0
16.09,Lulu,sup,1,1,2,0,0,0
16.09,Malphite,jng,0,2,2,0,1,1
16.09,Vi,jng,0,2,2,0,0,0
16.09,Vladimir,mid,1,1,1,0,0,0
16.09,Wukong,jng,1,1,2,1,0,1
16.09,Xin Zhao,jng,2,0,2,2,0,2
16.09,Yunara,bot,2,0,2,0,0,0
16.09,Zed,mid,2,0,2,1,0,1
16.09,Alistar,sup,0,1,1,0,0,0
16.09,Ambessa,top,0,1,1,0,1,1
16.09,Blitzcrank,sup,1,0,1,0,0,0
16.09,Caitlyn,bot,1,0,1,0,0,0
16.09,Cassiopeia,mid,1,0,1,1,0,1
16.09,Dr. Mundo,jng,1,0,1,0,0,0
16.09,Gangplank,top,1,0,1,1,0,1
16.09,Gragas,top,0,1,1,0,1,1
16.09,Jarvan IV,jng,1,0,1,0,0,0
16.09,Kai'Sa,bot,1,0,1,0,0,0
16.09,Malphite,top,1,0,1,0,0,0
16.09,Mel,mid,1,0,1,0,0,0
16.09,Nami,sup,1,0,1,1,0,1
16.09,Neeko,sup,1,0,1,0,0,0
16.09,Orianna,mid,0,1,1,0,0,0
16.09,Qiyana,jng,1,0,1,0,0,0
16.09,Sylas,mid,0,1,1,0,0,0
16.09,Sylas,top,1,0,1,1,0,1
16.09,Taliyah,mid,0,1,1,0,0,0
16.09,Twisted Fate,top,1,0,1,0,0,0
16.09,Viktor,mid,1,0,1,1,0,1
16.09,Volibear,top,1,0,1,1,0,1
16.09,Yone,mid,1,0,1,0,0,0
16.09,Yorick,top,0,1,1,0,1,1
