patch,champ,role,picks_by,bans_vs
16.01,Alistar,sup,3,0
16.01,Azir,mid,1,2
16.01,Rumble,top,1,2
16.01,Jayce,top,0,2
16.01,Malphite,jng,0,2
16.01,Orianna,mid,0,2
16.01,Poppy,sup,0,2
16.01,Taliyah,mid,2,0
16.01,Vi,jng,1,1
16.01,Yunara,bot,2,0
16.01,Ambessa,top,1,0
16.01,Corki,bot,1,0
16.01,Jarvan IV,jng,1,0
16.01,Jax,top,0,1
16.01,Renekton,top,1,0
16.01,Sivir,bot,0,1
16.01,Wukong,jng,1,0
16.02,Varus,bot,2,3
16.02,Azir,mid,2,2
16.02,Jarvan IV,jng,1,3
16.02,Jayce,top,0,4
16.02,K'Sante,top,4,0
16.02,Vi,jng,0,4
16.02,Alistar,sup,2,1
16.02,Nautilus,sup,1,2
16.02,Orianna,mid,2,1
16.02,Rumble,top,2,1
16.02,Kai'Sa,bot,1,1
16.02,Pantheon,jng,1,1
16.02,Rakan,sup,1,1
16.02,Wukong,jng,1,1
16.02,Yunara,bot,2,0
16.02,Aatrox,jng,0,1
16.02,Aphelios,bot,1,0
16.02,Braum,sup,1,0
16.02,Jayce,jng,1,0
16.02,Karma,sup,0,1
16.02,Neeko,sup,0,1
16.02,Poppy,sup,0,1
16.02,Poppy,jng,1,0
16.02,Qiyana,jng,0,1
16.02,Ryze,mid,1,0
16.02,Taliyah,mid,1,0
16.02,Thresh,sup,1,0
16.02,Xin Zhao,jng,1,0
16.03,Vi,jng,1,5
16.03,Nautilus,sup,3,2
16.03,Jarvan IV,jng,1,3
16.03,Rumble,top,0,4
16.03,Yunara,bot,2,2
16.03,Alistar,sup,2,1
16.03,Jax,top,2,1
16.03,Neeko,sup,0,3
16.03,Ambessa,top,1,1
16.03,Azir,mid,2,0
16.03,Nocturne,jng,1,1
16.03,Orianna,mid,2,0
16.03,Pantheon,jng,1,1
16.03,Renekton,top,1,1
16.03,Xin Zhao,jng,2,0
16.03,Anivia,mid,1,0
16.03,Corki,bot,1,0
16.03,Ezreal,bot,1,0
16.03,Gnar,top,0,1
16.03,Gwen,top,0,1
16.03,Jayce,top,0,1
16.03,Jhin,bot,1,0
16.03,Kai'Sa,bot,1,0
16.03,Lulu,sup,1,0
16.03,Poppy,sup,0,1
16.03,Rakan,sup,0,1
16.03,Sion,top,1,0
16.03,Taliyah,mid,1,0
16.03,Zaahen,top,1,0
16.06,Vi,jng,1,3
16.06,Azir,mid,0,3
16.06,Karma,sup,1,2
16.06,Orianna,mid,0,3
