patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.03,Jarvan IV,jng,1,7,5,1,4,5
16.03,Syndra,mid,0,7,3,0,3,3
16.03,Varus,bot,1,4,4,1,3,4
16.03,Caitlyn,bot,1,3,3,0,1,1
16.03,Nami,sup,3,1,4,2,0,2
16.03,Rumble,top,2,2,3,2,1,3
16.03,Akali,mid,1,2,2,0,1,1
16.03,Karma,sup,0,3,2,0,2,2
16.03,Orianna,mid,2,1,3,2,1,3
16.03,Ryze,mid,3,0,3,3,0,3
16.03,Ahri,mid,1,1,2,0,1,1
16.03,Ezreal,bot,2,0,2,1,0,1
16.03,Gnar,top,2,0,2,2,0,2
16.03,Kai'Sa,bot,1,1,2,1,0,1
16.03,Kled,top,0,2,1,0,1,1
16.03,Lulu,sup,2,0,2,1,0,1
16.03,Nautilus,sup,1,1,2,1,1,2
16.03,Nocturne,jng,1,1,2,1,1,2
16.03,Pantheon,jng,1,1,1,0,0,0
16.03,Rell,sup,0,2,2,0,2,2
16.03,Sion,top,2,0,2,0,0,0
16.03,Vi,jng,1,1,2,1,1,2
16.03,Xayah,bot,2,0,2,1,0,1
16.03,Xin Zhao,jng,1,1,1,0,1,1
16.03,Ambessa,top,0,1,1,0,0,0
16.03,Braum,sup,1,0,1,0,0,0
16.03,Camille,top,1,0,1,0,0,0
16.03,Jayce,top,1,0,1,0,0,0
16.03,K'Sante,top,1,0,1,1,0,1
16.03,LeBlanc,mid,1,0,1,0,0,0
16.03,Leona,sup,1,0,1,0,0,0
16.03,Lucian,bot,1,0,1,1,0,1
16.03,Malphite,jng,0,1,1,0,0,0
16.03,Miss Fortune,bot,1,0,1,0,0,0
16.03,Naafiri,jng,1,0,1,1,0,1
16.03,Rakan,sup,1,0,1,1,0,1
16.03,Renekton,top,0,1,1,0,0,0
16.03,Tristana,bot,0,1,1,0,1,1
16.03,Trundle,jng,1,0,1,1,0,1
16.03,Viktor,mid,1,0,1,0,0,0
16.03,Wukong,jng,1,0,1,0,0,0
16.03,Zaahen,jng,1,0,1,0,0,0
16.04,Karma,sup,0,5,1,0,1,1
16.04,Rumble,top,0,4,1,0,0,0
16.04,Syndra,mid,0,4,1,0,1,1
16.04,Ahri,mid,1,1,1,0,0,0
16.04,Jarvan IV,jng,1,1,1,0,1,1
16.04,LeBlanc,mid,0,2,1,0,0,0
16.04,Viktor,mid,0,2,1,0,0,0
16.04,Bard,sup,1,0,1,1,0,1
16.04,Braum,sup,0,1,1,0,0,0
16.04,Ezreal,bot,1,0,1,0,0,0
16.04,Gnar,top,1,0,1,1,0,1
16.04,Gragas,top,1,0,1,0,0,0
16.04,Hwei,mid,1,0,1,0,0,0
16.04,Jayce,top,1,0,1,0,0,0
16.04,Kai'Sa,bot,1,0,1,0,0,0
16.04,Kled,top,0,1,1,0,0,0
16.04,Lucian,bot,1,0,1,0,0,0
16.04,Lulu,sup,1,0,1,0,0,0
16.04,Malphite,jng,1,0,1,0,0,0
16.04,Nocturne,jng,0,1,1,0,1,1
16.04,Orianna,mid,1,0,1,1,0,1
16.04,Ornn,top,0,1,1,0,0,0
16.04,Pantheon,jng,1,0,1,0,0,0
16.04,Rakan,sup,1,0,1,0,0,0
16.04,Renekton,top,1,0,1,0,0,0
16.04,Sion,top,1,0,1,0,0,0
16.04,Sona,sup,1,0,1,0,0,0
16.04,Varus,bot,1,0,1,1,0,1
16.04,Vex,mid,1,0,1,0,0,0
16.04,Vi,jng,0,1,1,0,1,1
