patch,champ,role,picks_by,bans_vs,series_presence
16.01,Braum,sup,1,0,1
16.01,Dr. Mundo,jng,0,1,1
16.01,Jayce,top,0,1,1
16.01,Karma,sup,0,1,1
16.01,Renekton,top,1,0,1
16.01,Rengar,jng,0,1,1
16.01,Rumble,top,0,1,1
16.01,Ryze,mid,1,0,1
16.01,Vi,jng,1,0,1
16.01,Yunara,bot,1,0,1
16.02,Azir,mid,1,3,4
16.02,Bard,sup,2,1,3
16.02,Jarvan IV,jng,2,1,3
16.02,Ryze,mid,1,2,3
16.02,Varus,bot,1,2,3
16.02,Yunara,bot,2,1,3
16.02,Dr. Mundo,jng,0,2,2
16.02,Orianna,mid,1,1,2
16.02,Sion,top,1,1,2
16.02,Xin Zhao,jng,1,1,2
16.02,Aatrox,jng,1,0,1
16.02,Alistar,sup,0,1,1
16.02,Ambessa,top,1,0,1
16.02,Draven,bot,0,1,1
16.02,Galio,mid,0,1,1
16.02,Jayce,top,1,0,1
16.02,Poppy,sup,1,0,1
16.02,Rakan,sup,1,0,1
16.02,Rengar,jng,0,1,1
16.02,Rumble,top,1,0,1
16.02,Syndra,mid,1,0,1
16.02,Vi,jng,0,1,1
16.02,Xayah,bot,1,0,1
16.03,Dr. Mundo,jng,1,7,8
16.03,Ryze,mid,3,5,8
16.03,Azir,mid,1,6,7
16.03,Bard,sup,2,5,7
16.03,Alistar,sup,3,2,5
16.03,Jhin,bot,5,0,5
16.03,Jarvan IV,jng,1,3,4
16.03,Sion,top,4,0,4
16.03,Orianna,mid,3,0,3
16.03,Varus,bot,1,2,3
16.03,Ezreal,bot,2,0,2
16.03,Nautilus,sup,1,1,2
16.03,Renekton,top,1,1,2
16.03,Sylas,jng,2,0,2
16.03,Vi,jng,1,1,2
16.03,Yunara,bot,0,2,2
16.03,Ambessa,top,1,0,1
16.03,Braum,sup,0,1,1
16.03,Darius,top,1,0,1
16.03,Karma,sup,1,0,1
16.03,Malphite,jng,0,1,1
16.03,Neeko,sup,0,1,1
16.03,Nocturne,jng,0,1,1
16.03,Ornn,top,1,0,1
16.03,Qiyana,jng,1,0,1
16.03,Rakan,sup,1,0,1
16.03,Taliyah,mid,1,0,1
16.03,Xin Zhao,jng,1,0,1
16.03,Zaahen,jng,1,0,1
16.03,Zaahen,top,0,1,1
16.04,Dr. Mundo,jng,0,12,3
16.04,Azir,mid,1,5,2
16.04,Orianna,mid,2,4,3
16.04,Bard,sup,2,2,3
16.04,Darius,top,0,4,2
16.04,Aatrox,jng,3,0,3
16.04,Alistar,sup,0,3,1
16.04,Ambessa,top,1,2,2
16.04,Corki,bot,2,1,2
16.04,Ezreal,bot,3,0,3
16.04,K'Sante,top,2,1,2
16.04,Karma,sup,2,1,2
16.04,Nami,sup,2,1,2
16.04,Nautilus,sup,1,2,2
16.04,Renekton,top,2,1,3
16.04,Ryze,mid,2,1,3
16.04,Sion,top,1,2,2
16.04,Varus,bot,3,0,3
16.04,Ahri,mid,2,0,2
16.04,Gnar,top,2,0,2
16.04,Gwen,top,0,2,1
16.04,Jarvan IV,jng,1,1,2
16.04,Leona,sup,0,2,2
16.04,Neeko,sup,1,1,2
16.04,Olaf,top,1,1,2
16.04,Pantheon,jng,0,2,1
16.04,Rakan,sup,2,0,2
16.04,Rengar,jng,1,1,2
16.04,Wukong,jng,1,1,2
16.04,Xin Zhao,jng,2,0,2
16.04,Yunara,bot,0,2,1
16.04,Aphelios,bot,1,0,1
16.04,Aurora,top,1,0,1
16.04,Aurora,mid,1,0,1
16.04,Braum,sup,0,1,1
16.04,Caitlyn,bot,0,1,1
16.04,Camille,top,1,0,1
16.04,Cassiopeia,mid,0,1,1
16.04,Cho'Gath,jng,1,0,1
16.04,Galio,mid,1,0,1
16.04,Jayce,top,1,0,1
16.04,Kalista,bot,1,0,1
16.04,LeBlanc,mid,1,0,1
16.04,Lucian,bot,1,0,1
16.04,Lulu,sup,1,0,1
16.04,Mel,mid,1,0,1
16.04,Naafiri,jng,0,1,1
16.04,Nocturne,jng,1,0,1
16.04,Skarner,jng,1,0,1
16.04,Sylas,mid,0,1,1
16.04,Thresh,sup,1,0,1
16.04,Vi,jng,1,0,1
16.04,Viktor,mid,1,0,1
16.04,Zeri,bot,1,0,1
16.05,Azir,mid,1,4,3
16.05,Dr. Mundo,jng,1,4,3
16.05,Ryze,mid,2,3,3
16.05,Orianna,mid,0,4,3
16.05,Bard,sup,1,2,3
16.05,Rumble,top,3,0,3
16.05,Varus,bot,3,0,3
16.05,Alistar,sup,1,1,2
16.05,Corki,bot,2,0,2
16.05,Gnar,top,1,1,2
16.05,Jarvan IV,jng,1,1,2
16.05,Jayce,top,1,1,2
16.05,Nami,sup,2,0,2
16.05,Nautilus,sup,1,1,2
16.05,Pantheon,jng,2,0,2
16.05,Rengar,jng,0,2,1
16.05,Wukong,jng,1,1,2
16.05,Aatrox,jng,0,1,1
16.05,Ahri,mid,0,1,1
16.05,Anivia,mid,1,0,1
16.05,Ashe,bot,1,0,1
16.05,Aurora,mid,1,0,1
16.05,Jhin,bot,0,1,1
16.05,LeBlanc,mid,0,1,1
16.05,Neeko,sup,0,1,1
16.05,Seraphine,sup,1,0,1
16.05,Taliyah,mid,1,0,1
16.05,Volibear,top,1,0,1
16.05,Xin Zhao,jng,1,0,1
16.06,Dr. Mundo,jng,0,6,3
16.06,Varus,bot,1,4,3
16.06,Orianna,mid,0,4,3
16.06,Azir,mid,0,3,2
16.06,Jarvan IV,jng,2,1,3
16.06,LeBlanc,mid,2,1,3
16.06,Anivia,mid,1,1,2
16.06,Ashe,bot,2,0,2
16.06,Aurora,mid,1,1,2
16.06,Corki,bot,2,0,2
16.06,Karma,sup,1,1,2
16.06,Pantheon,jng,2,0,2
16.06,Ryze,mid,1,1,1
16.06,Sion,top,2,0,2
16.06,Volibear,top,2,0,2
16.06,Aatrox,jng,1,0,1
16.06,Bard,sup,1,0,1
16.06,Ezreal,bot,1,0,1
16.06,Garen,top,1,0,1
16.06,K'Sante,top,1,0,1
16.06,Mel,mid,0,1,1
16.06,Nami,sup,1,0,1
16.06,Nautilus,sup,1,0,1
16.06,Neeko,sup,1,0,1
16.06,Ornn,top,0,1,1
16.06,Pyke,sup,0,1,1
16.06,Renekton,top,0,1,1
16.06,Rengar,jng,1,0,1
16.06,Seraphine,sup,1,0,1
16.06,Sivir,bot,0,1,1
16.06,Sylas,mid,1,0,1
16.06,Xayah,bot,0,1,1
16.06,Xin Zhao,jng,0,1,1
16.07,Dr. Mundo,jng,0,3,1
16.07,Ezreal,bot,1,1,1
16.07,Jayce,top,0,2,1
16.07,Orianna,mid,0,2,1
16.07,Pantheon,jng,1,1,1
16.07,Xin Zhao,jng,1,1,1
16.07,Ahri,mid,1,0,1
16.07,Azir,mid,1,0,1
16.07,Hwei,mid,1,0,1
16.07,Jax,top,1,0,1
16.07,K'Sante,top,0,1,1
16.07,LeBlanc,mid,0,1,1
16.07,Lulu,sup,1,0,1
16.07,Nautilus,sup,0,1,1
16.07,Neeko,sup,0,1,1
16.07,Pyke,sup,0,1,1
16.07,Rakan,sup,1,0,1
16.07,Renekton,top,1,0,1
16.07,Seraphine,sup,1,0,1
16.07,Sivir,bot,1,0,1
16.07,Skarner,jng,1,0,1
16.07,Yasuo,top,1,0,1
16.07,Yunara,bot,1,0,1
