patch,champ,role,picks_by,bans_vs
16.01,Varus,bot,2,1
16.01,Alistar,sup,2,0
16.01,Ambessa,top,0,2
16.01,Gwen,top,0,2
16.01,Jayce,top,0,2
16.01,Rumble,top,0,2
16.01,Syndra,mid,1,1
16.01,Akali,mid,1,0
16.01,Ambessa,jng,1,0
16.01,Bard,sup,0,1
16.01,Cassiopeia,mid,0,1
16.01,Gnar,top,0,1
16.01,Jax,top,1,0
16.01,Jayce,jng,1,0
16.01,K'Sante,top,1,0
16.01,Orianna,mid,0,1
16.01,Poppy,sup,0,1
16.01,Rakan,sup,1,0
16.01,Viktor,mid,1,0
16.01,Wukong,jng,1,0
16.01,Yunara,bot,1,0
16.01,Zaahen,top,1,0
16.02,Ambessa,top,1,2
16.02,Neeko,sup,0,3
16.02,Orianna,mid,0,3
16.02,Jayce,top,0,2
16.02,K'Sante,top,2,0
16.02,Leona,sup,1,1
16.02,Malphite,jng,0,2
16.02,Pantheon,jng,1,1
16.02,Syndra,mid,1,1
16.02,Varus,bot,0,2
16.02,Yunara,bot,2,0
16.02,Akali,mid,1,0
16.02,Alistar,sup,1,0
16.02,Anivia,mid,1,0
16.02,Aphelios,bot,0,1
16.02,Corki,bot,1,0
16.02,Ezreal,bot,1,0
16.02,Jarvan IV,jng,1,0
16.02,Lulu,sup,1,0
16.02,Miss Fortune,bot,0,1
16.02,Rakan,sup,0,1
16.02,Rell,sup,1,0
16.02,Rumble,top,1,0
16.02,Ryze,mid,1,0
16.02,Wukong,jng,1,0
16.02,Xin Zhao,jng,1,0
16.03,Jarvan IV,jng,1,3
16.03,Varus,bot,0,4
16.03,Akali,mid,1,2
16.03,Jayce,top,0,3
16.03,Lulu,sup,2,1
16.03,Malphite,jng,0,3
16.03,Orianna,mid,1,2
16.03,Pantheon,jng,3,0
16.03,Ryze,mid,1,2
16.03,Syndra,mid,1,2
16.03,Yunara,bot,3,0
16.03,Ambessa,top,0,2
16.03,Ashe,bot,2,0
16.03,Jax,top,2,0
16.03,K'Sante,top,1,1
16.03,Rumble,top,2,0
16.03,Seraphine,sup,2,0
16.03,Wukong,jng,2,0
16.03,Aatrox,jng,1,0
16.03,Ahri,mid,1,0
16.03,Alistar,sup,1,0
16.03,Anivia,mid,1,0
16.03,Aphelios,bot,0,1
16.03,Azir,mid,0,1
16.03,Braum,sup,0,1
16.03,Corki,bot,1,0
16.03,Ezreal,bot,0,1
16.03,Gwen,top,1,0
16.03,Kai'Sa,bot,0,1
16.03,Miss Fortune,bot,0,1
16.03,Nami,sup,1,0
16.03,Ornn,top,1,0
16.03,Senna,sup,1,0
16.03,Sion,top,0,1
16.03,Sion,bot,1,0
16.03,Sivir,bot,0,1
16.03,Taliyah,mid,1,0
16.03,Viktor,mid,0,1
16.03,Xayah,bot,0,1
16.04,Ashe,bot,3,10
16.04,Pantheon,jng,1,9
16.04,Akali,mid,3,4
16.04,Syndra,mid,2,5
16.04,Renekton,top,1,5
16.04,Varus,bot,0,6
16.04,Yunara,bot,2,4
16.04,K'Sante,top,2,3
16.04,Nami,sup,3,1
16.04,Orianna,mid,1,3
16.04,Ahri,mid,3,0
16.04,Annie,mid,1,2
16.04,Corki,bot,3,0
16.04,Jarvan IV,jng,1,2
16.04,Jax,top,1,2
16.04,Lulu,sup,1,2
16.04,Miss Fortune,bot,2,1
16.04,Ornn,top,2,1
16.04,Rakan,sup,3,0
16.04,Ryze,mid,1,2
16.04,Seraphine,sup,3,0
16.04,Sion,top,3,0
16.04,Xin Zhao,jng,3,0
16.04,Aatrox,jng,1,1
16.04,Aurora,mid,1,1
16.04,Gwen,top,1,1
16.04,Jayce,jng,2,0
16.04,Kai'Sa,bot,2,0
16.04,Malphite,jng,1,1
16.04,Neeko,sup,2,0
16.04,Senna,bot,0,2
16.04,Skarner,jng,2,0
16.04,Sylas,mid,0,2
16.04,Volibear,top,2,0
16.04,Wukong,jng,2,0
16.04,Alistar,sup,1,0
16.04,Ambessa,top,1,0
16.04,Anivia,mid,1,0
16.04,Camille,top,1,0
16.04,Cassiopeia,mid,1,0
16.04,Galio,mid,1,0
16.04,Jhin,bot,0,1
16.04,LeBlanc,mid,0,1
16.04,Leona,sup,1,0
16.04,Lucian,bot,1,0
16.04,Milio,sup,1,0
16.04,Naafiri,jng,1,0
16.04,Nautilus,sup,0,1
16.04,Nocturne,jng,0,1
16.04,Rell,sup,0,1
16.04,Rumble,top,1,0
16.04,Sejuani,jng,1,0
16.04,Senna,sup,1,0
16.04,Sion,bot,1,0
16.04,Sivir,bot,0,1
16.04,Trundle,jng,0,1
16.04,Twisted Fate,mid,1,0
16.04,Viktor,mid,0,1
16.04,Xayah,bot,1,0
16.04,Yasuo,bot,1,0
16.04,Yasuo,mid,0,1
16.04,Yone,mid,0,1
16.04,Zaahen,top,1,0
16.04,Zaahen,jng,1,0
16.06,Karma,sup,0,3
16.06,Seraphine,sup,0,3
16.06,Orianna,mid,0,2
16.06,Xin Zhao,jng,1,1
16.06,Akali,mid,0,1
16.06,Ambessa,top,1,0
16.06,Anivia,mid,0,1
16.06,Caitlyn,bot,1,0
16.06,Gnar,jng,1,0
16.06,Jhin,bot,1,0
16.06,K'Sante,top,1,0
16.06,LeBlanc,mid,1,0
16.06,Lulu,sup,1,0
16.06,Lux,sup,0,1
16.06,Milio,sup,1,0
16.06,Nautilus,sup,0,1
16.06,Pantheon,jng,0,1
16.06,Rakan,sup,1,0
16.06,Ryze,mid,1,0
16.06,Sion,top,1,0
16.06,Skarner,jng,1,0
16.06,Varus,bot,1,0
16.06,Viktor,mid,1,0
16.06,Volibear,top,0,1
16.07,Ashe,bot,1,5
16.07,Karma,sup,0,5
16.07,Akali,mid,1,3
16.07,Orianna,mid,0,4
16.07,Ambessa,top,3,0
16.07,Jarvan IV,jng,1,2
16.07,Nami,sup,2,1
16.07,Neeko,sup,1,2
16.07,Skarner,jng,1,2
16.07,Aatrox,jng,1,1
16.07,Anivia,sup,2,0
16.07,Caitlyn,bot,2,0
16.07,Ezreal,bot,2,0
16.07,Gnar,top,1,1
16.07,Ornn,top,1,1
16.07,Pantheon,jng,2,0
16.07,Ryze,mid,1,1
16.07,Seraphine,sup,2,0
16.07,Twisted Fate,mid,1,1
16.07,Viktor,mid,2,0
16.07,Annie,mid,1,0
16.07,Corki,bot,1,0
16.07,Galio,mid,1,0
16.07,Gwen,top,0,1
16.07,K'Sante,top,1,0
16.07,Malphite,jng,0,1
16.07,Miss Fortune,bot,1,0
16.07,Nautilus,sup,0,1
16.07,Sion,top,0,1
16.07,Varus,bot,0,1
16.07,Volibear,top,1,0
16.07,Xin Zhao,jng,1,0
16.07,Yasuo,mid,0,1
16.07,Zaahen,jng,1,0
16.08,Jarvan IV,jng,1,3
16.08,Xin Zhao,jng,2,2
16.08,Akali,mid,1,2
16.08,Karma,sup,0,3
16.08,Seraphine,sup,1,2
16.08,Skarner,jng,0,3
16.08,Annie,mid,0,2
16.08,K'Sante,top,2,0
16.08,Lucian,bot,2,0
16.08,Nami,sup,2,0
16.08,Pantheon,jng,0,2
16.08,Aatrox,jng,1,0
16.08,Ahri,mid,0,1
16.08,Ambessa,top,1,0
16.08,Anivia,mid,1,0
16.08,Ashe,bot,1,0
16.08,Corki,bot,1,0
16.08,Ezreal,bot,1,0
16.08,Galio,mid,1,0
16.08,Gnar,top,0,1
16.08,Lee Sin,jng,1,0
16.08,Milio,sup,1,0
16.08,Nocturne,jng,0,1
16.08,Olaf,top,0,1
16.08,Ryze,mid,1,0
16.08,Sion,top,1,0
16.08,Viktor,mid,1,0
16.08,Volibear,top,1,0
16.08,Yasuo,mid,0,1
16.08,Yuumi,sup,1,0
16.08,Zaahen,top,0,1
16.09,Ezreal,bot,0,3
16.09,Karma,sup,0,3
16.09,Seraphine,sup,0,3
16.09,Pantheon,jng,1,1
16.09,Sion,top,1,1
16.09,Annie,mid,1,0
16.09,Caitlyn,bot,1,0
16.09,Gnar,top,1,0
16.09,K'Sante,top,1,0
16.09,Lucian,bot,0,1
16.09,Lulu,sup,1,0
16.09,Milio,sup,1,0
16.09,Orianna,mid,1,0
16.09,Skarner,jng,0,1
16.09,Twisted Fate,mid,1,0
16.09,Viktor,mid,0,1
16.09,Xin Zhao,jng,1,0
16.09,Yorick,top,0,1
16.09,Yunara,bot,1,0
16.09,Yuumi,sup,1,0
16.09,Zaahen,jng,1,0
16.09,Zeri,bot,1,0
16.10,Jarvan IV,jng,0,4
16.10,Milio,sup,1,3
16.10,Pantheon,jng,0,4
16.10,Xin Zhao,jng,1,2
16.10,Aatrox,jng,0,2
16.10,Ambessa,top,2,0
16.10,Bard,sup,2,0
16.10,Ezreal,bot,2,0
16.10,Gnar,top,0,2
16.10,Lulu,sup,2,0
16.10,Ornn,top,2,0
16.10,Sion,top,2,0
16.10,Varus,bot,0,2
16.10,Zaahen,top,0,2
16.10,Akali,mid,0,1
16.10,Annie,mid,1,0
16.10,Ashe,bot,1,0
16.10,Caitlyn,bot,0,1
16.10,Cassiopeia,mid,1,0
16.10,Galio,mid,1,0
16.10,Gwen,top,0,1
16.10,Jayce,top,0,1
16.10,Karma,sup,0,1
16.10,Lee Sin,jng,1,0
16.10,Lucian,bot,1,0
16.10,Nami,sup,0,1
16.10,Olaf,jng,1,0
16.10,Olaf,top,0,1
16.10,Orianna,mid,1,0
16.10,Rakan,sup,1,0
16.10,Rek'Sai,jng,1,0
16.10,Ryze,mid,1,0
16.10,Seraphine,sup,0,1
16.10,Skarner,jng,1,0
16.10,Trundle,jng,1,0
16.10,Twisted Fate,mid,1,0
16.10,Vayne,top,0,1
16.10,Xayah,bot,1,0
16.10,Yunara,bot,1,0
