patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Azir,mid,1,2,3,1,2,3
16.01,Dr. Mundo,jng,0,3,3,0,3,3
16.01,K'Sante,top,2,0,2,2,0,2
16.01,Malphite,jng,0,2,2,0,2,2
16.01,Nautilus,sup,1,1,2,1,1,2
16.01,Alistar,sup,1,0,1,1,0,1
16.01,Anivia,mid,1,0,1,1,0,1
16.01,Bard,sup,0,1,1,0,1,1
16.01,Braum,sup,0,1,1,0,1,1
16.01,Corki,bot,1,0,1,1,0,1
16.01,Ezreal,bot,1,0,1,1,0,1
16.01,Gnar,top,1,0,1,1,0,1
16.01,Jayce,jng,1,0,1,1,0,1
16.01,Kled,top,0,1,1,0,1,1
16.01,Nami,sup,0,1,1,0,1,1
16.01,Orianna,mid,1,0,1,1,0,1
16.01,Poppy,sup,0,1,1,0,1,1
16.01,Rell,sup,1,0,1,1,0,1
16.01,Ryze,mid,0,1,1,0,1,1
16.01,Varus,bot,0,1,1,0,1,1
16.01,Wukong,jng,1,0,1,1,0,1
16.01,Xin Zhao,jng,1,0,1,1,0,1
16.01,Yunara,bot,1,0,1,1,0,1
16.02,Jayce,top,0,5,5,0,5,5
16.02,Varus,bot,1,4,5,1,4,5
16.02,Azir,mid,2,1,3,2,1,3
16.02,Jarvan IV,jng,1,2,3,1,2,3
16.02,Orianna,mid,1,2,3,1,2,3
16.02,Rakan,sup,2,1,3,2,1,3
16.02,Xin Zhao,jng,3,0,3,3,0,3
16.02,Aatrox,jng,2,0,2,2,0,2
16.02,Alistar,sup,2,0,2,2,0,2
16.02,Aphelios,bot,2,0,2,2,0,2
16.02,K'Sante,top,2,0,2,2,0,2
16.02,Poppy,sup,0,2,2,0,2,2
16.02,Rumble,top,2,0,2,2,0,2
16.02,Sivir,bot,1,1,2,1,1,2
16.02,Anivia,mid,0,1,1,0,1,1
16.02,Bard,sup,0,1,1,0,1,1
16.02,Caitlyn,bot,0,1,1,0,1,1
16.02,Corki,bot,1,0,1,1,0,1
16.02,Dr. Mundo,jng,0,1,1,0,1,1
16.02,Ezreal,bot,0,1,1,0,1,1
16.02,Galio,mid,1,0,1,1,0,1
16.02,Gnar,top,0,1,1,0,1,1
16.02,Jax,top,0,1,1,0,1,1
16.02,Kai'Sa,bot,1,0,1,1,0,1
16.02,Lee Sin,top,1,0,1,1,0,1
16.02,Lulu,sup,1,0,1,1,0,1
16.02,Nami,sup,0,1,1,0,1,1
16.02,Nautilus,sup,0,1,1,0,1,1
16.02,Neeko,sup,1,0,1,1,0,1
16.02,Pantheon,jng,0,1,1,0,1,1
16.02,Ryze,mid,1,0,1,1,0,1
16.02,Sion,top,1,0,1,1,0,1
16.02,Taliyah,mid,1,0,1,1,0,1
16.02,Xayah,bot,0,1,1,0,1,1
16.02,Yunara,bot,0,1,1,0,1,1
16.03,Varus,bot,0,8,5,0,4,4
16.03,Neeko,sup,3,4,4,1,2,3
16.03,Renekton,top,2,5,5,1,3,4
16.03,Azir,mid,1,4,4,1,1,2
16.03,Dr. Mundo,jng,1,4,3,0,2,2
16.03,Jarvan IV,jng,2,3,5,0,2,2
16.03,K'Sante,top,2,3,4,0,2,2
16.03,Orianna,mid,4,1,5,3,1,4
16.03,Poppy,sup,0,5,4,0,2,2
16.03,Vi,jng,2,3,4,2,1,3
16.03,Bard,sup,4,0,4,4,0,4
16.03,Caitlyn,bot,2,2,3,2,1,3
16.03,Kai'Sa,bot,3,1,3,1,0,1
16.03,Yunara,bot,2,2,2,0,0,0
16.03,Alistar,sup,0,3,3,0,2,2
16.03,Nautilus,sup,1,2,2,0,1,1
16.03,Pantheon,jng,2,1,3,1,1,2
16.03,Sion,top,1,2,2,1,1,2
16.03,Taliyah,mid,3,0,3,1,0,1
16.03,Xin Zhao,jng,2,1,3,1,0,1
16.03,Aatrox,jng,1,1,2,1,0,1
16.03,Anivia,mid,1,1,2,0,0,0
16.03,Ashe,bot,2,0,2,0,0,0
16.03,Corki,bot,2,0,2,0,0,0
16.03,Ezreal,bot,1,1,2,1,1,2
16.03,Gwen,top,2,0,2,2,0,2
16.03,Nami,sup,1,1,2,0,0,0
16.03,Nocturne,jng,0,2,2,0,0,0
16.03,Rumble,top,2,0,2,0,0,0
16.03,Ryze,mid,2,0,2,1,0,1
16.03,Sivir,bot,2,0,2,2,0,2
16.03,Trundle,jng,1,1,2,0,0,0
16.03,Zaahen,top,0,2,1,0,1,1
16.03,Ahri,mid,1,0,1,0,0,0
16.03,Aphelios,bot,0,1,1,0,0,0
16.03,Braum,sup,0,1,1,0,1,1
16.03,Gnar,top,0,1,1,0,0,0
16.03,Jax,top,0,1,1,0,0,0
16.03,Jhin,bot,0,1,1,0,0,0
16.03,Kennen,top,0,1,1,0,1,1
16.03,Kled,top,1,0,1,0,0,0
16.03,Leona,sup,1,0,1,1,0,1
16.03,Lulu,sup,1,0,1,0,0,0
16.03,Ornn,top,1,0,1,0,0,0
16.03,Poppy,top,1,0,1,1,0,1
16.03,Rakan,sup,0,1,1,0,0,0
16.03,Rell,sup,1,0,1,0,0,0
16.03,Renata Glasc,sup,1,0,1,0,0,0
16.03,Seraphine,sup,1,0,1,0,0,0
16.03,Shen,top,1,0,1,1,0,1
16.03,Skarner,jng,1,0,1,0,0,0
16.03,Sylas,mid,1,0,1,0,0,0
