patch,champ,role,picks_by,bans_vs
16.01,Aphelios,bot,0,1
16.01,Bard,sup,1,0
16.01,Hwei,mid,1,0
16.01,Jarvan IV,jng,1,0
16.01,Jhin,bot,1,0
16.01,Orianna,mid,0,1
16.01,Rumble,top,0,1
16.01,Sion,top,1,0
16.01,Wukong,jng,0,1
16.01,Yunara,bot,0,1
16.02,Aatrox,jng,0,1
16.02,Ambessa,top,0,1
16.02,Jarvan IV,jng,1,0
16.02,K'Sante,top,1,0
16.02,Karma,sup,1,0
16.02,Orianna,mid,0,1
16.02,Renekton,top,0,1
16.02,Rumble,top,0,1
16.02,Ryze,mid,1,0
16.02,Yunara,bot,1,0
16.07,Bard,sup,1,2
16.07,Jarvan IV,jng,1,2
16.07,Karma,sup,0,3
16.07,Ambessa,top,1,1
16.07,Anivia,mid,1,1
16.07,Ezreal,bot,2,0
16.07,Nautilus,sup,1,1
16.07,Orianna,mid,1,1
16.07,Rumble,top,1,1
16.07,Ryze,mid,1,1
16.07,Seraphine,sup,1,1
16.07,Sion,top,1,1
16.07,Ahri,mid,0,1
16.07,Ashe,bot,1,0
16.07,Dr. Mundo,jng,0,1
16.07,Gnar,top,0,1
16.07,Hwei,mid,1,0
16.07,K'Sante,top,1,0
16.07,Lulu,sup,1,0
16.07,Pantheon,jng,0,1
16.07,Qiyana,jng,1,0
16.07,Renekton,top,0,1
16.07,Skarner,jng,1,0
16.07,Yunara,bot,1,0
16.07,Zyra,jng,1,0
16.08,Ryze,mid,2,2
16.08,Bard,sup,1,2
16.08,Nautilus,sup,1,2
16.08,Seraphine,sup,2,1
16.08,Sion,top,1,2
16.08,Ambessa,top,0,2
16.08,Ashe,bot,2,0
16.08,Ezreal,bot,1,1
16.08,Jarvan IV,jng,1,1
16.08,Kha'Zix,jng,1,1
16.08,Pantheon,jng,1,1
16.08,Ahri,mid,0,1
16.08,Gnar,top,1,0
16.08,Hwei,mid,1,0
16.08,K'Sante,top,1,0
16.08,Karma,sup,0,1
16.08,Orianna,mid,0,1
16.08,Rumble,top,1,0
16.08,Skarner,jng,1,0
16.08,Syndra,mid,0,1
16.08,Viktor,mid,1,0
16.08,Xin Zhao,jng,0,1
16.08,Yunara,bot,1,0
16.09,Karma,sup,1,2
16.09,Rumble,top,2,1
16.09,Bard,sup,0,2
16.09,Ezreal,bot,1,1
16.09,Jarvan IV,jng,0,2
16.09,Kai'Sa,bot,1,1
16.09,Nautilus,sup,1,1
16.09,Seraphine,sup,0,2
16.09,Zaahen,jng,2,0
16.09,Ahri,mid,1,0
16.09,Ambessa,top,0,1
16.09,Annie,mid,1,0
16.09,Ashe,bot,0,1
16.09,Gnar,top,0,1
16.09,Gwen,jng,1,0
16.09,Gwen,top,1,0
16.09,Hwei,mid,1,0
16.09,Jhin,bot,1,0
16.09,Leona,sup,1,0
16.09,Lucian,bot,1,0
16.09,Milio,sup,1,0
16.09,Orianna,mid,0,1
16.09,Renekton,top,0,1
16.09,Ryze,mid,0,1
16.09,Sion,mid,1,0
16.09,Sion,top,1,0
16.09,Varus,bot,0,1
16.09,Xin Zhao,jng,1,0
16.09,Yunara,bot,0,1
16.10,Ezreal,bot,1,1
16.10,Jarvan IV,jng,0,2
16.10,Sion,top,1,1
16.10,Bard,sup,1,0
16.10,Caitlyn,bot,1,0
16.10,Gwen,top,0,1
16.10,Hwei,mid,1,0
16.10,Jayce,jng,1,0
16.10,Karma,sup,0,1
16.10,Leona,sup,1,0
16.10,Lux,mid,1,0
16.10,Nautilus,sup,0,1
16.10,Rumble,top,1,0
16.10,Ryze,mid,0,1
16.10,Varus,bot,0,1
16.10,Wukong,jng,0,1
16.10,Xin Zhao,jng,1,0
