patch,champ,role,picks_by,bans_vs,series_presence
16.01,Azir,mid,0,3,2
16.01,Jayce,top,0,3,2
16.01,K'Sante,top,0,3,2
16.01,Yunara,bot,1,2,2
16.01,Aatrox,jng,0,2,1
16.01,Caitlyn,bot,1,1,2
16.01,Kled,top,2,0,2
16.01,Ryze,mid,2,0,2
16.01,Bard,sup,1,0,1
16.01,Ezreal,bot,0,1,1
16.01,Galio,mid,1,0,1
16.01,Karma,sup,1,0,1
16.01,Lee Sin,jng,1,0,1
16.01,Lulu,sup,1,0,1
16.01,Malphite,jng,0,1,1
16.01,Naafiri,jng,1,0,1
16.01,Nautilus,sup,1,0,1
16.01,Orianna,mid,0,1,1
16.01,Sion,top,1,0,1
16.01,Sivir,bot,1,0,1
16.01,Sylas,mid,0,1,1
16.01,Tristana,bot,1,0,1
16.01,Varus,bot,0,1,1
16.01,Viktor,mid,1,0,1
16.01,Wukong,jng,1,0,1
16.01,Xin Zhao,jng,1,0,1
16.01,Zaahen,top,1,0,1
16.01,Zyra,jng,0,1,1
16.02,Varus,bot,0,4,2
16.02,K'Sante,top,1,2,2
16.02,Sion,top,1,2,2
16.02,Lulu,sup,0,2,1
16.02,Naafiri,jng,0,2,1
16.02,Orianna,mid,0,2,2
16.02,Trundle,jng,1,1,1
16.02,Akali,mid,0,1,1
16.02,Alistar,sup,1,0,1
16.02,Aphelios,bot,1,0,1
16.02,Bard,sup,0,1,1
16.02,Corki,bot,1,0,1
16.02,Illaoi,top,0,1,1
16.02,Kled,top,0,1,1
16.02,LeBlanc,mid,1,0,1
16.02,Lee Sin,jng,1,0,1
16.02,Leona,sup,0,1,1
16.02,Nautilus,sup,1,0,1
16.02,Ornn,top,1,0,1
16.02,Rakan,sup,1,0,1
16.02,Rumble,top,1,0,1
16.02,Ryze,mid,1,0,1
16.02,Thresh,sup,1,0,1
16.02,Tristana,bot,1,0,1
16.02,Vi,jng,1,0,1
16.02,Viktor,mid,1,0,1
16.02,Yone,mid,1,0,1
16.02,Yunara,bot,1,0,1
16.02,Zyra,jng,1,0,1
16.03,K'Sante,top,0,6,3
16.03,Azir,mid,3,1,3
16.03,Orianna,mid,0,4,3
16.03,Alistar,sup,2,1,3
16.03,Rumble,top,1,2,2
16.03,Varus,bot,1,2,2
16.03,Yone,mid,1,2,2
16.03,Zaahen,top,1,2,2
16.03,Bard,sup,1,1,2
16.03,Jhin,bot,2,0,2
16.03,Sion,top,2,0,2
16.03,Tristana,bot,1,1,2
16.03,Viktor,mid,1,1,1
16.03,Akali,mid,1,0,1
16.03,Aphelios,bot,1,0,1
16.03,Braum,sup,1,0,1
16.03,Dr. Mundo,jng,0,1,1
16.03,Ezreal,bot,1,0,1
16.03,Jax,top,1,0,1
16.03,Karma,sup,0,1,1
16.03,Kled,top,0,1,1
16.03,Lee Sin,jng,1,0,1
16.03,Mordekaiser,top,1,0,1
16.03,Nautilus,sup,1,0,1
16.03,Nidalee,jng,1,0,1
16.03,Rakan,sup,0,1,1
16.03,Sivir,bot,0,1,1
16.03,Taliyah,mid,0,1,1
16.03,Thresh,sup,1,0,1
16.03,Trundle,jng,0,1,1
16.03,Vi,jng,1,0,1
16.03,Viego,jng,1,0,1
16.03,Wukong,jng,1,0,1
16.03,Xin Zhao,jng,1,0,1
16.06,Caitlyn,bot,0,2,1
16.06,Nautilus,sup,1,1,1
16.06,Xin Zhao,jng,0,2,1
16.06,Akali,mid,0,1,1
16.06,Ambessa,jng,1,0,1
16.06,Azir,mid,0,1,1
16.06,Gnar,top,0,1,1
16.06,Gragas,mid,1,0,1
16.06,Jarvan IV,jng,0,1,1
16.06,Jhin,bot,1,0,1
16.06,K'Sante,top,1,0,1
16.06,Kennen,top,1,0,1
16.06,Lee Sin,jng,1,0,1
16.06,Leona,sup,1,0,1
16.06,Rumble,top,0,1,1
16.06,Taliyah,mid,1,0,1
16.06,Tristana,bot,1,0,1
16.07,Caitlyn,bot,0,4,2
16.07,Gnar,top,0,3,2
16.07,Gwen,top,0,3,2
16.07,Ambessa,top,0,2,1
16.07,Nami,sup,2,0,2
16.07,Nautilus,sup,0,2,2
16.07,Nocturne,jng,2,0,2
16.07,Rakan,sup,2,0,2
16.07,Rumble,top,0,2,2
16.07,Shen,top,2,0,2
16.07,Yunara,bot,2,0,2
16.07,Ahri,mid,1,0,1
16.07,Akali,mid,1,0,1
16.07,Bard,sup,0,1,1
16.07,Cho'Gath,top,1,0,1
16.07,Ezreal,bot,1,0,1
16.07,Karma,sup,0,1,1
16.07,Neeko,sup,0,1,1
16.07,Orianna,mid,0,1,1
16.07,Ornn,top,1,0,1
16.07,Varus,bot,1,0,1
16.07,Veigar,mid,1,0,1
16.07,Vi,jng,1,0,1
16.07,Viktor,mid,1,0,1
16.07,Xin Zhao,jng,1,0,1
16.08,Karma,sup,2,1,2
16.08,Rumble,top,1,2,2
16.08,Caitlyn,bot,2,0,2
16.08,Neeko,sup,0,2,2
16.08,Nocturne,jng,0,2,1
16.08,Orianna,mid,0,2,2
16.08,Ryze,mid,1,1,2
16.08,Seraphine,sup,0,2,1
16.08,Yunara,bot,0,2,1
16.08,Ahri,mid,1,0,1
16.08,Bard,sup,1,0,1
16.08,Galio,mid,0,1,1
16.08,Gnar,top,1,0,1
16.08,Gragas,top,0,1,1
16.08,Hwei,mid,1,0,1
16.08,Jarvan IV,jng,1,0,1
16.08,K'Sante,top,1,0,1
16.08,Kalista,bot,1,0,1
16.08,Kennen,top,0,1,1
16.08,Nautilus,sup,0,1,1
16.08,Ornn,top,1,0,1
16.08,Renata Glasc,sup,1,0,1
16.08,Renekton,top,0,1,1
16.08,Shen,top,0,1,1
16.08,Sylas,mid,1,0,1
16.08,Varus,bot,1,0,1
16.08,Vi,jng,1,0,1
16.08,Wukong,jng,1,0,1
16.08,Xin Zhao,jng,1,0,1
16.09,Nocturne,jng,0,6,2
16.09,Rumble,top,1,5,3
16.09,Shen,top,0,5,2
16.09,Varus,bot,1,4,3
16.09,Yunara,bot,2,2,3
16.09,Akali,mid,0,3,2
16.09,Azir,mid,1,2,2
16.09,Kassadin,mid,1,2,2
16.09,Lucian,bot,1,2,2
16.09,Caitlyn,bot,1,1,2
16.09,Ekko,mid,0,2,1
16.09,Gwen,top,2,0,2
16.09,Jarvan IV,jng,1,1,2
16.09,Nautilus,sup,1,1,2
16.09,Ornn,top,1,1,2
16.09,Xin Zhao,jng,2,0,2
16.09,Aatrox,jng,1,0,1
16.09,Ahri,mid,0,1,1
16.09,Alistar,sup,1,0,1
16.09,Annie,mid,1,0,1
16.09,Bard,sup,1,0,1
16.09,Corki,bot,1,0,1
16.09,Dr. Mundo,jng,1,0,1
16.09,Ezreal,bot,1,0,1
16.09,Gnar,top,1,0,1
16.09,Hwei,mid,1,0,1
16.09,Jinx,bot,1,0,1
16.09,K'Sante,top,0,1,1
16.09,Karma,sup,1,0,1
16.09,Malphite,top,1,0,1
16.09,Milio,sup,0,1,1
16.09,Mordekaiser,top,1,0,1
16.09,Nami,sup,1,0,1
16.09,Neeko,sup,1,0,1
16.09,Orianna,mid,1,0,1
16.09,Rakan,sup,1,0,1
16.09,Renekton,top,1,0,1
16.09,Sylas,mid,1,0,1
16.09,Syndra,mid,1,0,1
16.09,Vi,jng,1,0,1
16.09,Wukong,jng,1,0,1
16.09,Yuumi,sup,1,0,1
16.09,Zaahen,jng,1,0,1
16.09,Zed,mid,1,0,1
