patch,champ,role,picks_vs,bans_vs
16.01,Jayce,top,0,6
16.01,Poppy,sup,0,5
16.01,Nautilus,sup,1,3
16.01,Yunara,bot,3,1
16.01,Ambessa,top,2,1
16.01,Azir,mid,0,3
16.01,K'Sante,top,2,1
16.01,Lulu,sup,2,1
16.01,Malphite,jng,0,3
16.01,Rumble,top,0,3
16.01,Sion,top,2,1
16.01,Vi,jng,2,1
16.01,Alistar,sup,2,0
16.01,Bard,sup,1,1
16.01,Cassiopeia,mid,1,1
16.01,Ezreal,bot,2,0
16.01,Jarvan IV,jng,2,0
16.01,Orianna,mid,2,0
16.01,Renekton,top,1,1
16.01,Ryze,mid,2,0
16.01,Xin Zhao,jng,1,1
16.01,Akali,mid,1,0
16.01,Aurora,mid,0,1
16.01,Blitzcrank,sup,0,1
16.01,Corki,bot,1,0
16.01,Gwen,top,0,1
16.01,Jhin,bot,1,0
16.01,Kennen,top,1,0
16.01,Leona,sup,1,0
16.01,Lucian,bot,0,1
16.01,Nami,sup,1,0
16.01,Neeko,sup,0,1
16.01,Pantheon,jng,1,0
16.01,Qiyana,jng,1,0
16.01,Rakan,sup,0,1
16.01,Syndra,mid,1,0
16.01,Taliyah,mid,1,0
16.01,Varus,bot,0,1
16.01,Wukong,jng,1,0
16.01,Ziggs,bot,1,0
16.02,Ambessa,top,0,2
16.02,Ezreal,bot,0,2
16.02,Orianna,mid,1,1
16.02,Ryze,mid,1,1
16.02,Akali,mid,0,1
16.02,Alistar,sup,1,0
16.02,Azir,mid,1,0
16.02,Corki,bot,1,0
16.02,Jarvan IV,jng,1,0
16.02,Jayce,top,0,1
16.02,K'Sante,top,1,0
16.02,Lucian,bot,0,1
16.02,Lulu,sup,0,1
16.02,Malphite,jng,0,1
16.02,Miss Fortune,bot,1,0
16.02,Rakan,sup,1,0
16.02,Rell,sup,1,0
16.02,Renekton,top,1,0
16.02,Rumble,top,1,0
16.02,Sion,top,0,1
16.02,Sivir,bot,1,0
16.02,Taliyah,mid,0,1
16.02,Trundle,jng,1,0
16.02,Varus,bot,0,1
16.02,Wukong,jng,0,1
16.02,Xin Zhao,jng,1,0
16.03,Nautilus,sup,0,6
16.03,Orianna,mid,1,5
16.03,Varus,bot,1,4
16.03,Aurora,mid,0,4
16.03,Dr. Mundo,jng,3,1
16.03,Gwen,top,2,2
16.03,Jarvan IV,jng,2,2
16.03,Rumble,top,0,4
16.03,Anivia,mid,1,2
16.03,Azir,mid,3,0
16.03,Ezreal,bot,2,1
16.03,Jax,top,1,2
16.03,Sion,top,3,0
16.03,Vi,jng,0,3
16.03,Ahri,mid,1,1
16.03,Aphelios,bot,2,0
16.03,Blitzcrank,sup,0,2
16.03,Gnar,top,1,1
16.03,Jhin,bot,1,1
16.03,Lucian,bot,2,0
16.03,Nocturne,jng,1,1
16.03,Ornn,top,2,0
16.03,Pantheon,jng,2,0
16.03,Renekton,top,1,1
16.03,Sivir,bot,0,2
16.03,Thresh,sup,2,0
16.03,Wukong,jng,1,1
16.03,Xin Zhao,jng,1,1
16.03,Yone,mid,0,2
16.03,Aatrox,jng,1,0
16.03,Ambessa,top,1,0
16.03,Ashe,bot,1,0
16.03,Bard,sup,0,1
16.03,Cassiopeia,mid,1,0
16.03,Corki,bot,0,1
16.03,Jayce,top,0,1
16.03,Kalista,bot,1,0
16.03,Karma,sup,1,0
16.03,Leona,sup,0,1
16.03,Lulu,sup,1,0
16.03,Malzahar,mid,1,0
16.03,Milio,sup,1,0
16.03,Nami,sup,1,0
16.03,Poppy,sup,1,0
16.03,Rakan,sup,1,0
16.03,Rek'Sai,top,0,1
16.03,Renata Glasc,sup,1,0
16.03,Ryze,mid,0,1
16.03,Seraphine,sup,1,0
16.03,Syndra,mid,1,0
16.03,Taliyah,mid,1,0
16.03,Twisted Fate,mid,1,0
16.03,Yunara,bot,1,0
16.03,Yuumi,sup,1,0
16.05,Ryze,mid,0,7
16.05,Varus,bot,1,5
16.05,Nautilus,sup,2,2
16.05,Orianna,mid,0,4
16.05,Rumble,top,0,4
16.05,Lulu,sup,3,0
16.05,Nami,sup,2,1
16.05,Nocturne,jng,0,3
16.05,Ambessa,top,0,2
16.05,Aurora,mid,2,0
16.05,Ezreal,bot,1,1
16.05,Jarvan IV,jng,2,0
16.05,Jhin,bot,0,2
16.05,K'Sante,top,2,0
16.05,Neeko,sup,0,2
16.05,Pantheon,jng,1,1
16.05,Sylas,mid,1,1
16.05,Viktor,mid,1,1
16.05,Wukong,jng,1,1
16.05,Xin Zhao,jng,2,0
16.05,Ahri,mid,1,0
16.05,Akali,mid,1,0
16.05,Alistar,sup,0,1
16.05,Annie,mid,1,0
16.05,Ashe,bot,1,0
16.05,Aurora,top,1,0
16.05,Bard,sup,0,1
16.05,Braum,sup,1,0
16.05,Corki,bot,1,0
16.05,Galio,mid,0,1
16.05,Gnar,top,0,1
16.05,Irelia,top,1,0
16.05,Jinx,bot,1,0
16.05,Kog'Maw,bot,1,0
16.05,LeBlanc,mid,1,0
16.05,Lucian,bot,1,0
16.05,Maokai,jng,1,0
16.05,Mel,mid,0,1
16.05,Miss Fortune,bot,1,0
16.05,Ornn,top,1,0
16.05,Renata Glasc,sup,0,1
16.05,Renekton,top,1,0
16.05,Seraphine,sup,1,0
16.05,Shen,top,1,0
16.05,Sion,top,1,0
16.05,Sivir,bot,0,1
16.05,Twisted Fate,mid,0,1
16.05,Veigar,mid,1,0
16.05,Viego,jng,1,0
16.05,Yunara,bot,1,0
16.05,Zaahen,top,1,0
16.05,Zaahen,jng,1,0
16.06,Orianna,mid,0,5
16.06,Nautilus,sup,1,2
16.06,Ryze,mid,2,1
16.06,Vi,jng,0,3
16.06,Alistar,sup,1,1
16.06,Ezreal,bot,2,0
16.06,Jarvan IV,jng,2,0
16.06,Jayce,top,2,0
16.06,K'Sante,top,1,1
16.06,Rakan,sup,0,2
16.06,Rumble,top,0,2
16.06,Varus,bot,0,2
16.06,Xin Zhao,jng,2,0
16.06,Aatrox,jng,1,0
16.06,Akali,mid,1,0
16.06,Anivia,mid,0,1
16.06,Aurora,mid,0,1
16.06,Azir,mid,0,1
16.06,Bard,sup,1,0
16.06,Karma,sup,1,0
16.06,Mel,mid,1,0
16.06,Neeko,sup,0,1
16.06,Renekton,top,1,0
16.06,Senna,bot,1,0
16.06,Seraphine,sup,1,0
16.06,Sivir,bot,1,0
16.06,Wukong,jng,0,1
16.06,Yorick,top,0,1
16.06,Yunara,bot,1,0
16.06,Zaahen,top,1,0
16.06,Zoe,mid,1,0
16.07,Varus,bot,0,6
16.07,Lulu,sup,3,2
16.07,Jarvan IV,jng,4,0
16.07,Pantheon,jng,2,2
16.07,Rumble,top,1,3
16.07,Azir,mid,0,3
16.07,Bard,sup,1,2
16.07,Caitlyn,bot,2,1
16.07,Ezreal,bot,0,3
16.07,Jayce,top,2,1
16.07,Kalista,bot,2,1
16.07,Nautilus,sup,0,3
16.07,Yorick,top,1,2
16.07,Annie,mid,1,1
16.07,Neeko,sup,1,1
16.07,Orianna,mid,0,2
16.07,Renata Glasc,sup,2,0
16.07,Ryze,mid,2,0
16.07,Yunara,bot,1,1
16.07,Ahri,mid,0,1
16.07,Akali,mid,1,0
16.07,Ambessa,top,1,0
16.07,Anivia,mid,1,0
16.07,Ashe,bot,0,1
16.07,Aurora,top,1,0
16.07,Aurora,mid,1,0
16.07,Galio,mid,1,0
16.07,Gnar,top,1,0
16.07,Jhin,bot,1,0
16.07,Karma,sup,0,1
16.07,Leona,sup,0,1
16.07,Nocturne,jng,0,1
16.07,Rell,sup,1,0
16.07,Renekton,top,1,0
16.07,Seraphine,sup,0,1
16.07,Vi,jng,1,0
16.07,Wukong,jng,1,0
16.07,Xayah,bot,1,0
16.07,Yone,mid,1,0
16.07,Zeri,bot,1,0
16.08,Azir,mid,1,5
16.08,Pantheon,jng,2,4
16.08,Nocturne,jng,1,4
16.08,Varus,bot,0,5
16.08,Anivia,mid,0,4
16.08,Aurora,mid,3,1
16.08,Jayce,top,2,2
16.08,Rumble,top,1,3
16.08,Xin Zhao,jng,3,1
16.08,Ezreal,bot,1,2
16.08,Gnar,top,3,0
16.08,Lucian,bot,3,0
16.08,Orianna,mid,1,2
16.08,Ryze,mid,1,2
16.08,Vayne,top,0,3
16.08,Annie,mid,2,0
16.08,Bard,sup,0,2
16.08,Milio,sup,2,0
16.08,Nami,sup,2,0
16.08,Nautilus,sup,2,0
16.08,Renekton,top,2,0
16.08,Twisted Fate,mid,0,2
16.08,Wukong,jng,2,0
16.08,Ahri,mid,1,0
16.08,Akali,mid,0,1
16.08,Ambessa,top,0,1
16.08,Ashe,bot,1,0
16.08,Corki,bot,1,0
16.08,Hwei,mid,0,1
16.08,Jarvan IV,jng,1,0
16.08,Jhin,bot,0,1
16.08,Karma,sup,0,1
16.08,LeBlanc,mid,0,1
16.08,Lee Sin,jng,1,0
16.08,Mel,bot,1,0
16.08,Miss Fortune,bot,1,0
16.08,Neeko,sup,1,0
16.08,Pyke,sup,1,0
16.08,Rakan,sup,1,0
16.08,Seraphine,sup,1,0
16.08,Shen,top,1,0
16.08,Sivir,bot,1,0
16.08,Skarner,jng,0,1
16.08,Varus,top,1,0
16.08,Vi,jng,0,1
16.08,Viktor,mid,1,0
16.08,Yunara,bot,1,0
16.09,Jarvan IV,jng,1,4
16.09,Orianna,mid,0,5
16.09,Rumble,top,0,4
16.09,Varus,bot,0,4
16.09,Vi,jng,2,2
16.09,Akali,mid,1,2
16.09,Caitlyn,bot,1,2
16.09,Ezreal,bot,2,1
16.09,Gnar,top,2,1
16.09,Lucian,bot,1,2
16.09,Nocturne,jng,2,1
16.09,Xin Zhao,jng,2,1
16.09,Anivia,mid,1,1
16.09,Annie,mid,1,1
16.09,Ashe,bot,2,0
16.09,Azir,mid,1,1
16.09,Bard,sup,0,2
16.09,Cassiopeia,mid,1,1
16.09,Jayce,top,1,1
16.09,Karma,sup,0,2
16.09,Lee Sin,jng,1,1
16.09,Lulu,sup,2,0
16.09,Renekton,top,2,0
16.09,Ryze,mid,2,0
16.09,Seraphine,sup,2,0
16.09,Trundle,jng,0,2
16.09,Twisted Fate,mid,1,1
16.09,Camille,sup,1,0
16.09,Corki,bot,0,1
16.09,LeBlanc,mid,0,1
16.09,Lux,sup,1,0
16.09,Mel,bot,1,0
16.09,Milio,sup,1,0
16.09,Miss Fortune,bot,1,0
16.09,Nami,sup,0,1
16.09,Nautilus,sup,1,0
16.09,Neeko,sup,1,0
16.09,Ornn,top,1,0
16.09,Pantheon,jng,1,0
16.09,Sion,top,1,0
16.09,Twisted Fate,top,1,0
16.09,Viktor,mid,1,0
