patch,champ,role,picks_vs,bans_vs
16.03,Caitlyn,bot,0,6
16.03,Orianna,mid,1,4
16.03,Varus,bot,1,4
16.03,Syndra,mid,1,3
16.03,Bard,sup,0,3
16.03,K'Sante,top,3,0
16.03,Aurelion Sol,mid,0,2
16.03,Azir,mid,1,1
16.03,Gwen,top,1,1
16.03,Lulu,sup,2,0
16.03,Neeko,sup,2,0
16.03,Pantheon,jng,2,0
16.03,Ambessa,top,0,1
16.03,Aphelios,bot,1,0
16.03,Braum,sup,0,1
16.03,Corki,bot,1,0
16.03,Dr. Mundo,jng,1,0
16.03,Jarvan IV,jng,1,0
16.03,Karma,sup,1,0
16.03,Lux,mid,1,0
16.03,Nami,sup,0,1
16.03,Nautilus,sup,1,0
16.03,Renekton,top,0,1
16.03,Ryze,mid,1,0
16.03,Sion,top,1,0
16.03,Sivir,bot,1,0
16.03,Taliyah,mid,1,0
16.03,Tristana,bot,1,0
16.03,Vi,jng,1,0
16.03,Viktor,mid,0,1
16.03,Xin Zhao,jng,1,0
16.03,Yone,mid,0,1
16.03,Yunara,bot,1,0
16.03,Zaahen,top,1,0
16.07,Karma,sup,1,2
16.07,Ahri,mid,1,1
16.07,Bard,sup,0,2
16.07,Caitlyn,bot,0,2
16.07,Dr. Mundo,jng,0,2
16.07,Lulu,sup,1,1
16.07,Rumble,top,2,0
16.07,Shen,top,0,2
16.07,Vi,jng,1,1
16.07,Alistar,sup,1,0
16.07,Ambessa,top,1,0
16.07,Ashe,bot,1,0
16.07,Azir,mid,1,0
16.07,Ezreal,bot,1,0
16.07,Hwei,mid,1,0
16.07,Jarvan IV,jng,0,1
16.07,Mel,mid,0,1
16.07,Naafiri,jng,0,1
16.07,Nautilus,sup,0,1
16.07,Nocturne,jng,0,1
16.07,Orianna,mid,0,1
16.07,Pantheon,jng,1,0
16.07,Renekton,top,0,1
16.07,Seraphine,sup,1,0
16.07,Sion,top,1,0
16.07,Taliyah,mid,1,0
16.07,Varus,bot,1,0
16.07,Wukong,jng,1,0
16.07,Xin Zhao,jng,1,0
16.07,Yunara,bot,1,0
16.08,Jarvan IV,jng,1,3
16.08,Seraphine,sup,1,2
16.08,Annie,mid,0,2
16.08,Azir,mid,1,1
16.08,Bard,sup,0,2
16.08,Nami,sup,0,2
16.08,Neeko,sup,2,0
16.08,Orianna,mid,0,2
16.08,Renekton,top,0,2
16.08,Sion,top,0,2
16.08,Alistar,sup,0,1
16.08,Ambessa,jng,1,0
16.08,Ambessa,top,1,0
16.08,Anivia,mid,0,1
16.08,Ashe,bot,1,0
16.08,Aurora,top,1,0
16.08,Braum,sup,0,1
16.08,Ezreal,bot,0,1
16.08,Gnar,top,1,0
16.08,Gwen,top,1,0
16.08,Hwei,mid,1,0
16.08,Jhin,bot,1,0
16.08,K'Sante,top,0,1
16.08,Kai'Sa,bot,1,0
16.08,Kalista,bot,1,0
16.08,LeBlanc,mid,1,0
16.08,Lulu,sup,0,1
16.08,Nocturne,jng,1,0
16.08,Pantheon,jng,1,0
16.08,Rakan,sup,1,0
16.08,Renata Glasc,sup,1,0
16.08,Rumble,top,1,0
16.08,Varus,bot,0,1
16.08,Viktor,mid,1,0
16.08,Wukong,jng,1,0
16.08,Xayah,bot,1,0
16.08,Yone,mid,1,0
16.09,Shen,top,0,4
16.09,Anivia,mid,0,3
16.09,Karma,sup,1,2
16.09,Azir,mid,1,1
16.09,Bard,sup,1,1
16.09,Ezreal,bot,2,0
16.09,Nautilus,sup,0,2
16.09,Rumble,top,2,0
16.09,Vi,jng,2,0
16.09,Aatrox,jng,1,0
16.09,Akali,mid,1,0
16.09,Aphelios,bot,1,0
16.09,Aurora,mid,0,1
16.09,Caitlyn,bot,1,0
16.09,Gnar,top,1,0
16.09,Hwei,mid,1,0
16.09,Jarvan IV,jng,1,0
16.09,Kai'Sa,bot,0,1
16.09,Lulu,sup,1,0
16.09,Nami,sup,1,0
16.09,Orianna,mid,1,0
16.09,Renekton,top,1,0
16.09,Seraphine,sup,0,1
16.09,Skarner,jng,0,1
16.09,Smolder,bot,0,1
16.09,Viktor,mid,0,1
16.09,Xin Zhao,jng,0,1
16.1,Bard,sup,0,2
16.1,Karma,sup,1,1
16.1,Nautilus,sup,0,2
16.1,Shen,top,0,2
16.1,Anivia,mid,1,0
16.1,Caitlyn,bot,1,0
16.1,Darius,top,1,0
16.1,Gnar,top,1,0
16.1,Jarvan IV,jng,1,0
16.1,Jhin,bot,1,0
16.1,Nami,sup,0,1
16.1,Orianna,mid,1,0
16.1,Ornn,top,0,1
16.1,Rell,sup,1,0
16.1,Rumble,top,0,1
16.1,Xin Zhao,jng,1,0
