patch,champ,role,picks_by,bans_vs,series_presence
16.01,Orianna,mid,1,2,3
16.01,Bard,sup,1,1,2
16.01,Jhin,bot,1,1,2
16.01,Neeko,sup,0,2,2
16.01,Rumble,top,1,1,2
16.01,Varus,bot,1,1,2
16.01,Xin Zhao,jng,1,1,2
16.01,Aatrox,top,1,0,1
16.01,Alistar,sup,1,0,1
16.01,Ambessa,top,1,0,1
16.01,Azir,mid,1,0,1
16.01,Gnar,top,0,1,1
16.01,Gwen,top,0,1,1
16.01,Jarvan IV,jng,1,0,1
16.01,Jayce,top,0,1,1
16.01,Kai'Sa,bot,1,0,1
16.01,Malphite,jng,1,0,1
16.01,Nidalee,jng,0,1,1
16.01,Poppy,sup,0,1,1
16.01,Rakan,sup,1,0,1
16.01,Ryze,mid,1,0,1
16.01,Sion,top,0,1,1
16.02,Jarvan IV,jng,2,3,5
16.02,Neeko,sup,0,5,5
16.02,Orianna,mid,3,2,5
16.02,Varus,bot,0,4,4
16.02,Caitlyn,bot,1,2,3
16.02,K'Sante,top,2,1,3
16.02,Kai'Sa,bot,1,2,3
16.02,Rakan,sup,3,0,3
16.02,Rumble,top,2,1,3
16.02,Akali,mid,0,2,2
16.02,Gnar,top,1,1,2
16.02,Vi,jng,1,1,2
16.02,Xayah,bot,1,1,2
16.02,Yone,mid,1,1,2
16.02,Aphelios,bot,1,0,1
16.02,Aurora,mid,0,1,1
16.02,Azir,mid,1,0,1
16.02,Bard,sup,1,0,1
16.02,Corki,bot,1,0,1
16.02,Elise,sup,1,0,1
16.02,Ezreal,bot,1,0,1
16.02,Jax,top,0,1,1
16.02,Lulu,sup,1,0,1
16.02,Nocturne,jng,1,0,1
16.02,Sejuani,jng,1,0,1
16.02,Sion,top,1,0,1
16.02,Taliyah,mid,1,0,1
16.02,Wukong,jng,0,1,1
16.02,Xin Zhao,jng,1,0,1
16.02,Yunara,bot,0,1,1
16.03,Vi,jng,2,7,5
16.03,Caitlyn,bot,0,8,6
16.03,Neeko,sup,2,5,5
16.03,Orianna,mid,2,4,5
16.03,Jarvan IV,jng,3,2,5
16.03,Pantheon,jng,2,3,5
16.03,Sion,top,3,2,4
16.03,Taliyah,mid,4,1,4
16.03,Ashe,bot,2,2,3
16.03,Ezreal,bot,3,1,4
16.03,K'Sante,top,3,1,3
16.03,Ryze,mid,2,2,3
16.03,Varus,bot,1,3,3
16.03,Yone,mid,0,4,4
16.03,Aatrox,jng,3,0,3
16.03,Aphelios,bot,2,1,3
16.03,Azir,mid,3,0,3
16.03,Nami,sup,2,1,3
16.03,Nautilus,sup,2,1,3
16.03,Ornn,top,3,0,3
16.03,Akali,mid,0,2,2
16.03,Bard,sup,2,0,2
16.03,Corki,bot,2,0,2
16.03,Gnar,top,2,0,2
16.03,Gwen,top,1,1,2
16.03,Lucian,bot,1,1,2
16.03,Poppy,jng,2,0,2
16.03,Renekton,top,0,2,2
16.03,Rumble,top,0,2,1
16.03,Seraphine,sup,2,0,2
16.03,Xin Zhao,jng,1,1,2
16.03,Alistar,sup,0,1,1
16.03,Aurora,mid,1,0,1
16.03,Blitzcrank,sup,0,1,1
16.03,Braum,sup,1,0,1
16.03,Cassiopeia,mid,0,1,1
16.03,Dr. Mundo,jng,0,1,1
16.03,Jhin,bot,0,1,1
16.03,Kai'Sa,bot,1,0,1
16.03,Karma,mid,1,0,1
16.03,Nidalee,jng,0,1,1
16.03,Nocturne,jng,0,1,1
16.03,Poppy,sup,0,1,1
16.03,Rakan,sup,1,0,1
16.03,Thresh,sup,1,0,1
16.03,Yunara,bot,1,0,1
16.03,Zaahen,top,1,0,1
16.06,Jarvan IV,jng,0,3,1
16.06,Nautilus,sup,0,3,1
16.06,Varus,bot,1,2,1
16.06,Akali,mid,1,1,1
16.06,Ambessa,top,1,0,1
16.06,Anivia,mid,0,1,1
16.06,Annie,mid,1,0,1
16.06,Ashe,bot,1,0,1
16.06,Aurora,mid,1,0,1
16.06,Dr. Mundo,jng,1,0,1
16.06,Gnar,top,0,1,1
16.06,Gwen,top,0,1,1
16.06,K'Sante,top,1,0,1
16.06,Lulu,sup,1,0,1
16.06,Mel,mid,0,1,1
16.06,Orianna,mid,0,1,1
16.06,Rakan,sup,1,0,1
16.06,Renekton,top,1,0,1
16.06,Ryze,mid,0,1,1
16.06,Seraphine,sup,1,0,1
16.06,Vi,jng,1,0,1
16.06,Xin Zhao,jng,1,0,1
16.06,Yunara,bot,1,0,1
16.07,Orianna,mid,0,5,3
16.07,Jarvan IV,jng,1,3,2
16.07,Ryze,mid,2,2,3
16.07,Vi,jng,2,2,3
16.07,Bard,sup,2,1,2
16.07,Nautilus,sup,0,3,3
16.07,Renekton,top,3,0,3
16.07,Xin Zhao,jng,0,3,2
16.07,Akali,mid,0,2,1
16.07,Ambessa,top,1,1,2
16.07,Ashe,bot,2,0,2
16.07,Aurora,mid,1,1,2
16.07,Caitlyn,bot,0,2,1
16.07,Kai'Sa,bot,2,0,2
16.07,LeBlanc,mid,1,1,2
16.07,Neeko,sup,1,1,2
16.07,Nocturne,jng,1,1,2
16.07,Rakan,sup,1,1,2
16.07,Seraphine,sup,2,0,2
16.07,Sion,top,1,1,2
16.07,Wukong,jng,2,0,2
16.07,Yone,mid,0,2,1
16.07,Ahri,mid,1,0,1
16.07,Alistar,sup,1,0,1
16.07,Annie,mid,1,0,1
16.07,Azir,mid,0,1,1
16.07,Ezreal,bot,1,0,1
16.07,Gnar,top,0,1,1
16.07,Jax,top,1,0,1
16.07,Jhin,bot,1,0,1
16.07,K'Sante,top,1,0,1
16.07,Rumble,top,0,1,1
16.07,Sejuani,jng,1,0,1
16.07,Tristana,mid,1,0,1
16.07,Varus,bot,1,0,1
16.08,Rumble,top,1,5,3
16.08,Xin Zhao,jng,3,3,4
16.08,Jarvan IV,jng,1,4,3
16.08,Nautilus,sup,0,5,3
16.08,Vi,jng,2,3,4
16.08,Varus,bot,1,3,3
16.08,Ashe,bot,1,2,3
