patch,champ,role,picks_vs,bans_vs
16.06,Ambessa,top,0,2
16.06,Aurora,mid,0,2
16.06,Nautilus,sup,0,2
16.06,Orianna,mid,1,1
16.06,Amumu,sup,1,0
16.06,Anivia,mid,1,0
16.06,Bard,sup,0,1
16.06,Gwen,top,0,1
16.06,Jarvan IV,jng,1,0
16.06,Kennen,top,0,1
16.06,Neeko,sup,1,0
16.06,Renekton,top,1,0
16.06,Rumble,top,1,0
16.06,Varus,bot,1,0
16.06,Vi,jng,1,0
16.06,Yunara,bot,1,0
16.07,Aurora,mid,0,4
16.07,Ambessa,top,0,3
16.07,Jarvan IV,jng,2,1
16.07,Ornn,top,2,1
16.07,Ahri,mid,1,1
16.07,Ezreal,bot,2,0
16.07,Nautilus,sup,0,2
16.07,Orianna,mid,1,1
16.07,Ryze,mid,1,1
16.07,Sion,top,2,0
16.07,Xin Zhao,jng,2,0
16.07,Anivia,sup,1,0
16.07,Ashe,bot,1,0
16.07,Braum,sup,1,0
16.07,Corki,bot,0,1
16.07,Kai'Sa,bot,0,1
16.07,Lulu,sup,1,0
16.07,Rakan,sup,1,0
16.07,Rumble,top,0,1
16.07,Swain,mid,0,1
16.07,Syndra,mid,0,1
16.07,Tristana,bot,1,0
16.07,Vi,jng,0,1
16.07,Viktor,mid,1,0
16.08,Aurora,mid,1,1
16.08,Vayne,top,0,2
16.08,Ambessa,top,0,1
16.08,Azir,mid,1,0
16.08,Caitlyn,bot,0,1
16.08,Ezreal,bot,0,1
16.08,Gnar,top,1,0
16.08,Jarvan IV,jng,0,1
16.08,Jhin,bot,1,0
16.08,Kai'Sa,bot,1,0
16.08,Lee Sin,jng,1,0
16.08,Leona,sup,1,0
16.08,Nautilus,sup,0,1
16.08,Neeko,sup,0,1
16.08,Rakan,sup,0,1
16.08,Rell,sup,1,0
16.08,Rumble,top,1,0
16.08,Xin Zhao,jng,1,0
16.09,Nautilus,sup,0,4
16.09,Jarvan IV,jng,1,2
16.09,Ahri,mid,2,0
16.09,Ezreal,bot,2,0
16.09,Ryze,mid,1,1
16.09,Varus,bot,0,2
16.09,Vayne,top,0,2
16.09,Wukong,jng,0,2
16.09,Bard,sup,1,0
16.09,Corki,bot,0,1
16.09,Jayce,top,1,0
16.09,Jhin,bot,1,0
16.09,K'Sante,top,1,0
16.09,Karma,sup,1,0
16.09,Leona,sup,1,0
16.09,Lucian,bot,0,1
16.09,Lulu,sup,0,1
16.09,Nami,sup,1,0
16.09,Nidalee,jng,0,1
16.09,Nocturne,jng,1,0
16.09,Orianna,mid,0,1
16.09,Ornn,top,1,0
16.09,Pantheon,jng,1,0
16.09,Ryze,top,1,0
16.09,Seraphine,sup,0,1
16.09,Smolder,bot,1,0
16.09,Vi,jng,0,1
16.09,Xin Zhao,jng,1,0
16.09,Yasuo,mid,1,0
16.1,Jarvan IV,jng,0,2
16.1,Azir,mid,0,1
16.1,Caitlyn,bot,0,1
16.1,Diana,top,1,0
16.1,Jax,top,0,1
16.1,Kha'Zix,jng,1,0
16.1,Lucian,bot,1,0
16.1,Lulu,sup,1,0
16.1,Malphite,jng,0,1
16.1,Mel,mid,1,0
16.1,Milio,sup,1,0
16.1,Orianna,mid,0,1
16.1,Ornn,top,0,1
16.1,Qiyana,jng,1,0
16.1,Ryze,mid,1,0
16.1,Smolder,bot,0,1
16.1,Wukong,jng,0,1
16.1,Xin Zhao,top,1,0
16.1,Yunara,bot,1,0
