patch,champ,role,picks_vs,bans_vs
16.01,Akali,mid,0,5
16.01,Jayce,top,0,4
16.01,Neeko,sup,0,4
16.01,Ambessa,top,1,2
16.01,Naafiri,jng,1,2
16.01,Viktor,mid,3,0
16.01,Aphelios,bot,1,1
16.01,Braum,sup,2,0
16.01,Darius,top,0,2
16.01,Jarvan IV,jng,2,0
16.01,Nautilus,sup,0,2
16.01,Orianna,mid,1,1
16.01,Ryze,mid,2,0
16.01,Taliyah,mid,0,2
16.01,Varus,bot,2,0
16.01,Xayah,bot,0,2
16.01,Xin Zhao,jng,2,0
16.01,Zaahen,top,2,0
16.01,Alistar,sup,1,0
16.01,Bel'Veth,jng,0,1
16.01,Caitlyn,bot,1,0
16.01,Corki,bot,0,1
16.01,Gnar,top,1,0
16.01,Karma,sup,1,0
16.01,Kled,top,1,0
16.01,Leona,sup,1,0
16.01,Lulu,sup,1,0
16.01,Malphite,top,1,0
16.01,Renekton,top,0,1
16.01,Sejuani,jng,1,0
16.01,Tristana,bot,1,0
16.01,Yunara,bot,1,0
16.02,Akali,mid,0,4
16.02,Alistar,sup,1,2
16.02,Wukong,jng,1,2
16.02,Braum,sup,0,2
16.02,Corki,bot,2,0
16.02,Naafiri,jng,0,2
16.02,Pantheon,jng,2,0
16.02,Rell,sup,1,1
16.02,Taliyah,mid,0,2
16.02,Vi,jng,1,1
16.02,Ambessa,top,1,0
16.02,Azir,mid,1,0
16.02,Cassiopeia,mid,1,0
16.02,Darius,top,0,1
16.02,Gwen,top,1,0
16.02,Jarvan IV,jng,0,1
16.02,Jax,top,1,0
16.02,Jhin,bot,1,0
16.02,Nautilus,sup,1,0
16.02,Neeko,sup,1,0
16.02,Orianna,mid,1,0
16.02,Qiyana,jng,0,1
16.02,Ryze,mid,1,0
16.02,Syndra,mid,0,1
16.02,Varus,bot,1,0
16.02,Yorick,top,1,0
16.03,Neeko,sup,2,1
16.03,Orianna,mid,2,1
16.03,Varus,bot,0,3
16.03,Corki,bot,0,2
16.03,Jayce,top,0,2
16.03,Naafiri,jng,0,2
16.03,Syndra,mid,0,2
16.03,Akali,top,1,0
16.03,Akali,mid,0,1
16.03,Ambessa,top,0,1
16.03,Caitlyn,bot,1,0
16.03,Ezreal,bot,0,1
16.03,Galio,mid,1,0
16.03,Galio,top,1,0
16.03,Gwen,top,1,0
16.03,Jarvan IV,jng,1,0
16.03,Jinx,bot,1,0
16.03,Kai'Sa,bot,0,1
16.03,Leona,sup,1,0
16.03,Nautilus,jng,1,0
16.03,Qiyana,jng,0,1
16.03,Rell,sup,1,0
16.03,Renekton,top,1,0
16.03,Sion,top,0,1
16.03,Taliyah,mid,1,0
16.03,Wukong,jng,1,0
16.03,Xayah,bot,1,0
16.03,Xin Zhao,jng,1,0
16.03,Yunara,bot,1,0
16.03,Zaahen,top,0,1
16.04,Akali,mid,0,5
16.04,Zaahen,top,1,3
16.04,Dr. Mundo,jng,1,2
16.04,Naafiri,jng,0,3
16.04,Anivia,mid,0,2
16.04,Bel'Veth,jng,0,2
16.04,Orianna,mid,1,1
16.04,Sylas,mid,0,2
16.04,Ahri,mid,1,0
16.04,Alistar,sup,0,1
16.04,Blitzcrank,sup,0,1
16.04,Ezreal,bot,1,0
16.04,Gwen,top,0,1
16.04,Jayce,top,0,1
16.04,Kennen,top,0,1
16.04,Leona,sup,1,0
16.04,Lucian,bot,1,0
16.04,Lulu,sup,1,0
16.04,Malphite,top,1,0
16.04,Nautilus,sup,1,0
16.04,Neeko,sup,1,0
16.04,Ornn,top,1,0
16.04,Pantheon,jng,1,0
16.04,Qiyana,jng,1,0
16.04,Renekton,top,1,0
16.04,Seraphine,sup,1,0
16.04,Sivir,bot,1,0
16.04,Trundle,jng,1,0
16.04,Twisted Fate,mid,1,0
16.04,Viktor,mid,1,0
16.04,Xin Zhao,jng,1,0
16.04,Yorick,top,1,0
16.04,Yunara,bot,1,0
16.04,Zeri,bot,1,0
16.04,Zoe,mid,1,0
16.06,Akali,mid,0,2
16.06,Ambessa,top,0,2
16.06,Seraphine,sup,0,2
16.06,Bard,sup,1,0
16.06,Ezreal,bot,0,1
16.06,Galio,mid,1,0
16.06,Kai'Sa,bot,1,0
16.06,LeBlanc,mid,1,0
16.06,Neeko,sup,1,0
16.06,Ornn,top,0,1
16.06,Pantheon,jng,1,0
16.06,Rumble,top,1,0
16.06,Sivir,bot,0,1
16.06,Syndra,mid,0,1
16.06,Varus,bot,1,0
16.06,Vi,jng,1,0
16.06,Zaahen,top,1,0
16.07,Akali,mid,0,3
16.07,Nautilus,sup,2,1
16.07,Aurora,mid,1,1
16.07,Dr. Mundo,jng,0,2
16.07,Gnar,top,2,0
16.07,Karma,sup,0,2
16.07,Orianna,mid,0,2
16.07,Wukong,jng,1,1
16.07,Ahri,mid,1,0
16.07,Ashe,bot,1,0
16.07,Caitlyn,bot,1,0
16.07,Corki,bot,1,0
16.07,Ezreal,bot,0,1
16.07,Gwen,top,0,1
16.07,Jarvan IV,jng,0,1
16.07,Jayce,top,0,1
16.07,K'Sante,top,0,1
16.07,Lulu,sup,1,0
16.07,Mel,mid,1,0
16.07,Nocturne,jng,0,1
16.07,Ornn,top,1,0
16.07,Pantheon,jng,1,0
16.07,Rumble,top,0,1
16.07,Seraphine,sup,1,0
16.07,Sivir,bot,1,0
16.07,Syndra,mid,0,1
16.07,Urgot,top,1,0
16.07,Vi,jng,1,0
16.07,Viktor,mid,1,0
16.07,Xin Zhao,jng,1,0
16.08,Rumble,top,2,3
16.08,Ambessa,top,0,4
16.08,Ezreal,bot,1,2
16.08,Karma,sup,1,2
16.08,Akali,mid,0,2
16.08,Ashe,bot,0,2
16.08,Aurelion Sol,mid,0,2
16.08,Bard,sup,0,2
16.08,Caitlyn,bot,1,1
16.08,Corki,bot,2,0
16.08,Gnar,top,2,0
16.08,Hwei,mid,2,0
